전략,빈번 그룹 평균,일반 그룹 평균,차이,상관계수(r),p-value,R²
최대 CNT_JNT,4.132231404958677,4.06380027739251,0.06843112756616687,-0.0011446190969706233,0.9599626877628823,1.3101528771498452e-06
평균 CNT_JNT,2.6616851043094254,2.6855598570917447,-0.02387475278231932,-0.08108184032395035,0.0003681373371318863,0.006574264830318582
가장 가까운,2.243801652892562,2.191400832177531,0.05240082071503105,-0.006481113167482434,0.7762189033596356,4.2004827889714194e-05
