OPERATION_ID,REPAIR_COUNT_AT_LOCATION,작업타입,작업종료일,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
0,6,지상누수,,True,pipes_found,4.0,PIPE_LM,19.334903422924874,3.0,1.0,11.091982768979907,14,9,True
1,2,지하누수,,True,pipes_found,4.0,PIPE_LM,11.917228889920203,2.857142857142857,4.0,7.029435375937739,14,8,False
2,1,지상누수,,True,pipes_found,4.0,PIPE_LM,13.136857697288491,2.8333333333333335,2.0,6.414570782870152,12,6,False
3,1,지상누수,,True,pipes_found,4.0,PIPE_LM,19.10379398892081,2.9047619047619047,2.0,5.758927855230018,21,13,False
4,2,지상누수,,True,pipes_found,4.0,PIPE_LM,15.38664268216506,2.6666666666666665,1.0,7.974346929663667,9,4,False
5,3,지상누수,,True,pipes_found,4.0,PIPE_LM,17.753511284113436,2.5833333333333335,1.0,4.949413464724432,12,6,False
6,3,지하누수,,True,pipes_found,4.0,PIPE_LM,16.538318384289738,2.6666666666666665,2.0,12.540829184200458,9,5,False
7,1,지하누수,,True,pipes_found,4.0,PIPE_LM,15.270525816625764,2.727272727272727,1.0,6.09820220851228,11,5,False
8,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.153969663808343,2.230769230769231,1.0,4.600128333859812,13,4,False
9,1,지상누수,,True,pipes_found,4.0,PIPE_LM,15.200670333125855,2.909090909090909,2.0,4.480313475962598,22,15,False
10,4,지상누수,,True,pipes_found,4.0,PIPE_LM,14.802120741246123,2.625,2.0,7.644003856698677,16,8,True
11,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.852249629343092,2.2857142857142856,2.0,10.298414992982412,14,5,False
12,1,지상누수,,True,pipes_found,4.0,PIPE_LM,15.384621233192874,2.9523809523809526,4.0,6.4137728833311325,21,12,False
13,1,지하누수,,True,pipes_found,4.0,PIPE_LM,17.47762774538147,2.5555555555555554,3.0,8.853736244162436,18,9,False
14,2,지상누수,,True,pipes_found,4.0,PIPE_LM,14.240070225161148,2.590909090909091,2.0,6.927859326655007,22,9,False
15,1,지상누수,,False,no_pipes_within_20.0m,,,,,,,0,0,False
16,1,지상누수,,True,pipes_found,4.0,PIPE_LM,16.342533492487767,2.6923076923076925,1.0,7.533441304388646,26,16,False
17,1,지하누수,,True,pipes_found,4.0,PIPE_LM,12.905326315335286,2.7142857142857144,2.0,5.236575637535576,42,25,False
18,1,지하누수,,True,pipes_found,4.0,PIPE_LM,8.558066560610946,2.8333333333333335,2.0,4.610640118556427,30,19,False
19,1,지하누수,,True,pipes_found,4.0,PIPE_LM,7.703716248794869,2.59375,2.0,3.8657335309535297,32,13,False
20,1,지하누수,,True,pipes_found,4.0,PIPE_LM,18.365473958946364,2.7567567567567566,2.0,5.297847213908063,37,21,False
21,3,지하누수,,True,pipes_found,4.0,PIPE_LM,19.624776255715283,2.3333333333333335,1.0,12.001296222958963,6,2,False
22,1,지하누수,,True,pipes_found,4.0,PIPE_LM,9.607506509741379,2.6666666666666665,2.0,5.149246132055826,3,1,False
23,3,지하누수,,True,pipes_found,4.0,PIPE_LM,18.62240496927551,2.6,2.0,5.49433988376367,30,16,False
24,1,지상누수,,True,pipes_found,4.0,PIPE_LM,14.303032552119143,2.8181818181818183,2.0,8.850350025463246,11,6,False
25,1,지하누수,,True,pipes_found,4.0,PIPE_LM,11.820697019876437,2.761904761904762,2.0,5.55514216900806,21,13,False
26,1,지상누수,,True,pipes_found,4.0,PIPE_LM,18.208255218790516,2.5652173913043477,2.0,10.858733682914961,23,12,False
27,2,지하누수,,True,pipes_found,4.0,PIPE_LM,9.626040210079815,2.5625,2.0,6.277936924826628,32,13,False
28,3,지하누수,,True,pipes_found,4.0,PIPE_LM,8.13035467493848,2.71875,2.0,4.8820550897144965,32,16,False
29,1,지상누수,,True,pipes_found,4.0,PIPE_LM,17.12399962576709,2.6,3.0,5.257159043288975,15,7,False
30,2,지하누수,,True,pipes_found,4.0,PIPE_LM,17.973372940754874,2.611111111111111,2.0,9.5926702856828,36,21,False
31,1,지상누수,,True,pipes_found,4.0,PIPE_LM,9.413116728911815,2.730769230769231,2.0,6.499187244388853,26,16,False
