distance,STD_DIP,K_age,K_soil,K_traffic,hoop_stress,K_stress,K_total,D_final,K_repair
10,,,,,,,,,
20,,,,,,,,,
30,,,,,,,,,
50,,,,,,,,,
100,,,,,,,,,
