CLUSTER_ID,REPAIR_COUNT,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
468.0,2.0,True,pipes_found,4.0,PIPE_LM,9.101393477608246,2.6666666666666665,2.0,6.716876296427363,6,3,False
469.0,2.0,True,pipes_found,2.0,PIPE_LM,7.847492265966842,1.5,1.0,6.668174658232264,2,0,False
470.0,2.0,True,pipes_found,4.0,PIPE_LM,6.4840272481951535,3.0,4.0,6.32527374869819,6,3,False
471.0,2.0,True,pipes_found,4.0,PIPE_LM,8.956677000726838,3.2,3.0,7.187331590066421,5,5,False
472.0,2.0,True,pipes_found,4.0,PIPE_LM,7.661098749314721,3.0,2.0,6.039744412338323,8,4,False
473.0,2.0,True,pipes_found,4.0,PIPE_LM,8.473621609068456,3.0,4.0,6.131704410284475,10,7,False
474.0,2.0,True,pipes_found,4.0,PIPE_LM,9.6438652771139,3.0,4.0,6.8747496993921295,8,4,False
475.0,2.0,True,pipes_found,4.0,PIPE_LM,9.86994412452978,3.0,2.0,6.543811938649543,6,5,False
477.0,2.0,True,pipes_found,4.0,PIPE_LM,6.959517110781883,4.0,4.0,6.959517110781883,3,3,False
478.0,2.0,True,pipes_found,4.0,PIPE_LM,9.460658368208271,2.8,2.0,5.832495259823976,5,3,False
479.0,2.0,True,pipes_found,4.0,PIPE_LM,9.264548198265265,2.857142857142857,3.0,7.08236324181463,7,4,False
480.0,2.0,True,pipes_found,3.0,PIPE_LM,8.357625501502012,2.3333333333333335,3.0,8.357625501502012,3,1,False
481.0,2.0,True,pipes_found,6.0,PIPE_LM,6.150060162072226,4.0,2.0,4.587895182416383,2,1,False
482.0,2.0,True,pipes_found,4.0,PIPE_LM,6.4765448760451765,3.0,2.0,6.189930869926447,3,2,False
483.0,2.0,True,pipes_found,4.0,PIPE_LM,8.12668688901365,3.0,3.0,4.008724971323872,9,6,False
484.0,2.0,True,pipes_found,1.0,SPLY_LS,5.928864519025199,1.0,1.0,5.928864519025199,1,0,False
486.0,2.0,True,pipes_found,4.0,PIPE_LM,9.820025688768515,2.75,2.0,7.3551426073937245,4,2,False
488.0,2.0,True,pipes_found,3.0,PIPE_LM,9.69913725293547,2.75,2.0,9.216757887434866,4,3,False
489.0,2.0,True,pipes_found,4.0,PIPE_LM,8.89246179139773,2.8,3.0,5.947666054987826,5,3,False
490.0,4.0,True,pipes_found,4.0,PIPE_LM,8.266623724352867,2.75,3.0,2.1668466432754414,12,8,True
491.0,2.0,True,pipes_found,3.0,PIPE_LM,7.492511693806846,2.25,1.0,6.738302336084058,4,2,False
492.0,2.0,True,pipes_found,4.0,PIPE_LM,6.156299620125265,2.727272727272727,2.0,4.853663789925787,11,7,False
493.0,2.0,True,pipes_found,4.0,PIPE_LM,8.247869723089226,2.6666666666666665,2.0,7.946971222612755,3,1,False
495.0,7.0,True,pipes_found,4.0,PIPE_LM,9.767005751449872,3.0,4.0,8.791716446259715,4,2,True
