cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.319057244275564,5,1.6672142368240932,1.7277207392197127,1.658376504661184,1.0,1.0,1.0,1.0,1.6,1.1216369445081547,7.471264367816092,8.333333333333334,7.64603009268413,1.547126436781609,2.466666666666667,1.7335432099741834,2.3468337419948377,7.145312427849419,3.951069271000151,13,100,30.63735695368242,0.0121388801887811,0.0369587712674297,0.020436708250784665
1,1,35.890437,128.6039201,73313,PIPE_LM,3.7182269888809656,5,1.373223819301848,1.6815605749486653,1.5431397681209975,1.0,1.0,1.0,1.2,1.2,1.0547607656330829,17.857142857142858,17.857142857142858,10.31495765705459,2.585714285714286,2.585714285714286,1.831495765705459,4.345598302338505,7.8059261165425005,6.393148970456236,50,50,23.13074164212033,0.0224773899389308,0.0403757625415102,0.03306824339223633
2,1,35.8895649,128.6026112,144002,SPLY_LS,7.155341793227471,3,1.6483778234086242,1.6528678986995209,1.6319510385806932,1.0,1.0,1.0,1.2,1.2,1.072561416722013,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,3.066153717033244,7.756139436996358,5.527935575937463,13,13,13.0,0.0158595267936686,0.0401182434308918,0.028592970369757706
3,1,35.8902294,128.6026617,37842,SPLY_LS,5.774196674566099,3,1.5474606433949352,1.7366461327857632,1.6408915774987027,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,9.523809523809524,8.798917455691221,1.7523809523809524,1.7523809523809524,1.6798917455691225,4.90147561708402,4.90147561708402,3.8050065187657847,20,25,20.18702871569737,0.0253526375555862,0.0253526375555862,0.019681205967990025
4,2,35.8898263,128.6010129,47811,PIPE_LM,5.243801288955055,3,1.7526899383983574,1.7526899383983574,1.5829923726907125,1.0,1.3,1.0825634773817203,1.4,1.6,1.4551455738175394,17.857142857142858,17.857142857142858,14.852817401163682,2.585714285714286,3.9746031746031742,2.722945024382555,5.564177350837856,12.69137420831549,6.812225457152048,50,200,84.47889058134459,0.0287804291383412,0.0656454985238014,0.03523589556584604
5,1,35.8910713,128.6032933,143987,SPLY_LS,5.498747908627607,7,1.6576317590691307,1.6726899383983571,1.5860557861334375,1.0,1.0,1.0,1.0,1.6,1.1266638190625706,7.471264367816092,17.857142857142858,9.3621356912081,1.547126436781609,3.3000000000000003,2.1192761224705663,4.395524493969576,6.578339711581055,5.181579709410551,13,150,57.820861781806855,0.0227356306688329,0.0340261332411674,0.026801461967940553
6,1,35.8918995,128.6034968,246389,SPLY_LS,4.771798551848591,6,1.648542094455852,1.7326488706365502,1.6812521603035753,1.0,1.0,1.0,1.0,1.6,1.09056191300259,7.471264367816092,14.22222222222222,8.818363301492612,1.547126436781609,2.5777777777777775,1.7355026489656107,5.6124150381981055,6.173656542017916,4.3884202452150065,13,80,24.231811179891796,0.0290299361643277,0.0319329297807605,0.02269888429736229
7,3,35.89056696666667,128.60295126666668,212347,SPLY_LS,5.637814287125581,4,1.7051060917180014,1.7051060917180014,1.5478367539280455,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,17.857142857142858,9.846758751500536,1.547126436781609,2.585714285714286,1.7846758751500533,9.289543945694785,9.289543945694785,6.255807533291498,13,50,21.462769161669808,0.0480497015819089,0.0480497015819089,0.03235785167557354
8,1,35.8899291,128.6016472,212339,PIPE_LM,4.549724586415585,3,1.7326488706365502,1.7326488706365502,1.7299387489969906,1.0,1.0,1.0,1.2,1.2,1.1302907092359749,6.666666666666667,7.471264367816092,6.947106342154125,2.1333333333333337,2.1333333333333337,1.9290129983353288,5.198572325417898,5.199953944568877,4.704092193110701,80,80,56.64738759405158,0.0268893554246078,0.0268965017805852,0.02433168166425542
9,1,35.8906833,128.6034433,4787,PIPE_LM,3.736222570247524,6,1.6726899383983571,1.706420260095825,1.6010796092635056,1.0,1.0,1.0,1.2,1.2,1.0503519258990959,6.666666666666667,14.285714285714286,8.218240694773337,2.1333333333333337,2.2285714285714286,1.78966382247432,5.995465734703333,10.464533699437132,7.410072790849882,80,80,33.630138945446056,0.0310112467394662,0.0541272773336536,0.038328231007031435
10,1,35.8934782,128.6041763,211472,SPLY_LS,6.946781621349357,1,1.6401095140314852,1.6401095140314852,1.6401095140314852,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,2.386724718991373,2.386724718991373,2.386724718991373,13,13,13.0,0.0123452142727469,0.0123452142727469,0.0123452142727469
11,2,35.895324,128.6036788,143155,SPLY_LS,5.823973846325402,3,1.6149760438056124,1.6526488706365503,1.6160052977221286,1.0,1.0,1.0,1.0,1.4,1.102736095053207,7.471264367816092,9.846153846153848,8.081231545784513,1.547126436781609,2.0307692307692307,1.6713453669188865,2.823445147161141,3.1165602449577374,2.9071372184760804,13,40,19.934686416091466,0.0146041288514336,0.0161202520390316,0.015037021905706566
12,1,35.8887528,128.6024193,178238,SPLY_LS,7.454697082571225,2,1.7093771389459276,1.7093771389459276,1.629083678099546,1.0,1.0,1.0,1.0,1.6,1.2726419576151933,7.471264367816092,7.471264367816092,7.10565254725932,1.547126436781609,2.1333333333333337,1.8135007631872582,3.30739001239499,6.040731531082608,4.549429316538119,13,80,43.44501860036325,0.0171073094696124,0.0312453818079482,0.02353169566832754
13,2,35.897172,128.6035242,324769,PIPE_LM,5.890196878792716,4,1.6326625598904858,1.656700889801506,1.6437969810486532,1.0,1.0,1.0,1.0,1.0,1.0,8.333333333333334,8.333333333333334,7.934027767389911,2.466666666666667,2.466666666666667,2.0407407296603495,4.639615564243669,4.920394340643395,4.5680349027663105,100,100,59.70208228498985,0.0239981795252721,0.0254504937072609,0.023627932132813556
14,2,35.8898124,128.6029721,4789,PIPE_LM,5.543329350060753,5,1.6526488706365503,1.6815605749486653,1.5796716446551313,1.0,1.0,1.0,1.2,1.2,1.0491819394022879,9.846153846153848,9.846153846153848,8.504422417029755,2.0307692307692307,2.0307692307692307,1.7109738594288684,3.168853961489305,7.401577809820983,5.339430510020102,40,40,21.17134194650324,0.0163907386731053,0.0382842911424085,0.027617937341553427
15,2,35.88985515,128.6014137,245194,SPLY_LS,6.105905239968603,3,1.6573579739904176,1.6726899383983571,1.6373415246461491,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.966800891797951,1.547126436781609,1.692857142857143,1.596680089179795,5.730940451287324,5.730940451287324,4.508659285510905,13,25,17.080429202545826,0.0296430029372611,0.0296430029372611,0.023320814721340868
16,1,35.8947785,128.6051035,3935,SPLY_LS,1.9257229751081257,3,1.615249828884326,1.7042847364818616,1.5385463337784153,1.0,1.0,1.0,1.0,1.6,1.1472952637466383,7.471264367816092,20.0,10.546970066740148,1.547126436781609,3.3000000000000003,1.977443059796213,3.5395949304902565,7.415815044904918,4.589026482933723,13,150,46.63241855548239,0.0183083777982143,0.0383579325290184,0.023736510031650504
17,2,35.8903448,128.603526,48168,PIPE_LM,4.246751345794138,3,1.6926762491444216,1.6926762491444216,1.6671433074462219,1.0,1.0,1.0,1.4,1.4,1.3519081473093684,8.333333333333334,16.3265306122449,10.003510203856994,2.466666666666667,2.840816326530613,2.4834513039797343,7.734045304449008,7.734045304449008,6.64060370411954,100,100,95.19081473093686,0.0400039626349972,0.0400039626349972,0.034348190629373054
18,2,35.8958578,128.6049185,38020,SPLY_LS,7.160362741625836,2,1.6375359342915812,1.6526488706365503,1.6440590917651778,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.846153846153848,8.49633174691228,1.547126436781609,2.0307692307692307,1.7558799201641906,4.60944602477637,4.60944602477637,3.6055529015967966,13,40,24.65393989406562,0.0238421290908545,0.0238421290908545,0.01864954210586429
19,1,35.8899151,128.601287,177107,PIPE_LM,5.224894916006969,3,1.6326625598904858,1.74507871321013,1.6691062961068643,1.0,1.0,1.0,1.4,1.4,1.135573772264569,9.846153846153848,9.846153846153848,8.276196181040302,2.0307692307692307,2.0307692307692307,1.7110496318053032,3.2412683814087124,5.484773646511728,4.603156377352351,40,40,22.151229627858402,0.0167652986394174,0.0283697174478995,0.0238095962040361
20,1,35.8912066,128.6040328,73352,SPLY_LS,2.9750483236936103,5,1.2855578370978782,1.7011088295687884,1.5356417955880677,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,12.5,9.072818936216207,1.7523809523809524,3.3000000000000003,2.0002316947294823,2.469581372453203,6.247954502078533,4.3496413797245435,20,150,47.60702275869012,0.0127737861699455,0.0323172322642761,0.022498302554556166
21,1,35.8929963,128.6041747,38038,SPLY_LS,8.385984627790894,2,1.6731279945242985,1.6731279945242985,1.6567127547716536,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,2.0843619646713663,2.180559668884126,2.1321869510044054,13,13,13.000000000000002,0.0107812580441644,0.0112788358593196,0.011028630394722683
22,1,35.8948223,128.6031508,106607,PIPE_LM,6.373821021314283,3,1.7526899383983574,1.7526899383983574,1.4403282263821875,1.0,1.0,1.0,1.4,1.4,1.1483097797800095,8.333333333333334,17.857142857142858,11.59361034953634,2.466666666666667,2.585714285714286,2.2683397428286542,6.678736130809035,6.678736130809035,3.788829104296324,100,100,58.70227228340428,0.0345454286998032,0.0345454286998032,0.019597529100517475
23,1,35.8954748,128.604678,72458,SPLY_LS,6.325206303218988,3,1.6454757015742645,1.6454757015742645,1.624931993184629,1.0,1.0,1.0,1.0,1.4,1.1093797950789253,8.928571428571429,16.3265306122449,11.275348486275398,1.692857142857143,2.840816326530613,2.12601298693579,4.754717685188042,4.754717685188042,3.767447149636901,25,100,50.802114699210534,0.0245935394907508,0.0245935394907508,0.019486932009139327
24,1,35.890979,128.6032946,143987,SPLY_LS,6.927565607859949,3,1.6576317590691307,1.6726899383983571,1.6528977414789534,1.0,1.0,1.0,1.0,1.2,1.0556931774243772,7.471264367816092,7.471264367816092,7.247211355189287,1.547126436781609,2.1333333333333337,1.7103650602668528,4.395524493969576,6.959842449832864,5.72119827660911,13,80,31.657214437166356,0.0227356306688329,0.035999437079638,0.029592612025846763
25,2,35.8952327,128.6046783,245452,SPLY_LS,7.989790726363709,3,1.18984257357974,1.681122518822724,1.4764536104107615,1.0,1.0,1.0,1.0,1.4,1.1279381444146797,9.523809523809524,16.3265306122449,11.699628306372107,1.7523809523809524,2.840816326530613,2.100511957590966,2.5330238203988515,5.56077883066536,4.080615706948307,20,100,45.58762888293599,0.013101939059822,0.028762850462675,0.021106780713404716
26,1,35.8966337,128.6042461,245230,SPLY_LS,6.555749360882078,2,1.657741273100616,1.7416290212183436,1.6960579463761292,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816093,1.547126436781609,1.547126436781609,1.547126436781609,2.0230431209284228,2.3660397257912864,2.1797106813056124,13,13,13.0,0.0104640893908462,0.0122382221796691,0.011274444513519189
27,2,35.89027725,128.60406135,4800,SPLY_LS,3.6948961378843603,5,1.515811088295688,1.6564818617385353,1.549783895065221,1.0,1.0,1.0,1.0,1.2,1.0355625104078274,7.471264367816092,17.857142857142858,9.318003927171668,1.547126436781609,2.585714285714286,1.7318003927171668,5.161000428812136,7.248264413987568,4.968143466257834,13,50,19.579064425448102,0.0266950166680093,0.03749128526813,0.025697473672045303
28,1,35.8941678,128.6048861,3933,SPLY_LS,5.997074593048818,3,1.622861054072553,1.6326625598904858,1.5903205561952758,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.889771938980728,1.547126436781609,1.692857142857143,1.5889771938980728,3.979182113932101,3.979182113932101,2.9887760331869972,13,25,16.44614459726328,0.020582120525208,0.020582120525208,0.015459294592858034
29,1,35.8958428,128.6037225,38009,SPLY_LS,7.151126052600448,3,1.688788501026694,1.7526899383983574,1.7075346811316312,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.9201312775292685,1.547126436781609,1.692857142857143,1.5920131277529268,4.417613073596565,4.417613073596565,3.578315997482766,13,25,16.69613450837622,0.0228498827425245,0.0228498827425245,0.018508660581179684
30,1,35.8948437,128.6038297,106607,PIPE_LM,3.6087770252907525,3,1.7526899383983574,1.7526899383983574,1.7313563909431322,1.0,1.0,1.0,1.4,1.4,1.2091504627016247,8.333333333333334,9.523809523809524,8.434460746107597,2.466666666666667,2.466666666666667,2.079176205239145,6.678736130809035,6.678736130809035,4.575487649908251,100,100,60.23785466527184,0.0345454286998032,0.0345454286998032,0.023666481094767898
31,1,35.8903724,128.6026803,212350,SPLY_LS,3.6700252173478445,5,1.5474606433949352,1.6726899383983571,1.6280488894081535,1.0,1.0,1.0,1.0,1.2,1.034937893479488,7.471264367816092,9.846153846153848,8.344387030026612,1.547126436781609,2.466666666666667,1.829878796012658,4.741615498529746,6.007989239589322,4.158103164012131,13,100,35.65560120865102,0.0245257690853701,0.0310760239423137,0.021507580710694474
32,3,35.8940868,128.6042889,106591,SPLY_LS,6.070892210299506,2,1.671649555099247,1.7181382614647502,1.6907120989545308,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,2.25748597500695,2.3932521697321976,2.3131564645376175,13,13,13.0,0.0116767333314246,0.0123789771853313,0.011964686154997541
33,1,35.8938755,128.6048677,177356,SPLY_LS,5.752353895985947,2,1.1613141683778234,1.1616427104722793,1.1614784001440344,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,11.428571428571429,10.17827252458336,1.692857142857143,1.942857142857143,1.817827252458336,2.749997473805887,2.749997473805887,2.2760819858714716,25,32,28.49916306883341,0.0142242244333872,0.0142242244333872,0.01177292026782085
34,1,35.8921406,128.6034955,38913,SPLY_LS,4.809404724134049,4,1.6628884325804243,1.7381245722108143,1.6840277891359656,1.0,1.0,1.0,1.0,1.6,1.1387065246065857,8.928571428571429,14.22222222222222,9.504083004057025,1.692857142857143,2.5777777777777775,1.8326047594318273,3.762495078485829,7.1010527531873775,4.600249416697723,25,80,32.37674136641846,0.019461317668714,0.036729840313224,0.023794560095398095
