region,factor,optimal_distance,max_correlation,p_value
0470,STD_DIP,50,-0.17388346051413217,0.01222037546890281
0470,K_age,20,-0.12570609727494939,0.07179881109029294
0470,K_soil,20,0.07481439812793081,0.2851808927351484
0470,K_traffic,50,-0.04225977523057816,0.5454443726488103
0470,hoop_stress,10,0.14138895954927613,0.04693181082512186
0470,K_stress,50,-0.16626913256644701,0.01664753324861207
0470,K_total,10,0.3391501134191966,1.0202624685612474e-06
0470,D_final,10,0.3391501134191963,1.0202624685613e-06
0470,K_repair,20,0.3627455207879182,8.399612669183125e-08
0480,STD_DIP,10,-0.15446074052448036,0.06267338837105806
0480,K_age,20,0.09917458904305136,0.23204334538035812
0480,K_traffic,10,-0.1613092596816157,0.05176155803278922
0480,hoop_stress,10,-0.12246296326347687,0.1408710425945245
0480,K_stress,10,-0.16429063303494038,0.0475292093295929
0480,K_total,30,0.18988417351482395,0.021246875407070334
0480,D_final,30,0.1898841735148229,0.02124687540707116
0480,K_repair,30,0.24153604511328802,0.003206300645751053
0490,STD_DIP,100,-0.09416798897533268,0.13292794139785885
0490,K_age,100,-0.07073625237362842,0.2594658934758994
0490,K_traffic,30,-0.19053321298952547,0.0022007731757996136
0490,hoop_stress,20,0.09907611665605776,0.11451252715219579
0490,K_stress,100,-0.07828476596494549,0.21190542061881673
0490,K_total,50,0.1070080956706465,0.08751393424759951
0490,D_final,100,-0.10275849229795639,0.10091473855500017
0490,K_repair,30,0.2478469279882276,6.101002569258308e-05
