OPERATION_ID,REPAIR_COUNT_AT_LOCATION,작업타입,작업종료일,IS_MATCHED,MATCH_REASON,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
40,1,지하누수,,True,pipes_found,4.0,PIPE_LM,29.32066819329809,2.5,3.0,2.932645739028655,24,11,False
41,1,지하누수,,True,pipes_found,4.0,PIPE_LM,11.360770702244068,2.8,2.0,6.339812351043256,40,24,False
42,1,지하누수,,True,pipes_found,4.0,PIPE_LM,23.661895991960165,2.880952380952381,2.0,7.394107395936045,42,24,False
43,3,지하누수,,True,pipes_found,4.0,PIPE_LM,12.163733546535992,2.966666666666667,3.0,2.416845104012146,30,18,False
44,1,지상누수,,True,pipes_found,4.0,PIPE_LM,7.7345445037569265,2.816326530612245,2.0,5.09366089418982,49,32,False
45,1,지상누수,,True,pipes_found,4.0,PIPE_LM,10.75108234595934,2.760869565217391,2.0,3.656972491452382,46,27,False
46,2,지하누수,,True,pipes_found,4.0,PIPE_LM,26.402062119782368,2.5357142857142856,2.0,8.609730846277138,28,16,False
47,2,지하누수,,True,pipes_found,4.0,PIPE_LM,28.91447839986086,2.8048780487804876,2.0,10.009238918070167,41,22,False
48,2,지하누수,,True,pipes_found,4.0,PIPE_LM,10.199509662987534,2.6923076923076925,3.0,6.1987435595469895,52,30,False
49,1,지하누수,,True,pipes_found,4.0,PIPE_LM,15.979149500815902,2.8333333333333335,3.0,6.73510530037479,36,22,False
50,1,지상누수,,True,pipes_found,5.0,PIPE_LM,29.44114659426797,2.7142857142857144,3.0,5.732738972398413,42,23,False
51,1,지상누수,,True,pipes_found,4.0,PIPE_LM,17.091665366693515,2.6862745098039214,1.0,8.166937244229997,51,28,False
52,1,지상누수,,True,pipes_found,4.0,PIPE_LM,29.106302414265734,2.638888888888889,3.0,6.415781639834555,36,19,False
53,4,지상누수,,True,pipes_found,4.0,PIPE_LM,18.422336406308805,2.7037037037037037,2.0,9.716638696431717,54,29,True
54,2,지상누수,,True,pipes_found,4.0,PIPE_LM,26.789131493304204,2.719298245614035,2.0,6.6907869764584875,57,28,False
55,8,지하누수,,True,pipes_found,4.0,PIPE_LM,28.580220653745194,2.625,2.0,7.013662752233789,40,24,True
56,3,지하누수,,True,pipes_found,4.0,PIPE_LM,28.874519766110108,2.74,2.0,6.652311210769274,50,31,False
57,1,지하누수,,True,pipes_found,4.0,PIPE_LM,27.817415686909662,2.765957446808511,2.0,6.4383555202826175,47,26,False
58,1,지하누수,,True,pipes_found,4.0,PIPE_LM,12.968175286045886,2.76271186440678,3.0,7.172483455882782,59,31,False
59,3,지상누수,,True,pipes_found,4.0,PIPE_LM,26.015182889389514,2.65625,2.0,6.9077191577657375,32,16,False
