gap_days,low_true,low_pred,low_ratio,low_contribution_pct,high_true,high_pred,high_ratio,high_contribution_pct,total_true,total_pred,total_ratio,interaction,interaction_contribution_pct
3,6,10,1.6666666666666667,0.5706134094151213,1198,1440,1.2020033388981637,34.52211126961483,740,1441,1.9472972972972973,455,64.90727532097004
7,12,17,1.4166666666666667,0.29205607476635514,2723,3447,1.2658832170400294,42.28971962616823,1734,3446,1.9873125720876585,983,57.41822429906542
14,27,34,1.2592592592592593,0.19807583474816073,5418,6935,1.2799926172019196,42.92586304470854,3394,6928,2.0412492634060104,2010,56.8760611205433
24,42,59,1.4047619047619047,0.2716088832081802,9234,12014,1.301061295213342,44.41604090110241,5754,12013,2.0877650330205073,3462,55.312350215689406
