DATA_SRC,zone,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,AVG_DEP,PIP_TYPE,IST_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,high_total_cycles,low_total_cycles,design_pressure,thickness,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_material,K_repair,K_total,fatigue_limit,D_base,D_final_org,D_final,remaining_life_years,high_fatigue_damage,low_fatigue_damage,SMZ_NUM,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,MDZ_NUM,LGZ_NUM,WTP_CDE,FNS_YMD,MET_IDN
SPLY_LS,0200,SA002,63506,5011025300,336061975,6500000,MOP028,15.0,8.75,JHT910,0.0,0.0,,1,2003/PE/Ø15/L8.8/D,,0.0,PE,2003-01-01,2003-01-01,8584.0,23.50171115674196,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.4700342231348391,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.076731168714362,100000.0,0.138603,0.28784117017731675,0.28784117017731675,2.47413818316531,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,69692,5011025300,336061965,6500000,MOP028,0.0,42.45,JHT910,0.0,0.0,,1,1900/PE//L42.5/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,-inf,3.529993155373032,1.2,1.0,1.05,0.0,0.8,1.1,0.0,-inf,100000.0,0.138603,-inf,-inf,0.0,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,76253,5011025300,336061975,6500000,MOP028,15.0,5.71,JHT910,0.0,0.0,,1,2006/PE/Ø15/L5.7/D,,0.0,PE,2006-01-01,2006-01-01,7488.0,20.501026694045173,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.4100205338809035,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9919492656390663,100000.0,0.138603,0.2760901440653715,0.2760901440653715,2.6220054264712322,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,81273,5011025300,336061953,6500000,MOP028,32.0,276.44,JHT910,0.0,0.0,,1,1900/PE/Ø32/L276.4/D,,0.0,PE,1900-01-01,1900-01-01,46204.0,126.4996577686516,128583.0,1002.0,1.6,4.6,0.9430282858405817,3.529993155373032,1.2,1.0,1.05,5.565217391304349,1.4956521739130435,1.1,0.0,6.90068843603131,100000.0,0.138603,0.9564561192992478,0.9564561192992478,0.04552627122366559,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,84778,5011025300,336061965,6500000,MOP028,15.0,4.5,JHT910,0.0,0.0,,1,2005/PE/Ø15/L4.5/D,,0.0,PE,2005-01-01,2005-01-01,7853.0,21.50034223134839,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.4300068446269678,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.0201841147471713,100000.0,0.138603,0.28000357885630217,0.28000357885630217,2.5713829233347045,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,87905,5011025300,336061975,6500000,MOP028,15.0,5.03,JHT910,0.0,0.0,,1,2008/PE/Ø15/L5.0/D,,0.0,PE,2008-01-01,2008-01-01,6758.0,18.50239561943874,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.3700479123887748,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9354795674228558,100000.0,0.138603,0.26826327448351006,0.26826327448351006,2.7276813306827403,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,89010,5011025300,336061985,6500000,MOP028,15.0,4.74,JHT910,0.0,0.0,,1,1993/PE/Ø15/L4.7/D,,0.0,PE,1993-01-01,1993-01-01,12236.0,33.50034223134839,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.6700068446269678,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.359234371297375,100000.0,0.138603,0.3269969615649301,0.3269969615649301,2.0581323912437495,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,90556,5011025300,336061975,6500000,MOP028,15.0,4.26,JHT910,0.0,0.0,,1,2007/PE/Ø15/L4.3/D,,0.0,PE,2007-01-01,2007-01-01,7123.0,19.50171115674196,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.390034223134839,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9637144165309606,100000.0,0.138603,0.2721767092744407,0.2721767092744407,2.6740836593467736,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,85690,5011025300,336061975,6500000,MOP028,15.0,4.69,JHT910,0.0,0.0,,1,1990/PE/Ø15/L4.7/D,,0.0,PE,1990-01-01,1990-01-01,13332.0,36.50102669404517,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.7300205338809036,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.444016274372672,100000.0,0.138603,0.3387479876768755,0.3387479876768755,1.9520470567455555,0.128583,0.01002,0200,,,,,,,,,
SPLY_LS,0200,SA002,92715,5011025300,336061975,6500000,MOP028,15.0,1.77,JHT910,0.0,0.0,,1,2006/PE/Ø15/L1.8/D,,0.0,PE,2006-01-01,2006-01-01,7488.0,20.501026694045173,128583.0,1002.0,1.6,4.6,0.9051440007557059,1.4100205338809035,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9919492656390663,100000.0,0.138603,0.2760901440653715,0.2760901440653715,2.6220054264712322,0.128583,0.01002,0200,,,,,,,,,
