FTR_CDE,FTR_IDN,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,PIP_LBL,AVG_DEP,SYS_CHK,IQT_CDE,SHAPE_LEN,MNF
SA002,303004,5011056000,5011010600,336071165,6500000,19880229,SAA005,MOP002,15.0,1.42,JHT903,0.0,0.0,WT2021080329,1988/SP/Ø15/L1.4/D,0.0,1,IQT904,1.42280918738,62
SA002,303010,5011056000,5011010600,336071164,6500000,20010407,SAA005,MOP002,15.0,3.27,JHT903,0.0,0.0,WT2021080329,2001/SP/Ø15/L3.3/D,0.0,1,IQT904,3.27467060939,62
SA002,303395,5011056000,5011010600,336071175,6500000,20020622,SAA005,MOP032,15.0,2.88,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L2.9/D,0.0,1,IQT004,2.87713485954,62
SA002,303758,5011056000,5011010600,336071165,6500000,19971211,SAA005,MOP032,20.0,1.7,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø20/L1.7/D,0.0,1,IQT004,1.70404753455,62
SA002,303100,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,10.58,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L10.6/D,0.0,1,IQT004,10.57651859170,62
SA002,303106,5011056000,5011010600,336071164,6500000,19000101,SAA005,MOP002,15.0,1.34,JHT903,0.0,0.0,WT2021080329,1900/SP/Ø15/L1.3/D,0.0,1,IQT904,1.33625627782,62
SA002,303466,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,15.0,3.09,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L3.1/D,0.0,1,IQT004,3.08560599502,62
SA002,303227,5011056000,5011010600,336071164,6500000,19971110,SAA005,MOP032,15.0,10.31,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L10.3/D,0.0,1,IQT004,10.31336287540,62
SA002,303230,5011056000,5011010600,336071165,6500000,20020622,SAA005,MOP032,15.0,6.77,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L6.8/D,0.0,1,IQT004,6.76584941304,62
SA002,303577,5011056000,5011010600,336071164,6500000,20030618,SAA005,MOP032,15.0,1.99,JHT904,0.0,0.0,WT2021080329,2003/HI-3P/Ø15/L2/D,0.0,1,IQT004,1.99375650469,62
SA002,303651,5011056000,5011010600,336071175,6500000,19970429,SAA005,MOP032,15.0,6.37,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L6.4/D,0.0,1,IQT004,6.36709637433,62
SA002,303012,5011056000,5011010600,336071165,6500000,19971211,SAA005,MOP032,20.0,2.68,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø20/L2.7/D,0.0,1,IQT004,2.68019435337,62
SA002,303020,5011056000,5011010600,336071175,6500000,19000101,SAA005,MOP002,15.0,1.92,JHT903,0.0,0.0,WT2021080329,1900/SP/Ø15/L1.9/D,0.0,1,IQT904,1.91646027874,62
SA002,303844,5011056000,5011010600,336071165,6500000,20020622,SAA005,MOP032,15.0,7.03,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L7/D,0.0,1,IQT004,7.03392507071,62
SA002,303926,5011056000,5011010600,336071174,6500000,19940608,SAA005,MOP921,20.0,3.5,JHT092,0.0,0.0,WT2021080329,1994/PFP/Ø20/L3.5/D,0.0,1,IQT004,3.50260260378,62
SA002,303937,5011056000,5011010600,336071165,6500000,19981116,SAA005,MOP002,15.0,1.2,JHT903,0.0,0.0,WT2021080329,1998/SP/Ø15/L1.2/D,0.0,1,IQT904,1.20342651547,62
SA002,303658,5011051000,5011010100,336071175,6500000,19971211,SAA005,MOP032,15.0,4.17,JHT904,0.0,0.0,WT2021080329,1997/HI-3P/Ø15/L4.2/D,0.0,1,IQT004,4.17366146207,62
SA002,303660,5011056000,5011010600,336071164,6500000,20020906,SAA005,MOP032,15.0,1.61,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L1.6/D,0.0,1,IQT004,1.61478481539,62
SA002,303846,5011056000,5011010600,336071164,6500000,20021212,SAA005,MOP032,15.0,4.37,JHT904,0.0,0.0,WT2021080329,2002/HI-3P/Ø15/L4.4/D,0.0,1,IQT004,4.36873078649,62
SA002,303849,5011056000,5011010600,336071165,6500000,19880229,SAA005,MOP002,15.0,1.61,JHT903,0.0,0.0,WT2021080329,1988/SP/Ø15/L1.6/D,0.0,1,IQT904,1.60723520370,62
SA002,303854,5011056000,5011010600,336071174,6500000,20081223,SAA005,MOP032,15.0,2.46,JHT904,0.0,0.0,WT2021080329,2008/HI-3P/Ø15/L2.5/D,0.0,1,IQT004,2.46374265702,62
SA002,303943,5011056000,5011010600,336071165,6500000,20001220,SAA005,MOP002,20.0,4.76,JHT903,0.0,0.0,WT2021080329,2000/SP/Ø20/L4.8/D,0.0,1,IQT904,4.75874848249,62
