DATA_SRC,zone,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,AVG_DEP,PIP_TYPE,IST_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,high_total_cycles,low_total_cycles,design_pressure,thickness,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_material,K_repair,K_total,fatigue_limit,D_base,D_final_org,D_final,remaining_life_years,high_fatigue_damage,low_fatigue_damage,SMZ_NUM
SPLY_LS,0100,SA002,304391,5011056000,336071164,6500000.0,MOP002,15.0,2.66,JHT903,0.0,0.0,WT2021080329,1.0,1982/SP/Ø15/L2.7/D,,0.0,ST,1982-01-01,1982-01-01,16204.0,44.36413415468857,320827.0,1394.0,2.0,3.25,0.9051440007557059,1.8872826830937715,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,2.443814192211365,1000000.0,0.0334767,0.0818108345684022,0.0818108345684022,11.22331987291852,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304092,5011056000,336071175,6500000.0,MOP032,20.0,8.42,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø20/L8.4/D,,0.0,PE,1997-12-11,1997-12-11,10381.0,28.421629021218344,320827.0,1394.0,1.6,4.6,0.919528104378295,1.5684325804243668,1.2,1.0,1.05,3.4782608695652177,1.2347826086956522,1.1,0.0,2.468224148161153,100000.0,0.334767,0.8262799934074646,0.8262799934074646,0.210243510648416,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304093,5011056000,336071175,6500000.0,MOP002,15.0,2.05,JHT903,0.0,0.0,WT2021080329,1.0,1900/SP/Ø15/L2.1/D,,0.0,ST,1900-01-01,1900-01-01,46154.0,126.36276522929501,320827.0,1394.0,2.0,3.25,0.9051440007557059,3.5272553045859003,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,4.567390274979571,1000000.0,0.0334767,0.1529011540184086,0.1529011540184086,5.540173005362697,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304192,5011056000,336071175,6500000.0,MOP032,15.0,4.21,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø15/L4.2/D,,0.0,PE,1997-12-11,1997-12-11,10381.0,28.421629021218344,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5684325804243668,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.2157394532274166,100000.0,0.334767,0.7417564495385826,0.7417564495385826,0.3481514055213953,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304210,5011056000,336071165,6500000.0,MOP032,25.0,13.13,JHT904,0.0,0.0,WT2021080329,1.0,2002/HI-3P/Ø25/L13.1/D,,0.0,PE,2002-06-22,2002-06-22,8727.0,23.89322381930185,320827.0,1394.0,1.6,4.6,0.9306852819440055,1.477864476386037,1.2,1.0,1.05,4.347826086956522,1.3434782608695652,1.1,0.0,2.5611282684574914,100000.0,0.334767,0.8573812270467089,0.8573812270467089,0.16634230894528484,0.320827,0.01394,0100
SPLY_LS,0100,SA002,303952,5011056000,336071174,6500000.0,MOP032,32.0,20.73,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø32/L20.7/D,,0.0,PE,1997-11-10,1997-11-10,10412.0,28.50650239561944,320827.0,1394.0,1.6,4.6,0.9430282858405817,1.5701300479123887,1.2,1.0,1.05,5.565217391304349,1.4956521739130435,1.1,0.0,3.0694048933784184,100000.0,0.334767,1.0275354679416129,1.0275354679416129,0.0,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304101,5011056000,336071174,6500000.0,MOP032,32.0,26.97,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø32/L27/D,,0.0,PE,1997-11-10,1997-11-10,10412.0,28.50650239561944,320827.0,1394.0,1.6,4.6,0.9430282858405817,1.5701300479123887,1.2,1.0,1.05,5.565217391304349,1.4956521739130435,1.1,0.0,3.0694048933784184,100000.0,0.334767,1.0275354679416129,1.0275354679416129,0.0,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304035,5011056000,336071164,6500000.0,MOP032,15.0,2.0,JHT904,0.0,0.0,WT2021080329,1.0,2003/HI-3P/Ø15/L2/D,,0.0,PE,2003-06-18,2003-06-18,8366.0,22.90485968514716,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.4580971937029432,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.0598676150004804,100000.0,0.334767,0.6895757018708658,0.6895757018708658,0.4501671060725196,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304038,5011056000,336071174,6500000.0,MOP002,15.0,6.41,JHT903,0.0,0.0,WT2021080329,1.0,1900/SP/Ø15/L6.4/D,,0.0,ST,1900-01-01,1900-01-01,46154.0,126.36276522929501,320827.0,1394.0,2.0,3.25,0.9051440007557059,3.5272553045859003,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,4.567390274979571,1000000.0,0.0334767,0.1529011540184086,0.1529011540184086,5.540173005362697,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304411,5011056000,336071165,6500000.0,MOP921,15.0,3.25,JHT092,0.0,0.0,WT2021080329,1.0,1994/PFP/Ø15/L3.3/D,,0.0,PFP,1994-08-05,1994-08-05,11605.0,31.772758384668034,320827.0,1394.0,1.6,2.65,0.9051440007557059,1.6354551676933609,1.2,1.0,1.05,4.528301886792453,1.3660377358490565,0.6,0.0,1.528765286914944,1000000.0,0.0334767,0.0511780168804655,0.0511780168804655,18.539639496693688,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304216,5011056000,336071164,6500000.0,MOP002,15.0,3.6,JHT903,0.0,0.0,WT2021080329,1.0,1900/SP/Ø15/L3.6/D,,0.0,ST,1900-01-01,1900-01-01,46154.0,126.36276522929501,320827.0,1394.0,2.0,3.25,0.9051440007557059,3.5272553045859003,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,4.567390274979571,1000000.0,0.0334767,0.1529011540184086,0.1529011540184086,5.540173005362697,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304311,5011059000,336071165,6500000.0,MOP032,15.0,0.53,JHT904,0.0,0.0,WT2021080329,1.0,2000/HI-3P/Ø15/L0.5/D,,0.0,PE,2000-10-21,2000-10-21,9336.0,25.560574948665298,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.511211498973306,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.134902693452157,100000.0,0.334767,0.7146949699788981,0.7146949699788981,0.39919831817135315,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304332,5011056000,336071175,6500000.0,MOP032,15.0,0.82,JHT904,0.0,0.0,WT2021080329,1.0,2007/HI-3P/Ø15/L0.8/D,,0.0,PE,2007-12-07,2007-12-07,6733.0,18.43394934976044,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.3686789869952087,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,1.9335456736483283,100000.0,0.334767,0.6472872845302299,0.6472872845302299,0.5449090749955827,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304421,5011056000,336071165,6500000.0,MOP032,15.0,0.63,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø15/L0.6/D,,0.0,PE,1997-12-11,1997-12-11,10381.0,28.421629021218344,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5684325804243668,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.2157394532274166,100000.0,0.334767,0.7417564495385826,0.7417564495385826,0.3481514055213953,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304422,5011056000,336071175,6500000.0,MOP032,20.0,0.71,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø20/L0.7/D,,0.0,PE,1997-12-11,1997-12-11,10381.0,28.421629021218344,320827.0,1394.0,1.6,4.6,0.919528104378295,1.5684325804243668,1.2,1.0,1.05,3.4782608695652177,1.2347826086956522,1.1,0.0,2.468224148161153,100000.0,0.334767,0.8262799934074646,0.8262799934074646,0.210243510648416,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304607,5011056000,336071175,6500000.0,MOP001,32.0,4.94,JHT002,0.0,0.0,WT2021080329,1.0,1900/DCIP/Ø32/L4.9/D,,0.0,DTC,1900-01-01,1900-01-01,46154.0,126.36276522929501,320827.0,1394.0,1.0,6.0,0.9430282858405817,3.5272553045859003,1.2,1.0,1.05,2.6666666666666665,1.3333333333333333,1.0,0.0,5.588186559657644,1000000.0,0.0334767,0.18707404500169103,0.18707404500169103,4.345476974055704,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304065,5011056000,336071164,6500000.0,MOP002,15.0,1.44,JHT903,0.0,0.0,WT2021080329,1.0,1991/SP/Ø15/L1.4/D,,0.0,ST,1991-02-09,1991-02-09,12878.0,35.2580424366872,320827.0,1394.0,2.0,3.25,0.9051440007557059,1.705160848733744,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,2.2079873457577066,1000000.0,0.0334767,0.07391612997772701,0.07391612997772701,12.528846820055756,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304424,5011056000,336071165,6500000.0,MOP002,15.0,0.48,JHT903,0.0,0.0,WT2021080329,1.0,1988/SP/Ø15/L0.5/D,,0.0,ST,1988-02-29,1988-02-29,13954.0,38.20396988364134,320827.0,1394.0,2.0,3.25,0.9051440007557059,1.7640793976728268,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,2.2842800958431355,1000000.0,0.0334767,0.07647015948451188,0.07647015948451188,12.07699639625491,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304429,5011056000,336071164,6500000.0,MOP032,15.0,7.33,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø15/L7.3/D,,0.0,PE,1997-01-01,1997-01-01,10725.0,29.363449691991786,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5872689938398357,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.242349831564918,100000.0,0.334767,0.7506647260634929,0.7506647260634929,0.332152644555484,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304238,5011056000,336071164,6500000.0,MOP032,15.0,1.37,JHT904,0.0,0.0,WT2021080329,1.0,1999/HI-3P/Ø15/L1.4/D,,0.0,PE,1999-01-01,1999-01-01,9995.0,27.364818617385353,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5472963723477071,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.185880133348708,100000.0,0.334767,0.731760534600747,0.731760534600747,0.3665672753800615,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304245,5011056000,336071164,6500000.0,MOP032,15.0,2.25,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø15/L2.3/D,,0.0,PE,1997-01-01,1997-01-01,10725.0,29.363449691991786,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5872689938398357,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.242349831564918,100000.0,0.334767,0.7506647260634929,0.7506647260634929,0.332152644555484,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304338,5011056000,336071165,6500000.0,MOP032,15.0,4.2,JHT904,0.0,0.0,WT2021080329,1.0,1998/HI-3P/Ø15/L4.2/D,,0.0,PE,1998-05-21,1998-05-21,10220.0,27.980835044490075,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5596167008898014,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.2032851773194575,100000.0,0.334767,0.7375871689557028,0.7375871689557028,0.35577195766004027,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304344,5011056000,336071165,6500000.0,MOP002,15.0,1.74,JHT903,0.0,0.0,WT2021080329,1.0,1998/SP/Ø15/L1.7/D,,0.0,ST,1998-10-15,1998-10-15,10073.0,27.578370978781656,320827.0,1394.0,2.0,3.25,0.9051440007557059,1.5515674195756333,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,2.0091015056186485,1000000.0,0.0334767,0.0672580883731438,0.0672580883731438,13.868100241744317,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304347,5011056000,336071165,6500000.0,MOP002,15.0,5.52,JHT903,0.0,0.0,WT2021080329,1.0,1997/SP/Ø15/L5.5/D,,0.0,ST,1997-04-16,1997-04-16,10620.0,29.075975359342916,320827.0,1394.0,2.0,3.25,0.9051440007557059,1.5815195071868584,1.2,1.0,1.05,4.615384615384615,1.2615384615384615,0.9,0.0,2.0478860170468356,1000000.0,0.0334767,0.0685564658268718,0.0685564658268718,13.586516208775073,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,304437,5011056000,336071164,6500000.0,MOP032,15.0,2.54,JHT904,0.0,0.0,WT2021080329,1.0,2003/HI-3P/Ø15/L2.5/D,,0.0,PE,2003-06-18,2003-06-18,8366.0,22.90485968514716,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.4580971937029432,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.0598676150004804,100000.0,0.334767,0.6895757018708658,0.6895757018708658,0.4501671060725196,0.320827,0.01394,0100
SPLY_LS,0100,SA002,304438,5011056000,336071165,6500000.0,MOP032,15.0,1.32,JHT904,0.0,0.0,WT2021080329,1.0,2001/HI-3P/Ø15/L1.3/D,,0.0,PE,2001-07-11,2001-07-11,9073.0,24.840520191649556,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.496810403832991,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.114558130944125,100000.0,0.334767,0.7078842818217719,0.7078842818217719,0.41266026902936065,0.320827,0.01394,0100
SPLY_LS,0100,SA002,2017112863,5011056000,336071164,6510214.0,MOP808,20.0,2.09,,0.6,0.6,,,2020/경질염화비닐관(HI-VP)/Φ20/L2/D0.6,,0.6,,2020-10-21,2020-10-21,2031.0,5.560574948665297,320827.0,1394.0,1.6,2.65,0.919528104378295,1.111211498973306,1.2,1.0,1.05,6.037735849056604,1.5547169811320756,3.0,0.0,6.0048875127464285,1000000.0,0.0334767,0.20102381779795836,0.20102381779795836,3.9745349130970298,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,2017113261,5011056000,336071164,6510214.0,MOP808,50.0,6.53,,0.7,0.7,,,2021/경질염화비닐관(HI-VP)/Φ50/L6/D0.7,,0.7,,2021-04-29,2021-04-29,1841.0,5.040383299110198,320827.0,1394.0,1.6,3.65,0.9653426409720027,1.100807665982204,1.2,1.0,1.05,10.95890410958904,2.16986301369863,3.0,0.0,8.715996606543825,1000000.0,0.0334767,0.2917828035982857,0.2917828035982857,2.4272067704742395,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,303025,5011056000,336071164,6500000.0,MOP002,25.0,3.62,JHT903,0.0,0.0,WT2021080329,1.0,2002/SP/Ø25/L3.6/D,,0.0,ST,2002-04-15,2002-04-15,8795.0,24.079397672826833,320827.0,1394.0,2.0,3.25,0.9306852819440055,1.4815879534565366,1.2,1.0,1.05,7.6923076923076925,1.5692307692307694,0.9,0.0,2.4537491027050504,1000000.0,0.0334767,0.08214342258652615,0.08214342258652615,11.173829242951806,0.0320827,0.001394,0100
SPLY_LS,0100,SA002,303426,5011056000,336071174,6500000.0,MOP032,15.0,20.79,JHT904,0.0,0.0,WT2021080329,1.0,1997/HI-3P/Ø15/L20.8/D,,0.0,PE,1997-11-10,1997-11-10,10412.0,28.50650239561944,320827.0,1394.0,1.6,4.6,0.9051440007557059,1.5701300479123887,1.2,1.0,1.05,2.608695652173913,1.126086956521739,1.1,0.0,2.2181374815078314,100000.0,0.334767,0.7425592302719322,0.7425592302719322,0.3466939191285665,0.320827,0.01394,0100
