FTR_CDE,FTR_IDN,CNT_NUM,SYS_CHK,STD_HOL,STD_VEL,PIP_LBL,IST_YMD,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,AVG_DEP,IQT_CDE,HJD_CDE,BJD_CDE,SHT_NUM,MNG_CDE,SAA_CDE,MOD_CDE,A_MOD_CDE,B_MOD_CDE,SHAPE_LEN
SA001,304372,WT2021080329,1,0.00,0.00,1998/HI-3P/Ø80/L0.2/D,19980101,MOP032,80.0,0.23,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA913,,,,0.22932217512
SA001,304394,WT2021080329,1,0.00,0.00,1999/HI-3P/Ø80/L1.6/D,19990101,MOP032,80.0,1.63,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071165,6500000,SAA908,,,,1.62740541968
SA001,304409,WT2021080329,1,0.00,0.00,2003/HI-3P/Ø50/L1.1/D,20030101,MOP032,50.0,1.07,JHT904,0.0,0.0,0.0,IQT004,5011056000,5011010600,336071164,6500000,SAA908,,,,1.06716918751
SA001,304416,WT2021080329,1,0.00,0.00,1900/SP/Ø80/L6.7/D,19000101,MOP002,80.0,6.74,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071174,6500000,SAA908,,,,6.74201836619
SA001,304434,WT2021080329,1,0.00,0.00,1900/SP/Ø65/L92.3/D,19000101,MOP002,65.0,92.29,JHT903,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071174,6500000,SAA908,,,,92.29012329660
SA001,304447,WT2021080329,1,0.00,0.00,1900/DCIP/Ø200/L91.2/D0.9,19000101,MOP001,200.0,91.16,JHT002,0.80000001,1.0,0.92000002,IQT001,5011056000,5011010600,336071175,6500000,SAA004,,,,91.16008780940
SA001,304448,WT2021080329,1,0.00,0.00,1900/DCIP/Ø200/L28.7/D,19000101,MOP001,200.0,28.65,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071175,6500000,SAA908,,,,28.65436982870
SA001,304453,WT2021080329,1,0.00,0.00,1900/DCIP/Ø200/L25.7/D,19000101,MOP001,200.0,25.72,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071175,6500000,SAA908,,,,25.71711710380
SA001,304459,WT2021080329,1,0.00,0.00,1900/DCIP/Ø80/L70.8/D,19000101,MOP001,80.0,70.76,JHT002,0.0,0.0,0.0,IQT904,5011056000,5011010600,336071164,6500000,SAA908,,,,70.76372938510
SA001,304482,WT2021080329,1,0.00,0.00,1994/PFP/Ø50/L1.1/D0.7,19940101,MOP921,50.0,1.05,JHT092,0.69999999,0.69999999,0.69999999,IQT001,5011056000,5011010600,336071174,6500000,SAA004,,,,1.04598326946
