FTR_IDN,pipe_length,K_repair,K_repair_per_m,K_repair_ground,K_repair_ground_per_m,K_repair_under,K_repair_under_per_m,K_repair_emergency,K_repair_emergency_per_m,K_repair_management,K_repair_management_per_m
299649.0,3.68,2.42,0.2422,1.15,0.115,0.0,0.0,1.27,0.1271,0.0,0.0
298008.0,6.52,0.53,0.0526,0.26,0.0263,0.0,0.0,0.26,0.0263,0.0,0.0
36404.0,22.61,9.59,0.4243,2.91,0.1286,1.47,0.0649,5.22,0.2308,0.0,0.0
298005.0,101.93,3.41,0.0334,1.43,0.0141,0.31,0.003,1.67,0.0164,0.0,0.0
471694.0,54.65,12.21,0.2235,4.32,0.079,1.08,0.0197,6.82,0.1247,0.0,0.0
277675.0,71.53,15.13,0.2115,5.71,0.0798,2.08,0.0291,7.34,0.1026,0.0,0.0
210596.0,2.06,2.94,0.2936,1.28,0.1282,0.0,0.0,1.65,0.1653,0.0,0.0
244038.0,26.09,7.79,0.2988,3.17,0.1215,0.3,0.0117,4.32,0.1657,0.0,0.0
142120.0,25.54,8.6,0.3368,0.55,0.0214,2.17,0.085,5.88,0.2304,0.0,0.0
418930.0,33.59,10.2,0.3038,2.4,0.0715,1.97,0.0586,5.83,0.1737,0.0,0.0
210425.0,18.46,7.9,0.428,2.61,0.1415,1.44,0.0778,3.85,0.2087,0.0,0.0
308930.0,4.29,1.42,0.1418,0.96,0.0956,0.15,0.0154,0.31,0.0308,0.0,0.0
71379.0,20.7,0.39,0.0188,0.2,0.0097,0.09,0.0045,0.09,0.0045,0.0,0.0
243990.0,21.04,2.86,0.1361,1.37,0.0651,0.93,0.0443,0.56,0.0267,0.0,0.0
144226.0,7.13,0.73,0.0732,0.39,0.0385,0.15,0.0147,0.2,0.02,0.0,0.0
461744.0,37.47,0.59,0.0157,0.0,0.0,0.59,0.0157,0.0,0.0,0.0,0.0
459328.0,4.31,4.17,0.4169,1.41,0.1411,0.54,0.0543,2.22,0.2215,0.0,0.0
308929.0,21.27,4.25,0.1999,1.58,0.0745,1.18,0.0556,1.48,0.0698,0.0,0.0
142175.0,31.04,2.26,0.0728,0.93,0.03,0.59,0.0191,0.73,0.0237,0.0,0.0
175868.0,28.43,1.76,0.062,1.11,0.0391,0.24,0.0083,0.41,0.0146,0.0,0.0
220500.0,63.99,9.14,0.1429,1.68,0.0263,3.05,0.0477,4.41,0.0689,0.0,0.0
308893.0,12.29,1.66,0.1352,0.0,0.0,1.33,0.1081,0.33,0.0271,0.0,0.0
176380.0,61.81,10.19,0.1649,1.26,0.0203,5.07,0.082,3.87,0.0626,0.0,0.0
199209.0,5.46,2.93,0.2925,0.25,0.0247,1.09,0.1088,1.59,0.159,0.0,0.0
210423.0,11.22,6.59,0.5869,2.46,0.2194,1.98,0.1764,2.15,0.1911,0.0,0.0
319483.0,29.54,5.13,0.1738,1.16,0.0392,2.03,0.0687,1.95,0.0659,0.0,0.0
308932.0,27.92,5.24,0.1876,1.96,0.0701,1.39,0.0497,1.9,0.0679,0.0,0.0
142176.0,23.94,2.57,0.1073,0.48,0.0201,0.91,0.0381,1.17,0.0491,0.0,0.0
71585.0,413.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465916.0,20.21,2.98,0.1474,0.16,0.0081,1.2,0.0595,1.61,0.0797,0.0,0.0
243991.0,65.24,14.21,0.2178,4.67,0.0716,3.35,0.0513,6.19,0.0948,0.0,0.0
308430.0,101.94,12.47,0.1223,3.81,0.0374,3.28,0.0322,5.37,0.0527,0.0,0.0
215002.0,14.19,1.61,0.1135,0.0,0.0,0.9,0.0633,0.71,0.0503,0.0,0.0
302085.0,4.46,3.13,0.3131,0.73,0.0731,1.34,0.1336,1.06,0.1064,0.0,0.0
71431.0,336.63,33.19,0.0986,9.58,0.0285,9.23,0.0274,14.38,0.0427,0.0,0.0
299696.0,420.63,27.81,0.0661,10.31,0.0245,6.64,0.0158,10.86,0.0258,0.0,0.0
105107.0,14.54,6.2,0.4264,1.79,0.1231,1.4,0.0965,3.01,0.2068,0.0,0.0
244002.0,23.65,7.68,0.3246,2.5,0.1057,1.81,0.0766,3.36,0.1423,0.0,0.0
244001.0,18.9,7.24,0.3828,2.59,0.1373,1.45,0.0768,3.19,0.1688,0.0,0.0
