cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8952791,128.6085304,143067,SPLY_LS,4.899724673900717,55,1.6226967830253252,1.7526899383983574,1.6067571526585933,1.0,1.0,1.0,1.0,1.2,1.0226286946069552,7.471264367816092,14.285714285714286,8.420764596074056,1.547126436781609,3.3000000000000003,1.7012094071540287,4.300236595838574,9.256027669599202,4.812435163178435,13,150,22.463419873686732,0.0211616792999514,0.0455493749634811,0.023682234059759208
1,1,35.8955801,128.6084953,37926,SPLY_LS,3.312359331544687,63,1.6132785763175908,1.7526899383983574,1.5974066683201753,1.0,1.0,1.0,1.0,1.2,1.0014676884001807,9.523809523809524,14.285714285714286,8.593959261658712,1.7523809523809524,2.5777777777777775,1.7255511945445223,5.623925030053709,8.520309867712145,4.863748114995989,20,100,24.68473264243004,0.0276756162691458,0.0419288708745048,0.023934747661300968
2,1,35.8955649,128.6090574,72373,SPLY_LS,3.6052304799168513,59,1.6792607802874744,1.7612867898699522,1.6227316193116237,1.0,1.0,1.0,1.0,1.2,1.005139976335107,7.471264367816092,17.857142857142858,8.535260088282707,1.547126436781609,3.3000000000000003,1.734631143373732,10.102141021280556,10.699904903618648,5.487157350003845,13,150,26.081242448764627,0.0497131410727726,0.0526547670259525,0.02700257567723637
3,1,35.8964922,128.6065103,37978,SPLY_LS,5.479779826210916,53,1.6619575633127996,1.7218069815195074,1.6352582867457075,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,11.428571428571429,7.558762460693839,1.547126436781609,2.466666666666667,1.68163594923635,5.73937808438791,6.7632247330008015,4.054432844042131,13,100,26.523408999334507,0.0282437665221771,0.0332821670723335,0.019952066747173466
4,1,35.8972847,128.6067763,106548,PIPE_LM,6.544057833950433,52,1.7326488706365502,1.7418480492813142,1.6667949968293319,1.0,1.0,1.0,1.0,1.2,1.0069704625943587,15.873015873015872,15.873015873015872,8.416668849034352,3.9746031746031742,3.9746031746031742,1.963551407101552,8.837926571575123,8.837926571575123,5.652052564607783,200,200,49.221544938714175,0.0434918785550497,0.0434918785550497,0.027814033273063078
5,1,35.8951696,128.6090785,3839,SPLY_LS,5.585607254984047,42,1.7011088295687884,1.7612867898699522,1.5943589029656144,1.0,1.0,1.0,1.0,1.2,1.029205426064954,7.471264367816092,17.857142857142858,8.959227249778609,1.547126436781609,3.3000000000000003,1.7852876076942799,4.442024377850839,10.102141021280556,5.439387865533244,13,150,27.35792616958227,0.0218594240646228,0.0497131410727726,0.02676749965568233
6,3,35.8974475,128.6082208,255636,PIPE_LM,6.101580020383117,48,1.792662559890486,1.792662559890486,1.6283957615648026,1.0,1.0,1.0,1.0,1.2,1.0159294086524167,6.666666666666667,14.22222222222222,7.862849896601415,2.1333333333333337,2.5777777777777775,1.7143348350586072,4.878477913181699,6.735069139238159,3.874741752791129,80,100,28.80523370433751,0.0240072337346628,0.0331436119876479,0.019067797902572733
7,1,35.8963146,128.608057,3823,SPLY_LS,5.421364276843535,62,1.7156194387405888,1.7326488706365502,1.6534279198118857,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,15.873015873015872,8.302880075310993,1.547126436781609,3.9746031746031742,1.720897797994736,6.14245221863438,8.837926571575123,4.751968169048015,13,200,26.11033275307051,0.0302273144905107,0.0434918785550497,0.02338467295829368
8,1,35.8950228,128.6085868,72378,SPLY_LS,3.05764614021896,34,1.6403832991101983,1.7526899383983574,1.606861368986033,1.0,1.0,1.0,1.0,1.2,1.0773518214114626,7.471264367816092,12.5,8.478530019811476,1.547126436781609,3.3000000000000003,1.756758969659338,9.256027669599202,9.256027669599202,6.05324745385984,13,150,28.24494324612159,0.0455493749634811,0.0455493749634811,0.029788333382816914
9,1,35.8963925,128.6093905,37918,SPLY_LS,7.056257089664262,40,1.657467488021903,1.7526899383983574,1.6225866923731935,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.200267697838608,1.547126436781609,3.3000000000000003,1.7724950006745455,2.6128844119736767,6.741641884727672,3.288893094619329,13,150,32.006492853739125,0.012858134835543,0.0331759567968391,0.01618480736327641
