File,Data_Type,Total_Cycles,Mean_Range,Max_Range,Std_Range,Damage_Equivalent
0243 소구역 압력 데이터.csv,Original,100491.5,0.08609898302186261,1.7999999999999998,0.08327224084746193,412.0729999994544
0243 소구역 압력 데이터.csv,Low Pass,4875.0,0.02161642536761203,0.9965917731265383,0.029685207158329462,1.0542021192467186
0243 소구역 압력 데이터.csv,High Pass,164027.0,0.08145003672788095,1.7312454123109189,0.07150656955790251,385.41328061326783
0461 소구역 압력 데이터.csv,Original,105102.0,0.0935799252617266,652.1999999999999,4.021341074531091,554399707.8327732
0461 소구역 압력 데이터.csv,Low Pass,4700.0,0.13331685667943566,46.47691624980042,0.8215293196144843,58078.696154360536
0461 소구역 압력 데이터.csv,High Pass,126107.0,0.08283196265092409,642.350383618164,3.547479152202162,500886219.11626506
0470 소구역 압력 데이터.csv,Original,112169.5,0.06258332042877544,2.9,0.06653104034837773,228.5562020001821
0470 소구역 압력 데이터.csv,Low Pass,5227.5,0.13214764361363354,1.62609746528104,0.10624976967352502,51.37405420158906
0470 소구역 압력 데이터.csv,High Pass,147521.0,0.05570773996550656,2.9346353552659394,0.04194134999201025,155.032858497696
0480 소구역 압력 데이터.csv,Original,97933.5,0.056946847960445,4.0,0.061724540232342105,143.61456250006975
0480 소구역 압력 데이터.csv,Low Pass,5011.0,0.11351046345320798,3.173739715279189,0.09877634433562137,49.799191557981594
0480 소구역 압력 데이터.csv,High Pass,132537.0,0.05054575271901721,2.7461876088313217,0.038786063342910626,73.44958076195593
0490 소구역 압력 데이터.csv,Original,122994.0,0.1735494883307042,655.1999999999999,8.478873918459843,5505587914.845862
0490 소구역 압력 데이터.csv,Low Pass,5142.5,0.32167338655486044,641.962832819997,9.321386932227092,135020367.60047746
0490 소구역 압력 데이터.csv,High Pass,148322.5,0.14713685221267095,669.5134986847788,6.2102782329826836,1446734228.2494755
0520 중구역 압력 데이터.csv,Original,116913.0,0.04667713900319293,42.15,0.19309580354296016,40780.46057288677
0520 중구역 압력 데이터.csv,Low Pass,4695.5,0.08281733801633474,3.261374424375011,0.2621523803285143,467.6765398732824
0520 중구역 압력 데이터.csv,High Pass,135074.5,0.04291617376597466,41.354499571901165,0.18387918451566979,40679.55783830362
