Region,Radius,Infrastructure,Correlation,P_value,Significant
0470,10,SPLY_LS,0.044137679930893944,0.5287291414824976,False
0470,10,밸브,-0.05726652774697571,0.4135861366719672,False
0470,10,소화전,-0.03154255414743849,0.6526541642157552,False
0470,10,총인프라,0.015627058865008144,0.8235827470763827,False
0470,20,SPLY_LS,0.1450984078895866,0.03744243970675952,True
0470,20,밸브,-0.13231864453544484,0.05797083800677008,False
0470,20,소화전,-0.018320219677445175,0.7938098524792826,False
0470,20,총인프라,0.03980051678380726,0.5700390431157359,False
0470,30,SPLY_LS,0.15237240502809868,0.02878409663090738,True
0470,30,밸브,-0.09244086858208334,0.18632333655502933,False
0470,30,소화전,-0.021391149986187255,0.7602233711280456,False
0470,30,총인프라,0.07340816798159254,0.29435777582582684,False
0470,50,SPLY_LS,0.17004972662640921,0.014539702337411541,True
0470,50,밸브,-0.0520862611735512,0.45715821048189037,False
0470,50,소화전,-0.062424065978343754,0.37272977121434414,False
0470,50,총인프라,0.12409227555777178,0.07555234355547896,False
0470,100,SPLY_LS,0.12077441689261144,0.08376856699031676,False
0470,100,밸브,-0.042900363395006524,0.5403582848047197,False
0470,100,소화전,-0.11085570501177655,0.11267352608761583,False
0470,100,총인프라,0.09295701342013758,0.1838661328097617,False
0480,10,SPLY_LS,-0.0015329791298837256,0.985348590098877,False
0480,10,밸브,-0.15288074782261618,0.06544125813788912,False
0480,10,소화전,-0.110849393954017,0.18286206765667345,False
0480,10,총인프라,-0.106634723722526,0.20017503392330951,False
0480,20,SPLY_LS,0.07931982456948336,0.34125554666639385,False
0480,20,밸브,-0.06848581466753029,0.411435980956759,False
0480,20,소화전,-0.06133215143064966,0.46209475102317427,False
0480,20,총인프라,0.0073236971420797825,0.9300888115290488,False
0480,30,SPLY_LS,0.07958683776319264,0.3396276477697825,False
0480,30,밸브,-0.08855350905345954,0.2878324837497678,False
0480,30,소화전,-0.02914415907572291,0.7269410560559553,False
0480,30,총인프라,0.0032438825051834333,0.9690026690773618,False
0480,50,SPLY_LS,0.041952472905686086,0.6151204360036187,False
0480,50,밸브,-0.06666169102233284,0.4240338578250272,False
0480,50,소화전,-0.11426663624757787,0.1696517087973049,False
0480,50,총인프라,-0.0067916241158626,0.9351564066301097,False
0480,100,SPLY_LS,-0.07254628934872175,0.3841950548566631,False
0480,100,밸브,0.05011787172023535,0.5480071845949429,False
0480,100,소화전,-0.1405781554394505,0.09056461893343987,False
0480,100,총인프라,-0.06057820027309996,0.46762733913167304,False
0490,10,SPLY_LS,-0.020107133258229895,0.7497973446296081,False
0490,10,밸브,0.09545570161540146,0.1291969129906092,False
0490,10,소화전,0.021442103700424223,0.7337929402779112,False
0490,10,총인프라,0.02494408460728297,0.6923676688142976,False
0490,20,SPLY_LS,0.14491239684206875,0.020869327053323505,True
0490,20,밸브,0.04829836965628431,0.4434383300833534,False
0490,20,소화전,-0.00944282280275486,0.8809580178277392,False
0490,20,총인프라,0.15289775523465243,0.01472273558997526,True
0490,30,SPLY_LS,0.15803462878906174,0.011665546065914835,True
0490,30,밸브,-0.0107398166613615,0.8647544212486139,False
0490,30,소화전,-0.07197670925372732,0.2530614654076614,False
0490,30,총인프라,0.12557046734908084,0.045574471494441965,True
0490,50,SPLY_LS,0.13578309251939083,0.030511847481645194,True
0490,50,밸브,-0.03348240880674777,0.5953226780269822,False
0490,50,소화전,-0.05371850329298851,0.3939227759276815,False
0490,50,총인프라,0.10580938059287334,0.09242675478127732,False
0490,100,SPLY_LS,0.17529093849087754,0.005084628695920917,True
0490,100,밸브,0.10008953536942955,0.11154319333400688,False
0490,100,소화전,-0.06117665744659978,0.3315003432192668,False
0490,100,총인프라,0.17835556646883377,0.004352754779534033,True
