FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
107322_1,107322,1,11.002414322972024,False,2
107322_2,107322,2,4.555920305201698,False,3
107322_3,107322,3,12.41508649454917,False,4
107322_4,107322,4,12.227113651415438,False,4
107322_5,107322,5,2.765347517914694,False,4
107322_6,107322,6,30.445837279815866,False,4
107322_7,107322,7,1.346557162131737,False,3
107322_8,107322,8,0.2073439174858266,False,3
107322_9,107322,9,10.42430206512769,False,3
107322_10,107322,10,12.890020592921065,False,3
107322_11,107322,11,4.44592835040329,False,4
107322_12,107322,12,17.516889479733134,False,4
107322_13,107322,13,5.573754757025961,False,4
107322_14,107322,14,10.45627166864007,False,4
107322_15,107322,15,2.5359349747634177,False,4
107322_16,107322,16,14.455293655712639,False,3
107322_17,107322,17,2.5633850946485595,False,3
107322_18,107322,18,3.098282980983265,False,4
107322_19,107322,19,1.4996469521054911,False,3
107322_20,107322,20,5.828673877727534,False,2
107322_21,107322,21,7.650933651779268,False,2
107322_22,107322,22,3.5650417965560135,False,2
107322_23,107322,23,9.659430762891127,False,3
107322_24,107322,24,4.615739717861356,False,3
107322_25,107322,25,6.1893532251284356,False,2
107322_26,107322,26,5.268602406050445,False,3
107322_27,107322,27,12.33474507027228,False,4
107322_28,107322,28,6.245358851031817,False,4
107322_29,107322,29,12.763567822219557,False,3
107322_30,107322,30,4.3848485002273625,False,3
107322_31,107322,31,26.51484251413135,False,4
107322_32,107322,32,0.2210643640703387,False,3
107322_33,107322,33,21.43424291717364,False,3
107322_34,107322,34,10.02236910949729,False,3
107322_35,107322,35,15.417916139787591,False,2
107322_36,107322,36,1.4996194251290242,False,3
211327_1,211327,1,9.259364965497793,False,4
211327_2,211327,2,2.9161205873109566,False,4
211327_3,211327,3,2.7541232423378808,False,4
211327_4,211327,4,2.9302402574331956,False,3
211327_5,211327,5,0.7122156525770437,False,3
211327_6,211327,6,6.27671628419969,False,3
211327_7,211327,7,2.5812343776539355,False,3
211327_8,211327,8,2.2513448042945465,False,4
211327_9,211327,9,1.7061511880415328,False,3
211327_10,211327,10,7.994292330863538,False,3
211327_11,211327,11,0.7935371420255234,False,3
211327_12,211327,12,0.9187054332737696,False,3
