cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_K_repair,max_K_repair,avg_K_repair,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8932559,128.6040557,211474,SPLY_LS,4.319057244275564,5,1.6672142368240932,1.7277207392197127,1.658376504661184,1.0,1.0,1.0,1.0,1.6,1.1216369445081547,7.471264367816092,8.333333333333334,7.64603009268413,1.547126436781609,2.466666666666667,1.7335432099741834,2.3468337419948377,7.145312427849419,3.951069271000151,0.3785,1.42,0.6922981729745487,13,100,30.63735695368242,0.0097793735445795,0.0297748741524699,0.016464303205721124
1,1,35.8948401,128.6108953,107356,SPLY_LS,5.4582102863219175,4,1.6154688569472964,1.6926762491444216,1.6657146014134485,1.0,1.0,1.0,1.0,1.2,1.0467500466131108,7.471264367816092,12.5,9.472230675409241,1.547126436781609,3.3000000000000003,2.039410858872866,7.701065080626144,8.617038498900786,7.262610791627603,3.6684,3.6684,2.1920133769409937,13,150,49.31679589130454,0.0320907232442231,0.0359076302768445,0.030263662299251756
2,1,35.890437,128.6039201,73313,PIPE_LM,3.7182269888809656,5,1.373223819301848,1.6815605749486653,1.5431397681209975,1.0,1.0,1.0,1.2,1.2,1.0547607656330829,17.857142857142858,17.857142857142858,10.31495765705459,2.585714285714286,2.585714285714286,1.831495765705459,4.345598302338505,7.8059261165425005,6.393148970456236,0.4374,3.6899,2.571535607322425,50,50,23.13074164212033,0.0181083254057596,0.0325276844239384,0.026640571417339602
3,2,35.89857815,128.6041736,143359,SPLY_LS,7.277534000002923,3,1.6140451745379876,1.712662559890486,1.638359690722914,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,9.279232956427663,1.547126436781609,2.5777777777777775,2.0448019719775723,2.9014239306293006,4.414946452757267,3.3706720460976998,0.7604,0.7604,0.38139607601283304,13,80,54.38475230112776,0.0120903785901288,0.0183973026159621,0.014045758949691371
4,1,35.8954174,128.6096018,245306,PIPE_LM,6.387179434234732,4,1.6726899383983571,1.6726899383983571,1.5642982099284806,1.0,1.0,1.0,1.2,1.2,1.1105598766950604,6.666666666666667,12.5,8.979532112849553,2.1333333333333337,3.3000000000000003,2.2205455484770606,5.1880674570451015,9.135449829878205,6.809169878947169,0.1669,3.4426,1.538529243782643,80,150,69.93132401888694,0.0216189364968797,0.0380678762135939,0.02837415134406674
6,1,35.8979493,128.6042737,106802,SPLY_LS,6.925832555097114,4,1.702422997946612,1.712662559890486,1.7036370197076764,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.298058060335349,1.547126436781609,2.1333333333333337,1.6733196036604367,3.977128986328045,4.414946452757267,3.9346701647214326,1.2878,1.3309,0.9684345420134244,13,80,27.42313666150365,0.0165728953424782,0.0183973026159621,0.016395967309902382
7,5,35.8952774,128.6101531,245302,SPLY_LS,6.9936724839440245,1,1.6729637234770705,1.6729637234770705,1.6729637234770705,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,3.29057690626739,3.29057690626739,3.29057690626739,0.9262,0.9262,0.9262,13,13,13.0,0.0137119984972615,0.0137119984972615,0.0137119984972615
8,1,35.8938976,128.5983609,142119,PIPE_LM,8.407063955836193,1,1.5126899383983572,1.5126899383983572,1.5126899383983572,1.0,1.0,1.0,1.2,1.2,1.2,6.666666666666667,6.666666666666667,6.666666666666667,2.1333333333333337,2.1333333333333337,2.1333333333333337,5.446902217806149,5.446902217806149,5.446902217806149,0.3547,0.3547,0.35469999999999996,80,80,80.0,0.0226975138867091,0.0226975138867091,0.0226975138867091
9,4,35.89371025,128.59912815,142115,SPLY_LS,6.4465732316027395,4,1.7000136892539357,1.7237234770704997,1.6713913336764366,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,9.264476486946208,1.547126436781609,2.5777777777777775,1.8028357930816343,5.151423908203675,6.189244800586277,4.395956308524693,1.9675,2.5163,1.3618334845318558,13,80,30.217338813501797,0.0214662409966801,0.025790892546283,0.018318169735437775
10,1,35.8966024,128.6001585,324798,PIPE_LM,7.505656530410231,5,1.6126762491444215,1.7456810403832992,1.5859680330399788,1.0,1.0,1.0,1.0,1.0,1.0,12.5,14.22222222222222,10.20607423391352,3.3000000000000003,3.3000000000000003,2.3004364699255224,6.835749108488148,6.835749108488148,4.106318193147668,0.199,0.9957,0.39764574334884345,150,150,71.40803527589432,0.0284849083225255,0.0284849083225255,0.01711123322675596
11,2,35.89445215,128.60188240000002,106661,PIPE_LM,3.664635335370913,6,1.7326488706365502,1.7326488706365502,1.6558188137429308,1.0,1.0,1.0,1.0,1.4,1.0672332027052054,12.5,12.5,9.608204831226987,2.3625,3.3000000000000003,2.0511938879035574,4.87518423952484,9.016917493747023,5.662125602310213,0.175,2.6226,1.2270726955401903,50,150,45.53129805166057,0.0203151364853119,0.0375739460423185,0.023594360491106702
12,1,35.8971662,128.6015565,38056,SPLY_LS,2.7080570607871035,5,1.612895277207392,1.7526899383983574,1.64545900259953,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,10.0,8.104931562387451,1.547126436781609,2.466666666666667,1.7685328578167347,6.576915339266072,6.9705152847010075,5.551414281059883,2.9933,3.1615,1.8286480294927092,13,100,29.685749530854107,0.0274063350644886,0.0290464857171133,0.023133020879890536
13,3,35.89466906666667,128.60217573333333,72529,SPLY_LS,7.596300884408325,1,1.6274058863791925,1.6274058863791925,1.6274058863791925,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,3.8042036930865217,3.8042036930865217,3.8042036930865217,1.2892,1.2892,1.2892,13,13,13.0,0.0158523069992761,0.0158523069992761,0.0158523069992761
14,1,35.8895649,128.6026112,144002,SPLY_LS,7.155341793227471,3,1.6483778234086242,1.6528678986995209,1.6319510385806932,1.0,1.0,1.0,1.2,1.2,1.072561416722013,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,3.066153717033244,7.756139436996358,5.527935575937463,0.518,3.5954,2.209665861196783,13,13,13.0,0.0127768158465633,0.0323202208409356,0.02303518394171013
15,1,35.8936997,128.5981166,244038,PIPE_LM,5.22776346998862,6,1.5726488706365505,1.712662559890486,1.6131127674480519,1.0,1.3,1.0933493657674158,1.2,1.4,1.2304132568408312,14.22222222222222,20.833333333333332,10.792323231589561,2.5777777777777775,4.966666666666667,2.4883611941088217,4.192206633372592,19.35919431283192,7.29241794336324,0.3833,1.8134,0.5553550429281315,80,300,93.94905967488707,0.0174691346515952,0.0806707306612862,0.030387870190891744
16,3,35.892494166666665,128.5967628,324893,PIPE_LM,4.027309618503413,4,1.712662559890486,1.712662559890486,1.6743049911578272,1.3,1.3,1.3,1.2,1.4,1.1436451088947739,6.666666666666667,20.833333333333332,9.875844087808613,2.1333333333333337,4.966666666666667,2.415810780322153,6.872521577861954,19.35919431283192,8.810603783967956,0.1613,1.6766,0.8386767669042342,80,300,91.60061722572661,0.0286381410410296,0.0806707306612862,0.036714226497983636
17,1,35.8927783,128.5970696,142086,SPLY_LS,2.776773255798406,6,1.3678576317590692,1.712662559890486,1.5616240961910373,1.3,1.3,1.3,1.0,1.4,1.1701869051094038,7.471264367816092,20.833333333333332,9.484797603898112,1.547126436781609,4.966666666666667,2.1961877785890307,5.940576498207927,19.35919431283192,8.100367852390834,2.2716,2.2716,1.1057608963339418,13,300,71.1748701881213,0.0247546792968573,0.0806707306612862,0.03375463785930517
18,1,35.8935219,128.6098311,212288,SPLY_LS,5.750054902444755,6,1.7075701574264204,1.7465023956194388,1.622509804030172,1.0,1.0,1.0,1.0,1.6,1.094664570498177,7.471264367816092,14.285714285714286,9.462586027258808,1.547126436781609,2.2285714285714286,1.7462586027258804,4.069013356235396,4.069536455312732,3.809389511288868,1.3336,1.3339,0.9060001325806862,13,40,21.45281250660393,0.0169557821061007,0.0169579618861109,0.015873916563016253
19,2,35.8958136,128.61075695,177224,SPLY_LS,8.622935644935069,2,1.7011088295687884,1.712662559890486,1.7065036727726024,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,8.151732309656586,1.547126436781609,1.692857142857143,1.6151732309656583,2.881965683283406,2.881965683283406,2.777379469868626,0.6591,0.6591,0.5101943695418182,13,25,18.603222218558113,0.0120092951005261,0.0120092951005261,0.011573479119916043
20,1,35.8952791,128.6085304,143067,SPLY_LS,4.899724673900717,4,1.6226967830253252,1.7526899383983574,1.6772418672050495,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,10.0,8.532320986758311,1.547126436781609,2.05,1.7581320144121637,4.300236595838574,4.720086854834096,4.21806227397797,1.5952,1.5952,0.9044498913371035,13,40,24.329190899523955,0.0179193009066891,0.0196688379284364,0.017576876398779865
21,1,35.8955801,128.6084953,37926,SPLY_LS,3.312359331544687,6,1.6132785763175908,1.7526899383983574,1.6685353963263527,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,9.523809523809524,8.304879470935212,1.7523809523809524,2.1333333333333337,1.7431457835759605,5.623925030053709,7.8351090130089505,4.925834041499348,1.9434,3.3951,1.4799084749022726,20,80,29.459015700384438,0.0234351767964853,0.0326492910126589,0.020526196742629815
22,1,35.8962089,128.5996874,244045,SPLY_LS,1.3257905885118477,4,1.5385352498288842,1.6594934976043807,1.5710063812696138,1.0,1.0,1.0,1.0,1.2,1.0466599023331244,7.471264367816092,12.5,8.644465935100113,1.547126436781609,3.3000000000000003,1.9560709830920395,3.5367606838686885,8.083857694668486,4.897682388950311,1.2512,2.011,1.1645624925223759,13,150,44.96203309819027,0.014737858607715,0.0336858392065683,0.020408887398875374
23,1,35.8981373,128.6052037,106788,SPLY_LS,6.510493759549909,3,1.619356605065024,1.6326625598904858,1.6232779656150707,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.234143640643018,1.547126436781609,2.1333333333333337,1.7198858237219912,4.239793072951718,4.949181227513454,4.67324584946727,1.564,1.993,1.354652521963816,13,80,32.74538169559777,0.0176674297246434,0.0206234856341099,0.019473649117022554
