cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8952791,128.6085304,143067,SPLY_LS,6.393377799994175,9,1.62258726899384,1.752580424366872,1.6451988379798967,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,10.0,7.8575657574425835,1.547126436781609,2.05,1.6239477358550591,1.6568843933311426,3.599597260330748,1.9564736327600547,13,40,17.124645291966498,0.0081536109438022,0.0177137980979506,0.009627904570493825
1,1,35.8955801,128.6084953,37926,SPLY_LS,4.920385408603849,13,1.6131690622861057,1.752580424366872,1.6152676080990607,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,14.22222222222222,8.424764104935827,1.7523809523809524,2.5777777777777775,1.7444173292481389,1.9105603253727224,3.881979524357812,2.0377724446575547,20,80,27.94726277502153,0.0094019628891754,0.019103415338341,0.010027980088782007
2,1,35.8955649,128.6090574,72373,SPLY_LS,4.51105789046967,9,1.6791512662559889,1.7194524298425735,1.6057045867776958,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.9568924241731365,1.547126436781609,1.7523809523809524,1.5956892424173135,1.7146440011371349,1.9600010163898391,1.698020643777269,13,25,15.47648879287956,0.0084378488617958,0.0096452630017052,0.008356044489060062
3,1,35.8964922,128.6065103,37978,SPLY_LS,6.26855823515198,8,1.661848049281314,1.6888980150581792,1.6549303891163518,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.471264367816092,1.547126436781609,1.547126436781609,1.547126436781609,1.6969750407627944,1.7245967699555922,1.6899111598950478,13,13,13.0,0.0083508990243457,0.0084868269347899,0.008316137313401492
4,1,35.8972847,128.6067763,245409,SPLY_LS,8.352179987270455,9,1.7276112251882272,1.7276112251882272,1.6752785120637423,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,7.782134066115279,1.692857142857143,2.466666666666667,1.6409240903688278,2.000582716798745,4.4355123887748125,1.9527897198016873,25,100,21.572621283941288,0.0098449675785024,0.0218273782407802,0.009609775850630047
5,3,35.8951696,128.6090785,3841,SPLY_LS,6.517860551373669,9,1.590773442847365,1.7611772758384667,1.555723967566185,1.0,1.0,1.0,1.0,1.2,1.0267869300800774,8.928571428571429,17.857142857142858,9.27336109572459,1.692857142857143,2.585714285714286,1.727336109572459,1.842123858483344,2.4542350693001915,1.81573287908669,25,50,20.481486756829074,0.0090651836137894,0.0120774134877797,0.0089353122846295
6,3,35.8974475,128.6082208,177244,SPLY_LS,8.132423587241139,7,1.5486105407255306,1.7074058863791923,1.5759588900592887,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.887000115830183,1.547126436781609,1.7523809523809524,1.588700011583018,1.5813439962876812,1.743495847824349,1.6556946332821227,13,25,15.087350622203065,0.0077818728729314,0.008579830241936,0.008147756075112936
7,1,35.8963146,128.608057,3823,SPLY_LS,6.718828018640208,11,1.7155099247091037,1.7155099247091037,1.642038105015095,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.009781499972258,1.547126436781609,2.2285714285714286,1.600978149997226,1.7517711836958756,2.1759853478292945,1.7363581090893554,13,40,15.13369571181779,0.0086205535835265,0.0107081326959353,0.008544705072734094
8,1,35.8950228,128.6085868,72378,SPLY_LS,4.115620467610837,8,1.6402737850787132,1.6876386036960986,1.6230059985799314,1.0,1.0,1.0,1.0,1.2,1.0984596572729217,7.471264367816092,12.5,8.65134907648862,1.547126436781609,3.3000000000000003,1.8603199734213531,1.6749447547264331,7.095581571754982,2.6760082581675446,13,150,37.64368390417784,0.0082424868852465,0.0349177116936848,0.01316877043885535
9,1,35.8963925,128.6093905,211441,PIPE_LM,8.336917358268106,7,1.6925667351129363,1.6925667351129363,1.5753838585084965,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,7.959985022424718,1.692857142857143,1.692857142857143,1.5959985022424716,1.9600010163898391,1.9600010163898391,1.6749778521777985,25,25,17.02430483817446,0.0096452630017052,0.0096452630017052,0.008242649759459519
