긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부)
202203425,53000,서부사업소,SS00201,생활용수,04,배수지관,202205120280,202205121607,202205121630,202205121800,D40*15mm 분기점수선,S,서구,서구 비산동 817-2,0307,0340,312,20229005581,서구 통학로49길 30-7 (비산동) / 817-2번지,U,지하누수,01,공도,,02,용역,,,05,40,05,PFP관,0201,이형관,01,노후,1,누수,02,반도,5,1/7,5,132,,0,0,0,"1,005,930",
201403842,53000,서부사업소,,,04,배수지관,201407240088,201407240959,201407241020,201407241420,D=40*15mm분기점수선,S,서구,서구 비산동 819-16,0307,0340,502,20149008812,서구 통학로49길 29-6 (비산동) / 819-16번지,U,지하누수,01,공도,,02,용역,,,01,15,05,PFP관,0201,이형관,02,부식,1,누수,01,소켓,,,4,204,0,196,175,0,"318,820",N
201901610,53000,서부사업소,,,04,배수지관,201903280046,201903280942,201903281000,201903281230,D=40*15mm 분기점 누수 수선,S,서구,서구 비산동 819-18,0307,0340,235,20199003020,서구 통학로49길 29-10 (비산동) / 819-18번지,U,지하누수,01,공도,,02,용역,,,01,15,05,PFP관,0201,이형관,01,노후,1,누수,01,소켓,6,1/10,5,87,0,209,437,0,"304,860",N
202105150,53000,서부사업소,,,04,배수지관,202108310158,202108311047,202108311110,202108311420,D=80mm 제수변수선,S,서구,서구 비산동 820-4,0307,0340,547,20219008980,서구 북비산로51길 14-19 (비산동) / 820-4번지,U,지하누수,01,공도,,02,용역,,,07,80,99,기타,9901,기타,01,노후,1,누수,03,연부,6,1/10,3,243,6,"34,409","25,771",0,"265,440",
201505120,53000,서부사업소,,,05,급수관,201510070480,201510071521,201510071600,201510071730,D=80*15mm 구분기점 수선,S,서구,서구 비산동 82-1,0314,0500,574,20159013122,서구 북비산로76길 12-5 (비산동) / 82-1번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,04,직관,2,1/2,4,310,1,"11,086","6,508",,"524,660",N
201501848,53000,서부사업소,,,04,배수지관,201504090025,201504090923,201504090930,201504091330,DTC D=80*15mm 분기점 수선,S,서구,서구 비산동 82-10,0314,0500,207,20159004927,서구 달서로34길 17-6 (비산동) / 82-10번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,02,반도,3,1/3,4,98,0,"1,152","2,140",0,"422,260",N
201605996,53000,서부사업소,,,04,배수지관,201610260108,201610261043,201610261050,201610261250,D40*15 분기점 누수수선,S,서구,서구 비산동 821-14,0307,0340,736,20169013244,서구 북비산로51길 17-10 (비산동) / 821-14번지,U,지하누수,01,공도,,01,자체,01,주간,01,15,10,부분기대,0501,부분기대,02,부식,1,누수,02,반도,7,1/4,4,300,0,"2,664","1,616",0,"351,300",N
201901790,53000,서부사업소,,,04,배수지관,201903290062,201903290955,201903291100,201903291400,D=40*15mm 분기점 누수 수선,S,서구,서구 비산동 821-3,0307,0340,240,20199003299,서구 북비산로51길 17 (비산동) / 821-3번지,U,지하누수,01,공도,,02,용역,,,02,20,05,PFP관,0201,이형관,01,노후,1,누수,01,소켓,6,1/10,4,88,0,317,655,,"613,070",N
201504347,53000,서부사업소,,,05,급수관,201509090277,201509091349,201509100800,201509101000,D=80*15mm 분기점 수선,S,서구,서구 비산동 821-7,0307,0340,509,20159010868,서구 북비산로51길 14-9 (비산동) / 821-7번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,7,1/4,4,252,0,"2,238","1,616",0,"272,320",N
202001742,53000,서부사업소,,,04,배수지관,202004020235,202004021333,202004021342,202004021548,D=80*15mm 분기점 수선,S,서구,서구 비산동 821-7,0307,0340,106,20209003628,서구 북비산로51길 14-9 (비산동) / 821-7번지,U,지하누수,01,공도,,02,용역,,,01,15,10,부분기대,0501,부분기대,01,노후,1,누수,02,반도,5,1/7,5,93,0,513,"1,005",0,"765,800",N
