cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8952791,128.6085304,143067,SPLY_LS,6.393377799994175,26,1.62258726899384,1.752580424366872,1.612644872470688,1.0,1.0,1.0,1.0,1.2,1.0058064971177751,7.471264367816092,14.22222222222222,8.234230441680694,1.547126436781609,2.5777777777777775,1.6796950693596635,1.6568843933311426,3.881979524357812,1.9781651861332374,13,80,21.207544754496283,0.0081536109438022,0.019103415338341,0.009734649789220924
1,1,35.8955801,128.6084953,37926,SPLY_LS,4.920385408603849,27,1.6131690622861057,1.752580424366872,1.6039716014057745,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,14.285714285714286,8.436165828848562,1.7523809523809524,2.5777777777777775,1.7185742434463547,1.9105603253727224,3.881979524357812,1.9701765829548947,20,80,25.12082164745591,0.0094019628891754,0.019103415338341,0.009695337473550135
2,1,35.8955649,128.6090574,72373,SPLY_LS,4.51105789046967,24,1.6791512662559889,1.7428336755646818,1.6096900735817279,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.099357883890296,1.547126436781609,2.2285714285714286,1.6099357883890297,1.7146440011371349,1.9600010163898391,1.7173418241950742,13,40,16.069463776323726,0.0084378488617958,0.0096452630017052,0.008451124983955111
3,1,35.8964922,128.6065103,37978,SPLY_LS,6.26855823515198,21,1.661848049281314,1.7023134839151268,1.6247633318059989,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.575452644378341,1.547126436781609,2.1333333333333337,1.5795201404937385,1.6969750407627944,3.6603877667147793,1.739898095216266,13,80,15.654247331852428,0.0083508990243457,0.0180129512193917,0.008562125521463957
4,1,35.8972847,128.6067763,245409,SPLY_LS,8.352179987270455,13,1.7276112251882272,1.7276112251882272,1.6777745734707565,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,7.726055563485507,1.692857142857143,2.466666666666667,1.62400371507289,2.000582716798745,4.4355123887748125,1.911665503278129,25,100,20.026186337577165,0.0098449675785024,0.0218273782407802,0.00940740152490679
5,3,35.8951696,128.6090785,3841,SPLY_LS,6.517860551373669,16,1.590773442847365,1.7611772758384667,1.5556219348788412,1.0,1.0,1.0,1.0,1.2,1.0338365931959235,8.928571428571429,17.857142857142858,9.099514016918633,1.692857142857143,2.585714285714286,1.7178567534809488,1.842123858483344,3.599597260330748,1.8604128071297998,25,50,20.341989012049563,0.0090651836137894,0.0177137980979506,0.009155184444526046
6,3,35.8974475,128.6082208,177244,SPLY_LS,8.132423587241139,15,1.5486105407255306,1.7925530458590009,1.6219615301657915,1.0,1.0,1.0,1.0,1.2,1.0104776647536184,7.471264367816092,9.523809523809524,7.844387431523571,1.547126436781609,2.1333333333333337,1.6202398382430105,1.5813439962876812,3.9705191976360896,1.844142142487519,13,80,18.803911835268085,0.0077818728729314,0.019539123497527,0.009075115690288151
7,1,35.8963146,128.608057,3823,SPLY_LS,6.718828018640208,17,1.7155099247091037,1.7189596167008898,1.654254169848404,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.00766176589539,1.547126436781609,2.2285714285714286,1.600766176589539,1.7517711836958756,2.1759853478292945,1.7545749463091123,13,40,15.654350276224559,0.0086205535835265,0.0107081326959353,0.008634351039534386
8,1,35.8950228,128.6085868,72378,SPLY_LS,4.115620467610837,10,1.6402737850787132,1.733086926762491,1.6205847082453582,1.0,1.0,1.0,1.0,1.2,1.1077239781699058,7.471264367816092,12.5,8.605023069417747,1.547126436781609,3.3000000000000003,1.8378791101552592,1.6749447547264331,7.095581571754982,2.622321099190923,13,150,35.90036307087788,0.0082424868852465,0.0349177116936848,0.01290457324517345
9,1,35.8963925,128.6093905,211441,PIPE_LM,8.336917358268106,12,1.6925667351129363,1.7040657084188913,1.601479239943169,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,7.908719633888174,1.692857142857143,1.692857142857143,1.5908719633888173,1.9600010163898391,1.9600010163898391,1.6961880631770616,25,25,16.602166855723684,0.0096452630017052,0.0096452630017052,0.008347026268297442
