FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,design_pressure,thickness,K_material,fatigue_limit,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_repair,K_total,0243_low_total_cycles,0243_high_total_cycles,0243_low_fatigue_damage,0243_high_fatigue_damage,0243_D_base,0243_D_final_org,0243_D_final,0243_remaining_life_years,0461_low_total_cycles,0461_high_total_cycles,0461_low_fatigue_damage,0461_high_fatigue_damage,0461_D_base,0461_D_final_org,0461_D_final,0461_remaining_life_years,0470_low_total_cycles,0470_high_total_cycles,0470_low_fatigue_damage,0470_high_fatigue_damage,0470_D_base,0470_D_final_org,0470_D_final,0470_remaining_life_years,0480_low_total_cycles,0480_high_total_cycles,0480_low_fatigue_damage,0480_high_fatigue_damage,0480_D_base,0480_D_final_org,0480_D_final,0480_remaining_life_years,0490_low_total_cycles,0490_high_total_cycles,0490_low_fatigue_damage,0490_high_fatigue_damage,0490_D_base,0490_D_final_org,0490_D_final,0490_remaining_life_years,0520_low_total_cycles,0520_high_total_cycles,0520_low_fatigue_damage,0520_high_fatigue_damage,0520_D_base,0520_D_final_org,0520_D_final,0520_remaining_life_years
SA001,198939,2723061000,35803035,54000,12,700,309.0,,0,0,20119006912.0,1,700-ST-86,IQT903,198939,SA003,,B,240,520,P0,1.2,SS00201,ST,1986-01-01,1986-01-01,1986-01-01,14490.0,39.671457905544145,2.0,19.8,0.9,1000000,1.0972955074527657,1.7934291581108828,1.0,1.6,1.05,35.35353535353535,4.335353535353535,0.0,12.899834465728091,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.07365031489862796,0.07365031489862796,12.577674465837609,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04185996284128765,0.04185996284128765,22.889175530124266,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.06672374878225527,0.06672374878225527,13.987167511576375,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.06348073039757123,0.06348073039757123,14.752811817651361,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0635529694705793,0.0635529694705793,14.734905989922815,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.053754255210412244,0.053754255210412244,17.603178410447015
SA001,4149,2723063100,35803035,54000,12,700,83.0,,0,0,20119006912.0,1,700-ST-86,IQT903,4149,SA003,,B,210,521,P0,1.2,SS00201,ST,1986-01-01,1986-01-01,1986-01-01,14490.0,39.671457905544145,2.0,19.8,0.9,1000000,1.0972955074527657,1.7934291581108828,1.0,1.6,1.05,35.35353535353535,4.335353535353535,0.0,12.899834465728091,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.07365031489862796,0.07365031489862796,12.577674465837609,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04185996284128765,0.04185996284128765,22.889175530124266,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.06672374878225527,0.06672374878225527,13.987167511576375,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.06348073039757123,0.06348073039757123,14.752811817651361,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0635529694705793,0.0635529694705793,14.734905989922815,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.053754255210412244,0.053754255210412244,17.603178410447015
SA001,175747,2723061000,35803035,54000,12,800,18.26,,0,0,20119006912.0,1,800-ST-79,IQT903,175747,SA002,,B,60,515,P0,1.2,SS00201,ST,1979-01-01,1979-01-01,1979-01-01,17047.0,46.672142368240934,2.0,21.4,0.9,1000000,1.1039720770839918,1.9334428473648186,1.0,1.6,1.05,37.38317757009346,4.538317757009346,0.0,14.646576330109186,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.08362316289912539,0.08362316289912539,10.958409193470711,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.047528140191204306,0.047528140191204306,20.040166856456604,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.07575868373867327,0.07575868373867327,12.19980694819702,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.0720765344492838,0.0720765344492838,12.874140975848995,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.07215855527673243,0.07215855527673243,12.858370586341973,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.061033015896381486,0.061033015896381486,15.384574566948245
SA001,427780,2723061000,35803035,54000,4,400,5.2,,0,0,20129000952.0,1,400-DTC-94,IQT903,427780,SA003,,B,240,520,P0,1.2,SS00201,DTC,1994-01-01,1994-01-01,1994-01-01,11568.0,31.67145790554415,1.0,8.6,1.0,1000000,1.0693147180559945,1.633429158110883,1.0,1.0,1.05,23.255813953488374,5.451162790697675,0.0,9.99733624510526,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.057078791557803966,0.057078791557803966,16.51964210712652,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.03244135611536656,0.03244135611536656,29.8248519711643,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.0517107218609947,0.0517107218609947,18.33834926319793,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.04919739152897523,0.04919739152897523,19.32628090477198,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.04925337661194783,0.04925337661194783,19.30317652896555,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.04165940000016587,0.04165940000016587,23.00418633000039
SA001,427781,2723061000,35803035,54000,4,500,6.02,,0,0,20129000952.0,1,500-DTC-11,IQT903,427781,SA003,,B,240,520,P0,2.0,SS00201,DTC,2011-12-26,2011-12-26,2011-12-26,5000.0,13.689253935660506,1.0,9.5,1.0,1000000,1.080471895621705,1.2737850787132101,1.0,1.0,1.05,26.31578947368421,6.063157894736842,0.0,8.76189025541558,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.05002513622426971,0.05002513622426971,18.989950562390465,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.028432333878823553,0.028432333878823553,34.17122457347061,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.045320439251624316,0.045320439251624316,21.065099467546737,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.04311770004141283,0.04311770004141283,22.19233166517555,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.04316676662684317,0.04316676662684317,22.16596952105632,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.03651123478882949,0.03651123478882949,26.38882992546577
SA001,415362,2723061000,35803035,54000,12,700,6.22,,0,0,20119006912.0,1,700-ST-86,IQT903,415362,SA003,,B,240,520,P0,1.2,SS00201,ST,1986-01-01,1986-01-01,1986-01-01,14490.0,39.671457905544145,2.0,19.8,0.9,1000000,1.0972955074527657,1.7934291581108828,1.0,1.6,1.05,35.35353535353535,4.335353535353535,0.0,12.899834465728091,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.07365031489862796,0.07365031489862796,12.577674465837609,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.04185996284128765,0.04185996284128765,22.889175530124266,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.06672374878225527,0.06672374878225527,13.987167511576375,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.06348073039757123,0.06348073039757123,14.752811817651361,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0635529694705793,0.0635529694705793,14.734905989922815,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.053754255210412244,0.053754255210412244,17.603178410447015
SA001,415363,2723061000,35803035,54000,12,500,5.17,,0,0,20119006912.0,1,500-ST-79,IQT903,415363,SA003,,B,240,520,P0,1.2,SS00201,ST,1979-01-01,1979-01-01,1979-01-01,17047.0,46.672142368240934,2.0,15.1,0.9,1000000,1.080471895621705,1.9334428473648186,1.0,1.0,1.05,33.11258278145696,4.111258278145696,0.0,8.116174635204148,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.04633848746223456,0.04633848746223456,20.58033321253722,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.026336986691237456,0.026336986691237456,36.96941585320802,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.0419805074918617,0.0419805074918617,22.820579115053793,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.03994010118857137,0.03994010118857137,24.037492901649035,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.039985551766528515,0.039985551766528515,24.009033408839677,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.03382050551362745,0.03382050551362745,28.567860823282654
SA001,415364,2723061000,35803035,54000,12,500,207.38,,0,0,20119006912.0,1,500-ST-86,IQT903,415364,SA003,,B,240,520,P0,1.2,SS00201,ST,1986-01-01,1986-01-01,1986-01-01,14490.0,39.671457905544145,2.0,15.1,0.9,1000000,1.080471895621705,1.7934291581108828,1.0,1.0,1.05,33.11258278145696,4.111258278145696,0.0173,7.65866926487256,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.04298280379520632,0.04372640630086339,21.869476012261604,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.024429747139006638,0.024852381764511454,39.237592093807834,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.038940414665379015,0.039614083839090077,24.243547321753983,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.03704776799950959,0.03768869438590111,25.533155798946645,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.037089927193339624,0.037731582933784404,25.502996223479723,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.03137133368739526,0.0319140577601872,30.33415398049133
SA001,418174,2723062000,35803035,54000,4,500,78.06,,0,0,20119006912.0,1,500-DTC-96,IQT903,418174,SA003,,B,240,520,P0,1.2,SS00201,DTC,1996-01-01,1996-01-01,1996-01-01,10838.0,29.672826830937716,1.0,9.5,1.0,1000000,1.080471895621705,1.5934565366187543,1.0,1.6,1.05,26.31578947368421,6.063157894736842,0.0,17.537264687989413,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.10012725900960676,0.10012725900960676,8.987290273311633,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.05690842391252564,0.05690842391252564,16.57209093573049,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.09071062473539085,0.09071062473539085,10.024066948244144,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.0863017563928303,0.0863017563928303,10.587249689892488,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.08639996507508305,0.08639996507508305,10.574078752589575,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.07307865881808628,0.07307865881808628,12.683885503280601
SA001,210305,2723063100,35803045,54000,12,400,31.0,,0,0,20119006912.0,1,400-ST-89,IQT903,210305,SA005,,B,243,520,P0,1.2,SS00201,ST,1989-01-01,1989-01-01,1989-01-01,13394.0,36.67077344284736,2.0,12.7,0.9,1000000,1.0693147180559945,1.7334154688569474,1.0,1.0,1.05,31.496062992125985,3.949606299212599,0.0118,6.999846279942051,1320.5,43889.0,0.0013205,0.0043889,0.0057094,0.03949883608489933,0.03996492235070114,24.021942773334477,1112.0,21330.0,0.001112,0.002133,0.0032449999999999996,0.022449595946246247,0.022714501178411953,43.02473962097869,1389.5,37829.5,0.0013895,0.00378295,0.00517245,0.03578410248140568,0.036206354890686264,26.619460810655657,1428.0,34930.5,0.001428,0.00349305,0.00492105,0.03404486413906783,0.03444659353590883,28.03044676848962,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.03408360612282715,0.0344857926750765,27.99744858475351,1302.5,28645.5,0.0013025,0.00286455,0.00416705,0.028828532754331414,0.029168709440832524,33.28331315200822
