cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,1,35.8899151,128.601287,177107,PIPE_LM,5.224894916006969,18,40,50,23.072339380792904,1.6334839151266256,1.840520191649555,1.663411767114426,1.0,1.0,1.0,1.4,1.4,1.114489074989708,9.846153846153848,17.857142857142858,8.822880867279157,2.0307692307692307,2.585714285714286,1.7449649623530457,6.40707057581714,12.335171617482548,9.05547400336044,0.0331402521998853,0.0638030584328476,0.046838986508681645,0.1295,0.6285,0.3635552661950708
1,1,35.894775800000005,128.6046433,106606,PIPE_LM,6.899950679069789,18,80,200,59.06435991433159,1.7535112936344968,1.7535112936344968,1.6053040559333331,1.0,1.0,1.0,1.0,1.4,1.1088415941519325,6.666666666666667,16.3265306122449,8.833102259755464,2.1333333333333337,3.9746031746031742,2.078909580345449,5.647396206010904,15.559841291494475,5.493959418392809,0.0292108745057811,0.0804825010881906,0.028417230393665838,0.0454,0.17,0.075441357825663
2,3,35.890277250001176,128.60406135000073,4800,SPLY_LS,3.6948960843849665,25,13,200,22.79894020277066,1.5166324435318277,1.7373579739904177,1.5901806678610202,1.0,1.0,1.0,1.0,1.6,1.1129058055596217,7.471264367816092,17.857142857142858,8.616236356776694,1.547126436781609,3.9746031746031742,1.7110880358366405,9.400548107302328,18.3280647365107,9.232606849345041,0.0486238650576159,0.0948009984463647,0.04775519729789472,0.507,0.9853,0.39562726845248397
3,1,35.890979,128.6032946,143987,SPLY_LS,6.927565607859949,24,13,150,30.815427162389017,1.6584531143052703,1.736208076659822,1.613034240650365,1.0,1.0,1.0,1.0,1.6,1.0658308058189228,7.471264367816092,17.857142857142858,8.656082871702525,1.547126436781609,3.3000000000000003,1.7967302737304882,8.92309547510458,17.63823192750099,10.6996111448967,0.0461542651902046,0.0912328727334025,0.05534320366642089,0.4269,0.9156,0.43909379969955104
4,3,35.895232699999994,128.6046783,245452,SPLY_LS,7.989790726363709,19,20,200,41.006142742035195,1.1906639288158796,1.6832580424366872,1.5856512723810532,1.0,1.0,1.0,1.0,1.4,1.0872372166563449,9.523809523809524,16.3265306122449,9.839029790110624,1.7523809523809524,3.9746031746031742,1.962187416803006,5.330425369608591,15.559841291494475,6.607142172196671,0.0275713587030319,0.0804825010881906,0.03417511252857862,0.278,0.3709,0.19974476919906495
5,1,35.8966337,128.6042461,245230,SPLY_LS,6.555749360882078,17,13,80,18.514045855757594,1.6585626283367556,1.7734976043805613,1.6661660299434458,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,7.675407250933863,1.547126436781609,2.1333333333333337,1.6057776825287284,4.310263345041433,7.170039936915673,4.68285315035778,0.0222946216390595,0.0370866730716994,0.02422182377756804,0.1545,0.3159,0.15770571654527193
6,2,35.89416030000075,128.60489965000127,3933,SPLY_LS,4.761843962414774,19,13,150,21.261208673053424,1.6236824093086928,1.7535112936344968,1.6075899237995686,1.0,1.0,1.0,1.0,1.6,1.0201457684255784,7.471264367816092,20.0,8.458669955747695,1.547126436781609,3.3000000000000003,1.6626551359294182,8.570215863063801,8.822817707504553,5.829345866304534,0.0443290130409043,0.0456355834511819,0.03015200002616684,0.4169,0.4169,0.2256873210977065
7,3,35.89571085000243,128.60505674999945,245473,PIPE_LM,6.466836512722925,12,40,150,34.35365028931354,1.65347022587269,1.7227926078028748,1.5094291113344909,1.0,1.0,1.0,1.0,1.4,1.0370570840710316,9.846153846153848,20.0,9.681520259997173,2.0307692307692307,3.3000000000000003,1.8806613892771722,4.321623876264371,9.937946294050858,6.838428298632396,0.0223533834187836,0.0514035303086633,0.03537142845326109,0.1141,0.5102,0.2771792346634069
8,1,35.8948437,128.6038297,106607,PIPE_LM,3.6087770252907525,16,100,300,64.99352561353166,1.7535112936344968,1.7535112936344968,1.6663496117966146,1.0,1.0,1.0,1.4,1.6,1.2612480387359322,8.333333333333334,20.833333333333332,9.385714520412124,2.466666666666667,4.966666666666667,2.160347362783605,8.32292562349076,13.093875580819384,5.7775018371425375,0.0430499166412247,0.0677274167480092,0.02988383937752787,0.0309,0.135,0.05430967377281868
9,1,35.8903724,128.6026803,212350,SPLY_LS,3.6700252173478445,12,13,100,28.319878300539994,1.5482819986310743,1.737467488021903,1.6316748689100238,1.0,1.0,1.0,1.0,1.2,1.0228479551258418,7.471264367816092,9.846153846153848,8.190046074780948,1.547126436781609,2.466666666666667,1.7468144445967633,6.6892470045334855,8.219449305297742,6.500969759601002,0.0345997956685992,0.0425146905591873,0.03362594103304816,0.3231,0.3705,0.2397739761868814
10,1,35.8958428,128.6037225,38009,SPLY_LS,7.151126052600448,23,13,200,29.504424468065146,1.689609856262834,1.7535112936344968,1.6013832462636526,1.0,1.0,1.0,1.0,1.2,1.0152247287478033,7.471264367816092,15.873015873015872,8.707276322477183,1.547126436781609,3.9746031746031742,1.7735103700687105,5.39163642989353,13.373122429135062,5.199617755784169,0.0278879698518027,0.0691718071085796,0.026894762860905766,0.2125,0.2319,0.1636825993126059
11,3,35.8907982,128.6036585,73321,SPLY_LS,11.932318144183869,21,13,100,26.75548194220841,1.7270088980150584,1.863353867214237,1.672662571358882,1.0,1.0,1.0,1.2,1.4,1.122600832397772,7.471264367816092,17.857142857142858,8.49088996514148,1.547126436781609,2.840816326530613,1.7441336207053666,10.437176607657488,55.12823608256897,14.065151559027584,0.0539857741442779,0.2851480447252839,0.07275129318149219,0.3932,0.9528,0.49776341448504713
12,1,35.8909603,128.6027368,72215,PIPE_LM,3.8542550058606833,28,25,150,22.425600586664228,1.673511293634497,1.7373579739904177,1.5832399358302736,1.0,1.0,1.0,1.0,1.2,1.0051521514303232,8.928571428571429,17.857142857142858,8.596950719972693,1.692857142857143,3.3000000000000003,1.7065269255322637,4.879719616883504,10.498711736808884,6.506172780011643,0.025240105732349,0.0543040615230571,0.03365285339597117,0.1518,0.52,0.26718440420272277
13,1,35.889965100000005,128.6009332,178418,SPLY_LS,2.4697985670575386,15,13,200,70.08217692559892,1.6318412046543465,1.7535112936344968,1.5795833989872992,1.0,1.3,1.0090276286207633,1.0,1.6,1.1697046725632685,7.471264367816092,17.857142857142858,10.648763451775318,1.547126436781609,3.9746031746031742,2.3232122824265105,6.178766220840551,20.81167849036323,9.088001169049056,0.0319593593389867,0.1076473664074793,0.04700723164684776,0.2708,0.5172,0.19358621672349619
14,3,35.88983400000012,128.60101784999952,47811,PIPE_LM,6.101559257952219,19,50,200,61.019136649463675,1.7535112936344968,1.7535112936344968,1.6045114305724728,1.0,1.3,1.0226683982575608,1.4,1.6,1.244715935535569,17.857142857142858,17.857142857142858,11.208913446179084,2.585714285714286,3.9746031746031742,2.2684117745821806,11.57044524405543,20.81167849036323,9.552736512451633,0.0598475495026145,0.1076473664074793,0.04941105197383042,0.1569,0.5508,0.21528072062217557
15,1,35.8907824,128.6046677,73330,SPLY_LS,9.228371113510123,16,32,100,31.788981181031463,1.4317590691307325,1.7535112936344968,1.6268415773277753,1.0,1.0,1.0,1.0,1.4,1.0172487150066634,11.428571428571429,14.22222222222222,9.405817736250661,1.942857142857143,2.5777777777777775,1.844070764548111,4.690995091961965,11.961932266666668,3.990422685300734,0.0242639375634186,0.06187249655272,0.02064026181858375,0.1433,0.16,0.08700656968581175
16,1,35.8899459,128.6034124,4794,SPLY_LS,2.527607077986346,25,13,50,18.98199224786003,1.6795345653661875,1.7201095140314853,1.601741060896121,1.0,1.0,1.0,1.0,1.6,1.0186503633889976,7.471264367816092,11.428571428571429,8.16169561831306,1.547126436781609,2.16986301369863,1.654244317534237,9.317787339924877,16.746348382315382,8.096383520126196,0.0481957891263944,0.0866196496901072,0.0418781389386767,0.4433,0.9072,0.3735908904606585
17,1,35.8960892,128.604461,3917,SPLY_LS,3.0166847163750248,23,13,200,48.76652030948696,1.7043394934976044,1.7734976043805613,1.6673032980868734,1.0,1.0,1.0,1.0,1.4,1.0595114783645414,7.471264367816092,16.3265306122449,8.567415992199171,1.547126436781609,3.9746031746031742,1.9680775432111484,8.856715651213172,13.491776731827516,8.205433649649272,0.0458109188701175,0.0697855405565412,0.042442195281128324,0.4089,0.5011,0.24607815969626012
