region,factor,optimal_distance,max_correlation,p_value
0470,STD_DIP,20,-0.14225703236058346,0.07552189078825335
0470,K_age,20,-0.1749673379046489,0.028397494678366306
0470,K_soil,10,0.11753525128086818,0.15201943678526045
0470,K_traffic,20,-0.09840328959504108,0.22015543609190008
0470,hoop_stress,10,0.10570935432764013,0.1979375534068661
0470,K_stress,20,-0.10818014933189934,0.1774581353987216
0470,K_total,50,0.21162568521379094,0.007798364927318996
0470,D_final,50,0.21162568521379105,0.007798364927318996
0470,K_repair,20,0.2869894061577857,0.00026822921628297583
0480,STD_DIP,10,-0.14167362051079666,0.11210114518015302
0480,K_age,100,0.10495858215934156,0.23836559296940263
0480,K_traffic,10,-0.11293273657225986,0.20617541543367704
0480,hoop_stress,10,-0.15638725544886903,0.0791243702200803
0480,K_stress,10,-0.17098918999386173,0.054595947266378494
0480,K_total,30,0.1681013875375838,0.05786573433516693
0480,D_final,30,0.16810138753758283,0.05786573433516859
0480,K_repair,10,0.17894291070568547,0.04412272493377828
0490,STD_DIP,10,-0.15151958469687749,0.02427496373264139
0490,K_age,100,-0.12246338606615866,0.06610029581373347
0490,K_traffic,10,-0.15130771547450234,0.024476735089089898
0490,hoop_stress,20,0.06354932168849048,0.34159427219914007
0490,K_stress,10,-0.13701298111986332,0.04186091386170771
0490,K_total,50,0.20121613050399678,0.002371168166032303
0490,D_final,30,0.18082136235372898,0.006415109952843791
0490,K_repair,30,0.31460841401356804,1.389574510287519e-06
