FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
3892,4235142,대학로13길,3.0,4
3893,4235142,대학로13길,3.0,4
3894,4235142,대학로13길,5.0,4
3895,4235147,대학로9길,6.0,4
3896,4235147,대학로9길,6.0,4
3897,3145018,대동로,4.0,3
3898,3145018,대동로,4.0,3
3899,3145018,대동로,4.0,3
3900,3145018,대동로,4.0,3
3907,4235226,산격로13길,7.0,4
3908,4235226,산격로13길,3.0,4
3909,4235226,산격로13길,4.0,4
3910,,,,
3911,,,,
3912,4235255,연암공원로14길,6.0,4
3913,4235255,연암공원로14길,6.0,4
3914,4235226,산격로13길,3.0,4
3915,4235255,연암공원로14길,3.0,4
3916,4235225,산격로11길,6.0,4
3917,4235225,산격로11길,6.0,4
3918,,,,
3919,,,,
3920,,,,
3921,4235225,산격로11길,2.0,4
3922,4235234,산격로북9길,6.0,4
3923,4235225,산격로11길,4.0,4
3924,4235255,연암공원로14길,3.0,4
3925,4235255,연암공원로14길,6.0,4
3926,4235255,연암공원로14길,6.0,4
3927,,,,
3928,,,,
3929,,,,
3930,,,,
3931,,,,
3933,,,,
3934,,,,
3935,,,,
3936,,,,
3937,4235122,대구체육관로11길,6.0,4
3938,4235122,대구체육관로11길,6.0,4
3939,4235122,대구체육관로11길,6.0,4
3940,4235122,대구체육관로11길,6.0,4
3941,4235122,대구체육관로11길,6.0,4
3942,,,,
3943,,,,
3944,4235122,대구체육관로11길,6.0,4
3945,3145029,산격로,6.0,3
3946,4235122,대구체육관로11길,6.0,4
3947,4235122,대구체육관로11길,2.0,4
3948,4235122,대구체육관로11길,2.0,4
3949,,,,
3950,3145017,대구체육관로,30.0,3
3951,4235127,대구체육관로9길,6.0,4
3952,4235127,대구체육관로9길,6.0,4
3953,4235127,대구체육관로9길,6.0,4
3954,4235127,대구체육관로9길,6.0,4
3955,4235127,대구체육관로9길,6.0,4
3956,,,,
3957,4235233,산격로9길,15.0,4
3961,4235226,산격로13길,4.0,4
3962,,,,
3963,,,,
3964,3145033,연암공원로,4.0,3
3965,4235226,산격로13길,7.0,4
3966,4235226,산격로13길,7.0,4
3967,,,,
3968,4235226,산격로13길,5.0,4
3969,4235226,산격로13길,5.0,4
3970,3145033,연암공원로,4.0,3
3971,,,,
3972,3145033,연암공원로,10.0,3
3973,3145033,연암공원로,1.0,3
3977,,,,
3978,4235255,연암공원로14길,2.0,4
3979,4235255,연암공원로14길,6.0,4
3980,4235255,연암공원로14길,6.0,4
3981,4235255,연암공원로14길,6.0,4
3982,4235235,산격로서9길,3.0,4
3983,4235225,산격로11길,6.0,4
3984,,,,
3985,,,,
3986,,,,
3987,,,,
3988,4235234,산격로북9길,5.0,4
3990,,,,
3991,4235225,산격로11길,6.0,4
3992,4235225,산격로11길,3.0,4
3993,,,,
3994,4235235,산격로서9길,3.0,4
3995,,,,
3996,4235235,산격로서9길,3.0,4
3997,,,,
3998,4235235,산격로서9길,3.0,4
3999,4235235,산격로서9길,4.0,4
4000,4235235,산격로서9길,4.0,4
4001,4235235,산격로서9길,4.0,4
4002,4235235,산격로서9길,4.0,4
4003,,,,
4004,4235251,연암공원로10길,5.0,4
4005,4235251,연암공원로10길,5.0,4
4006,4235251,연암공원로10길,5.0,4
4122,4235262,연암공원로32길,4.0,4
4123,4235262,연암공원로32길,3.0,4
4124,4235259,연암공원로20길,6.0,4
4137,4235262,연암공원로32길,3.0,4
4138,4235262,연암공원로32길,3.0,4
4139,4235262,연암공원로32길,3.0,4
4140,4235259,연암공원로20길,6.0,4
4141,4235262,연암공원로32길,3.0,4
4143,4235259,연암공원로20길,4.0,4
4144,4235259,연암공원로20길,3.0,4
4145,4235259,연암공원로20길,3.0,4
4146,4235262,연암공원로32길,4.0,4
4147,4235259,연암공원로20길,6.0,4
4148,4235259,연암공원로20길,4.0,4
4688,,,,
