FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
71431,3145034,연암로,25.0,3
71432,3145034,연암로,25.0,3
71476,3145033,연암공원로,10.0,3
71477,,,,
71478,4235235,산격로서9길,6.0,4
71479,4235251,연암공원로10길,6.0,4
71529,3145033,연암공원로,5.0,3
71554,3145033,연암공원로,2.0,3
71585,3007005,동북로,35.0,3
72202,,,,
72209,4235142,대학로13길,5.0,4
72210,4235145,대학로23길,7.0,4
72211,4235145,대학로23길,7.0,4
72213,3145021,대학로,35.0,3
72214,4235147,대학로9길,6.0,4
72215,4235125,대구체육관로4길,5.0,4
72217,4235272,연암로2길,6.0,4
72224,4235146,대학로25길,3.0,4
72225,4235131,대동로4길,6.0,4
72226,4235133,대동로6길,6.0,4
72227,,,,
72228,4235146,대학로25길,6.0,4
72229,4235226,산격로13길,2.0,4
72231,4235225,산격로11길,6.0,4
72232,,,,
72237,,,,
72239,4235225,산격로11길,6.0,4
72240,4235225,산격로11길,2.0,4
72241,4235235,산격로서9길,3.0,4
72286,3145034,연암로,3.0,3
72305,3145017,대구체육관로,30.0,3
72309,,,,
72312,4235224,산격로10길,8.0,4
72345,4235128,대동로10길,8.0,4
72346,4235131,대동로4길,6.0,4
72347,3145018,대동로,10.0,3
72382,4235227,산격로14길,3.0,4
72395,3145029,산격로,14.0,3
72409,4235227,산격로14길,6.0,4
72429,3145029,산격로,14.0,3
72430,4235134,대동로8길,6.0,4
72431,,,,
72432,4235224,산격로10길,8.0,4
72433,4235147,대학로9길,5.0,4
72434,3145029,산격로,14.0,3
72436,4235146,대학로25길,6.0,4
72485,3145017,대구체육관로,30.0,3
72486,3145029,산격로,14.0,3
72487,4235225,산격로11길,4.0,4
72488,4235225,산격로11길,6.0,4
72531,4235234,산격로북9길,5.0,4
72532,4235255,연암공원로14길,6.0,4
72533,4235226,산격로13길,5.0,4
72675,4235259,연암공원로20길,6.0,4
72676,4235259,연암공원로20길,6.0,4
73234,4235145,대학로23길,7.0,4
73275,4235232,산격로8길,6.0,4
73276,3145029,산격로,14.0,3
73278,4235147,대학로9길,6.0,4
73313,4235280,연암로4길,8.0,4
73314,4235125,대구체육관로4길,5.0,4
73315,4235123,대구체육관로12길,7.0,4
73316,,,,
73317,3145017,대구체육관로,30.0,3
73318,3145017,대구체육관로,30.0,3
75978,3145021,대학로,35.0,3
81504,4235144,대학로17길,8.0,4
99395,4235147,대학로9길,6.0,4
99466,4235235,산격로서9길,6.0,4
104990,4235255,연암공원로14길,6.0,4
105103,,,,
105105,4235265,연암공원로7길,2.0,4
105107,3145033,연암공원로,5.0,3
105150,4235267,연암로12길,3.0,4
105151,3145034,연암로,25.0,3
105152,3145034,연암로,25.0,3
105191,4235225,산격로11길,5.0,4
105242,3145033,연암공원로,3.0,3
105268,3145033,연암공원로,10.0,3
105328,,,,
105522,4235234,산격로북9길,6.0,4
105678,4235233,산격로9길,15.0,4
106306,3145021,대학로,35.0,3
106307,4235259,연암공원로20길,6.0,4
106330,,,,
106332,4235142,대학로13길,5.0,4
106335,4235232,산격로8길,6.0,4
106337,4235147,대학로9길,6.0,4
106338,4235126,대구체육관로8길,6.0,4
106339,,,,
106340,4235280,연암로4길,6.0,4
106341,3145017,대구체육관로,30.0,3
106342,,,,
106345,4235146,대학로25길,6.0,4
106346,4235142,대학로13길,3.0,4
106347,4235142,대학로13길,3.0,4
106348,4235147,대학로9길,6.0,4
106349,4235142,대학로13길,5.0,4
106350,4235227,산격로14길,6.0,4
106352,,,,
106354,4235146,대학로25길,6.0,4
106355,,,,
106356,4235224,산격로10길,8.0,4
106357,,,,
106358,4235225,산격로11길,6.0,4
106359,,,,
106360,4235122,대구체육관로11길,6.0,4
106362,4235255,연암공원로14길,6.0,4
106428,4235128,대동로10길,8.0,4
106429,4235134,대동로8길,4.0,4
106430,4235128,대동로10길,8.0,4
106487,4235227,산격로14길,6.0,4
106507,4235146,대학로25길,6.0,4
106544,4235134,대동로8길,6.0,4
106545,4235147,대학로9길,6.0,4
106546,3145018,대동로,10.0,3
106547,3145029,산격로,14.0,3
106548,4235134,대동로8길,6.0,4
106549,4235227,산격로14길,6.0,4
106550,4235134,대동로8길,6.0,4
106551,4235131,대동로4길,6.0,4
106552,4235147,대학로9길,6.0,4
106606,3145029,산격로,6.0,3
106607,4235233,산격로9길,15.0,4
106608,4235255,연암공원로14길,6.0,4
106609,4235225,산격로11길,6.0,4
106610,4235226,산격로13길,7.0,4
106612,,,,
106659,4235225,산격로11길,6.0,4
106660,4235255,연암공원로14길,6.0,4
106661,4235251,연암공원로10길,6.0,4
106662,4235226,산격로13길,5.0,4
106812,4235228,산격로17길,6.0,4
107315,4235128,대동로10길,8.0,4
107319,4235145,대학로23길,5.0,4
107320,4235145,대학로23길,7.0,4
107321,4235232,산격로8길,6.0,4
107322,4235128,대동로10길,8.0,4
