FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
480237,4742058,대흥2길,3.0,4
480242,4742306,내외량길,2.0,4
480244,,,,
480254,,,,
480274,4742306,내외량길,2.0,4
480275,3308077,도군로,2.0,3
480359,4742056,대북길,2.0,4
480360,4742056,대북길,10.0,4
480657,,,,
480677,3308077,도군로,2.0,3
480688,4742056,대북길,2.0,4
480689,,,,
480698,4742142,새터길,4.0,4
483213,,,,
483853,,,,
483854,,,,
483855,4742306,내외량길,2.0,4
483856,4742306,내외량길,2.0,4
483857,4742039,내량1길,2.0,4
483858,4742241,정1길,7.0,4
483859,4742241,정1길,7.0,4
483860,4742241,정1길,2.0,4
483861,4742241,정1길,7.0,4
483862,4742241,정1길,7.0,4
483863,4742241,정1길,7.0,4
483864,4742241,정1길,7.0,4
483865,4742241,정1길,2.0,4
483866,4742241,정1길,2.0,4
483867,4742241,정1길,7.0,4
483868,4742241,정1길,7.0,4
483869,4742241,정1길,7.0,4
483870,4742241,정1길,7.0,4
483871,4742241,정1길,7.0,4
483872,4742241,정1길,2.0,4
483873,,,,
483874,3314001,군청로,2.0,3
483875,3314001,군청로,2.0,3
483876,4742241,정1길,2.0,4
483878,,,,
483879,4742241,정1길,7.0,4
483880,4742243,정3길,2.0,4
483881,4742243,정3길,2.0,4
483882,4742243,정3길,4.0,4
483883,,,,
483884,4742243,정3길,2.0,4
483885,4742243,정3길,4.0,4
483886,4742243,정3길,4.0,4
483887,4742243,정3길,4.0,4
483888,4742243,정3길,2.0,4
483889,,,,
483890,4742242,정2길,4.0,4
483891,4742242,정2길,4.0,4
483892,4742242,정2길,7.0,4
483893,4742242,정2길,7.0,4
483894,4742242,정2길,2.0,4
483895,4742242,정2길,7.0,4
483896,4742242,정2길,2.0,4
483897,4742242,정2길,2.0,4
483898,4742242,정2길,2.0,4
483899,4742242,정2길,7.0,4
483900,4742242,정2길,7.0,4
483901,4742242,정2길,7.0,4
483902,4742242,정2길,7.0,4
483903,4742242,정2길,2.0,4
483904,4742242,정2길,2.0,4
483905,4742242,정2길,7.0,4
483906,4742242,정2길,7.0,4
483907,4742242,정2길,7.0,4
483908,4742242,정2길,7.0,4
483909,4742242,정2길,4.0,4
483910,4742242,정2길,2.0,4
483911,4742242,정2길,4.0,4
483912,4742242,정2길,4.0,4
483913,3314001,군청로,2.0,3
483914,4742241,정1길,2.0,4
483915,4742241,정1길,2.0,4
483916,3308077,도군로,2.0,3
483917,3308077,도군로,2.0,3
483918,4742242,정2길,4.0,4
483919,4742242,정2길,4.0,4
483920,4742242,정2길,4.0,4
483921,3308077,도군로,2.0,3
483922,4742243,정3길,4.0,4
483923,4742243,정3길,2.0,4
483924,,,,
483925,4742243,정3길,2.0,4
483926,3308077,도군로,2.0,3
483927,3308077,도군로,2.0,3
483928,3308077,도군로,2.0,3
483929,,,,
483930,,,,
483931,,,,
483932,,,,
483933,,,,
483934,,,,
483935,,,,
483936,,,,
483937,,,,
483938,,,,
483939,,,,
483940,,,,
483941,,,,
483942,3314001,군청로,2.0,3
483943,4742241,정1길,2.0,4
483944,4742241,정1길,7.0,4
483945,4742241,정1길,2.0,4
483946,4742241,정1길,2.0,4
483947,,,,
483948,4742241,정1길,7.0,4
483949,4742241,정1길,7.0,4
483950,4742241,정1길,2.0,4
483951,4742241,정1길,2.0,4
483952,4742040,내량길,4.0,4
483953,4742040,내량길,2.0,4
483954,4742040,내량길,2.0,4
483955,,,,
483956,4742008,개봉길,4.0,4
483957,4742008,개봉길,2.0,4
483958,4742008,개봉길,4.0,4
483959,4742008,개봉길,4.0,4
483960,4742008,개봉길,4.0,4
483961,4742039,내량1길,2.0,4
483962,4742040,내량길,4.0,4
483963,4742040,내량길,4.0,4
483964,4742040,내량길,4.0,4
483965,,,,
483966,4742040,내량길,4.0,4
483967,4742306,내외량길,4.0,4
483968,4742306,내외량길,4.0,4
483969,4742306,내외량길,4.0,4
483970,,,,
483971,4742195,외량1길,3.0,4
483972,4742056,대북길,2.0,4
483973,4742195,외량1길,3.0,4
483974,4742195,외량1길,3.0,4
483975,,,,
483976,,,,
483977,4742306,내외량길,2.0,4
483978,,,,
483979,3308077,도군로,8.0,3
483980,3308077,도군로,8.0,3
483981,4742135,삽령길,7.0,4
483982,4742135,삽령길,7.0,4
483983,,,,
483984,4742135,삽령길,7.0,4
483985,4742135,삽령길,7.0,4
483986,,,,
483987,4742135,삽령길,7.0,4
483988,4742135,삽령길,2.0,4
483989,4742135,삽령길,2.0,4
483990,4742135,삽령길,2.0,4
