distance,execution_time,total_clusters,matched_clusters,matching_rate,avg_pipes_per_cluster
10,32.292086,975,932,95.58974358974359,3.726394849785408
20,32.06786,975,968,99.28205128205128,10.652892561983471
30,32.746004,975,972,99.6923076923077,20.674897119341562
50,35.5182,975,975,100.0,49.55282051282051
100,44.696546,975,975,100.0,163.10871794871795
