File,Data_Type,Total_Cycles,Mean_Range,Max_Range,Std_Range,Damage_Equivalent
0243 소구역 압력 데이터.csv,Original,60621.0,0.08611895477567118,1.2000000000000002,0.08284610565216889,241.3954999998399
0243 소구역 압력 데이터.csv,Low Pass,2949.0,0.021975257342367892,1.011461375362798,0.03247377171635216,0.8895766479612578
0243 소구역 압력 데이터.csv,High Pass,94793.0,0.08137000292034674,1.1721328778036784,0.07072765469611852,213.99762163928278
0461 소구역 압력 데이터.csv,Original,60737.5,0.08730213183043371,654.1999999999999,3.7384192057717844,279726451.4891434
0461 소구역 압력 데이터.csv,Low Pass,2521.5,0.1174113552766684,24.046851888828915,0.5199454205562689,7841.627659631842
0461 소구역 압력 데이터.csv,High Pass,72675.0,0.07684322218199766,642.3530794452707,3.303236097690362,257416360.1440479
0470 소구역 압력 데이터.csv,Original,62204.5,0.06189622324330382,4.6,0.06641506320506081,155.75049999998814
0470 소구역 압력 데이터.csv,Low Pass,2760.5,0.12188665147160421,1.8619052622664412,0.08863027292124692,16.734506108979893
0470 소구역 압력 데이터.csv,High Pass,71052.0,0.05575921913347984,2.7703559551974806,0.03883292031119145,42.90530589710903
0480 소구역 압력 데이터.csv,Original,57381.5,0.06010351448367978,4.3,0.06433738994335476,128.2724999999807
0480 소구역 압력 데이터.csv,Low Pass,2878.5,0.10128591001248739,1.6068012835744876,0.08723564514787958,12.517089037078765
0480 소구역 압력 데이터.csv,High Pass,69110.5,0.054384823728450674,2.740285724436622,0.03775431979246905,39.189584128125105
0490 소구역 압력 데이터.csv,Original,53035.0,0.06194645373414749,4.4,0.06695502263986887,135.1909999999786
0490 소구역 압력 데이터.csv,Low Pass,2652.0,0.10661129333621332,1.771687190829506,0.09212963519631882,13.94563112206749
0490 소구역 압력 데이터.csv,High Pass,62389.0,0.05514402282532108,2.672022099455135,0.0391487968830807,37.704687274940405
0520 중구역 압력 데이터.csv,Original,48534.5,0.05330572552897791,42.699999999999996,0.20071529259628723,38961.328999917205
0520 중구역 압력 데이터.csv,Low Pass,2457.0,0.0531166443002049,2.411558554956616,0.06689354366957141,8.708832642341546
0520 중구역 압력 데이터.csv,High Pass,54758.5,0.049664914776780165,41.98553364059657,0.182001163918725,37032.95468163435
