cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8948401,128.6108953,107356,SPLY_LS,5.4582102863219175,14,1.6154688569472964,1.7218069815195074,1.5639059731966927,1.0,1.0,1.0,1.0,1.6,1.0909594101010336,7.471264367816092,17.857142857142858,10.246086410450454,1.547126436781609,3.3000000000000003,2.158223714561831,7.701065080626144,10.684765383525086,7.350308767481992,13,150,55.99827417570986,0.0379404522794667,0.0526400993767438,0.03621239868931509
1,1,35.8954174,128.6096018,245306,PIPE_LM,6.387179434234732,9,1.6726899383983571,1.712662559890486,1.5583483297355738,1.0,1.0,1.0,1.2,1.2,1.0879497138208294,6.666666666666667,12.5,8.716453422562687,2.1333333333333337,3.3000000000000003,2.057066956432848,5.1880674570451015,9.68183678104938,6.312288419366877,80,150,56.28484414167789,0.0255597925372512,0.0476990211773569,0.031098435741273776
2,5,35.8952774,128.6101531,245302,SPLY_LS,6.9936724839440245,12,1.6729637234770705,1.7326488706365502,1.6424844204930562,1.0,1.0,1.0,1.0,1.2,1.0289906968983862,7.471264367816092,10.95890410958904,8.171297976763015,1.547126436781609,2.16986301369863,1.6362103291334806,3.29057690626739,12.604472512292295,6.149454104413387,13,50,18.651078046924287,0.0162115207152622,0.0620978245026848,0.030296208063508155
3,1,35.8935219,128.6098311,212288,SPLY_LS,5.750054902444755,10,1.7075701574264204,1.7465023956194388,1.605037871727206,1.0,1.0,1.0,1.0,1.6,1.0692872739229746,7.471264367816092,14.285714285714286,9.333804652082579,1.547126436781609,2.2285714285714286,1.7333804652082578,4.069013356235396,5.379922874541092,3.8384261204405266,13,40,21.685505463477213,0.0200466046514971,0.0265049970298578,0.01891058204626826
4,2,35.8958136,128.61075695,177224,SPLY_LS,8.622935644935069,8,1.7011088295687884,1.712662559890486,1.6386949790103644,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.523809523809524,8.158962085121072,1.547126436781609,2.466666666666667,1.6882735259475172,2.881965683283406,6.156238064318377,3.6056034955901954,13,100,24.57781618139921,0.0141984362335481,0.0303296302595741,0.01776354646154939
5,4,35.895874250000006,128.60974275,3801,SPLY_LS,4.6232383816080596,12,1.6531416837782342,1.712662559890486,1.6630601962653442,1.0,1.0,1.0,1.0,1.2,1.0093606091875245,7.471264367816092,14.285714285714286,8.919851884481755,1.547126436781609,3.3000000000000003,1.9189272708070515,4.3804108482792214,9.135449829878205,4.912462952862957,13,150,40.84418726625882,0.0215807511056748,0.0450071639043694,0.024201985606722223
6,3,35.8962819,128.61074166666666,72325,SPLY_LS,5.800076227562076,9,1.6837508555783711,1.712662559890486,1.6723197056184707,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.846153846153848,7.942159373248498,1.547126436781609,2.0307692307692307,1.631444342094535,5.024773527128015,6.4379292616762,4.3051566317879955,13,40,18.003399324683542,0.0247553004974252,0.031717424197037,0.02120999991999828
7,1,35.8931139,128.6092693,178155,SPLY_LS,10.129155541368805,8,1.6384120465434635,1.7326488706365502,1.5995045430056056,1.0,1.0,1.0,1.0,1.6,1.1609580886373496,7.471264367816092,12.5,8.808507873041652,1.547126436781609,3.3000000000000003,1.92894074230479,2.5433609780937427,9.17305887454059,5.337396190014082,13,150,42.58648586632593,0.0125302493627255,0.0451924505042554,0.02629548293953282
8,3,35.897049833333334,128.60988883333334,211328,PIPE_LM,14.683798614986246,4,1.6926762491444216,1.6926762491444216,1.5304593598789493,1.0,1.0,1.0,1.6,1.6,1.1576747778532088,12.5,14.285714285714286,12.127513182143637,3.3000000000000003,3.3000000000000003,2.6561538972210212,11.330398627606204,11.330398627606204,7.491848203484073,150,150,93.1500741786146,0.0558209083986961,0.0558209083986961,0.03690971395169475
9,1,35.8922299,128.6075294,107386,SPLY_LS,7.239385329353006,10,1.7164955509924709,1.7526899383983574,1.6368906810804353,1.0,1.0,1.0,1.0,1.6,1.151000456957596,7.471264367816092,15.873015873015872,9.88252250059571,1.547126436781609,3.9746031746031742,2.158531385894654,4.090457186552017,12.765202636710075,5.348796852978818,13,200,59.12638959237739,0.0201522508981264,0.0628896855701477,0.026351650015728062
