cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,3,35.8915603,128.596439,71407,SPLY_LS,11.279771227711523,32,13,500,27.67329162711142,1.6007392197125256,1.7418480492813142,1.598265655545054,1.3,1.3,1.2999999999999998,1.0,1.4,1.0915805690095204,7.471264367816092,26.31578947368421,8.633088941277279,1.547126436781609,6.063157894736842,1.7333701019102332,15.195495250993716,23.946375509793263,11.86323186083744,0.0493093820894746,0.0777059885292791,0.03849618738841744,0.6151,0.9576,0.3927479714170449
1,1,35.8915342,128.5965834,71406,SPLY_LS,5.583393567819433,39,13,500,24.594151224331487,1.6013415468856946,1.7418480492813142,1.611164113610206,1.3,1.3,1.3,1.0,1.4,1.092621183072411,7.471264367816092,26.31578947368421,8.53909899295147,1.547126436781609,6.063157894736842,1.7037687984755965,11.451396244930214,23.946375509793263,11.195357643052175,0.0371597808147985,0.0777059885292791,0.03632893555170427,0.4387,0.9576,0.36438783838762095
2,2,35.89294015000079,128.59732759999397,105136,SPLY_LS,6.119350646609928,32,13,300,48.00994041355643,1.6793702943189597,1.7661054072553046,1.6259898426186712,1.3,1.3,1.2999999999999998,1.0,1.4,1.0996475360823403,7.471264367816092,20.833333333333332,8.88296779623655,1.547126436781609,4.966666666666667,1.9573649504433424,8.663168439046087,25.50364948565144,11.186284878487331,0.0281119815847045,0.0827593425809389,0.03629949443069134,0.2886,0.4431,0.24884275883142715
3,1,35.8957562,128.6004581,36935,PIPE_LM,4.135936199608156,56,100,100,37.49031445783331,1.593511293634497,1.7934839151266255,1.651863677156524,1.0,1.0,1.0,1.0,1.0,1.0,16.3265306122449,16.3265306122449,9.503995272603284,2.840816326530613,2.840816326530613,1.9003754519607958,4.526012793616897,11.806327669957009,5.676500599534537,0.0146869115152868,0.0383115332890104,0.018420244445489526,0.0587,0.5497,0.17881138372581787
4,1,35.89633380000001,128.5998717,105191,PIPE_LM,5.288201883214831,42,80,300,46.97871366416889,1.593511293634497,1.73347022587269,1.5961968316489836,1.0,1.0,1.0,1.0,1.2,1.0418303625993892,14.22222222222222,20.833333333333332,9.355129739770586,2.5777777777777775,4.966666666666667,1.9985775544575537,5.491590611196243,21.27228789917386,8.364558531618737,0.0178202115333318,0.0690285742328191,0.02714299243510274,0.1146,0.6898,0.2676444141228812
5,2,35.89639990000018,128.60010119999825,105156,SPLY_LS,5.419812068923909,40,13,300,41.35868456200707,1.658672142368241,1.7507186858316222,1.6084605649918424,1.0,1.0,1.0,1.0,1.2,1.0297914410316735,7.471264367816092,20.833333333333332,8.942062783392382,1.547126436781609,4.966666666666667,1.9142643617245108,8.134994813925092,21.621939867919913,8.139454528924828,0.0263980581711869,0.0701631948714001,0.026412529946361018,0.3803,0.551,0.2769147506159616
6,1,35.893373999999994,128.5992472,142063,SPLY_LS,3.3922560054413315,27,13,80,19.825345119652695,1.6415331964407942,1.728432580424367,1.656021366179025,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,8.181562560261957,1.547126436781609,2.5777777777777775,1.6491594639578926,4.0648596576321046,17.07260752064002,6.515727776652095,0.0131904695890161,0.0554006114044768,0.021143536635235997,0.1425,0.883,0.2661163710253545
7,1,35.8935192,128.5982447,36423,SPLY_LS,5.200077289511617,68,13,300,33.94338286042655,1.613826146475017,1.7434907597535934,1.630688918918927,1.0,1.3,1.018748466034312,1.0,1.4,1.0436858203404071,7.471264367816092,20.833333333333332,9.073282415020296,1.547126436781609,4.966666666666667,1.8481331121680757,15.43623603545866,29.46864535364724,11.328082774294215,0.0500905859350633,0.0956257541725852,0.03675962860258468,0.8367,0.8367,0.4505897227277022
8,1,35.8971881,128.5999924,36474,SPLY_LS,5.123548115608352,58,13,300,31.648521261298463,1.709596167008898,1.7535112936344968,1.6658141166081621,1.0,1.0,1.0,1.0,1.2,1.0286902323268061,7.471264367816092,20.833333333333332,9.055708125373272,1.547126436781609,4.966666666666667,1.8301176729125403,6.960235178821564,21.621939867919913,6.986119055766254,0.0225859631552759,0.0701631948714001,0.02266995633596144,0.2987,0.6142,0.24180440077803392
9,1,35.8921902,128.5974082,175904,SPLY_LS,3.126076423090151,43,13,80,24.69206939385641,1.7060369609856263,1.7535112936344968,1.6016970315369663,1.3,1.3,1.3000000000000005,1.0,1.4,1.0661797062854943,7.471264367816092,17.857142857142858,7.707785264618397,1.547126436781609,2.585714285714286,1.6702396567627995,10.42001068985388,18.78501544998105,11.256792897114902,0.0338129346885758,0.0609573751351884,0.036528292951137804,0.3601,0.7371,0.34159198062836127
