CLUSTER_ID,REPAIR_COUNT,CNT_JNT,PIPE_TYPE,DISTANCE_M,IS_FREQUENT
97.0,2.0,4,PIPE_LM,9.26245035181692,False
98.0,2.0,2,SPLY_LS,11.126525362141903,False
99.0,3.0,2,SPLY_LS,7.129410206424666,False
100.0,3.0,2,SPLY_LS,8.090238479778446,False
101.0,5.0,2,SPLY_LS,5.4557574251431635,True
102.0,3.0,2,SPLY_LS,10.329907833136367,False
103.0,3.0,1,SPLY_LS,10.141827886840911,False
104.0,2.0,1,SPLY_LS,8.175453930818607,False
105.0,2.0,4,PIPE_LM,8.50984227262244,False
106.0,3.0,4,PIPE_LM,6.362873453004796,False
107.0,2.0,3,SPLY_LS,5.129856156095779,False
108.0,2.0,3,PIPE_LM,5.343331042384264,False
109.0,2.0,4,PIPE_LM,8.756063768628936,False
110.0,2.0,2,SPLY_LS,9.097846213662745,False
111.0,2.0,1,SPLY_LS,14.101185952198376,False
112.0,3.0,2,SPLY_LS,5.942158345527978,False
113.0,2.0,2,SPLY_LS,11.227748875039087,False
114.0,3.0,1,SPLY_LS,9.556393529260594,False
115.0,2.0,2,SPLY_LS,6.398264046064691,False
116.0,2.0,2,SPLY_LS,6.6300738757237045,False
117.0,2.0,3,PIPE_LM,7.596149239043417,False
118.0,2.0,2,SPLY_LS,2.534950034611794,False
119.0,3.0,4,PIPE_LM,6.727800974583282,False
120.0,2.0,4,PIPE_LM,7.046541047266477,False
121.0,2.0,1,SPLY_LS,9.964890355243199,False
122.0,2.0,2,SPLY_LS,12.06536243033254,False
123.0,2.0,2,SPLY_LS,6.835812283093419,False
124.0,2.0,1,SPLY_LS,7.249292898718988,False
125.0,3.0,1,SPLY_LS,9.22089431721172,False
126.0,2.0,2,SPLY_LS,7.888586782143399,False
127.0,2.0,2,SPLY_LS,5.710390459727396,False
128.0,2.0,2,SPLY_LS,8.442334869813305,False
129.0,2.0,4,PIPE_LM,3.2967534542455468,False
130.0,2.0,4,PIPE_LM,8.783975381492196,False
