repair_id,복구타입,위도,경도,주소,작업일시,구군
51,지상누수,35.8964922,128.6065103,북구 대학로9길 74-22 (산격동) / 1244-7번지,2019-12-05 09:30:00,북구
52,지상누수,35.8945889,128.5984789,북구 연암공원로 43 (산격동) / 1141-1번지,2019-04-01 09:35:00,북구
53,지상누수,35.8905191,128.6029722,북구 연암로4길 41-11 (산격동) / 1401-76번지,2019-08-13 18:00:00,북구
54,지상누수,35.8973396,128.5996707,북구 연암공원로13길 6-12 (산격동) / 1180-20번지,2019-03-08 11:36:00,북구
55,지상누수,35.8956451,128.6015328,북구 산격로11길 35-3 (산격동) / 1437-42번지,2019-10-15 14:00:00,북구
56,지상누수,35.8899291,128.6016472,북구 대구체육관로2길 16 (산격동) / 1441-18번지,2019-09-26 14:55:00,북구
57,지상누수,35.8906833,128.6034433,"북구 산격로1길 31-13, 1498-216 (산격동) / 1498-189번지",2019-09-26 10:13:00,북구
58,지상누수,35.8934782,128.6041763,북구 대구체육관로9길 20-1 (산격동) / 1430-32번지,2019-10-21 16:18:00,북구
59,지상누수,35.8953651,128.6036803,북구 산격로9길 14-9 (산격동) / 1424-9번지,2019-05-07 18:00:00,북구
60,지상누수,35.8887528,128.6024193,북구 대학로 7 (산격동) / 1390-3번지,,북구
61,지상누수,35.8934943,128.6071291,북구 산격로8길 18 (산격동) / 1411-60번지,,북구
62,지상누수,35.8973255,128.598688,북구 연암공원로11길 15-7 (산격동) / 1180-16번지,,북구
63,지상누수,35.896862,128.6102019,북구 대동로 34-1 (산격동) / 1266-14번지,,북구
64,지상누수,35.8972847,128.6067763,북구 대학로9길 74-1 (산격동) / 1242-8번지,,북구
65,지상누수,35.8933568,128.6080768,북구 대학로15길 15 (산격동) / 1397-27번지,,북구
66,지상누수,35.8948698,128.6010136,북구 산격로서9길 17-5 (산격동) / 1435-21번지,,북구
67,지상누수,35.8952936,128.6095987,북구 대동로6길 23 (산격동) / 1307-42번지,,북구
68,지상누수,35.8933378,128.6098866,북구 대학로 91-1 (산격동) / 1332-7번지,,북구
69,지상누수,35.8974779,128.6038346,북구 연암공원로32길 64-48 (산격동) / 1193-13번지,,북구
70,지상누수,35.8951696,128.6090785,북구 산격로10길 35-3 (산격동) / 1312-69번지,,북구
71,지상누수,35.8937156,128.6060161,북구 산격로8길 7 (산격동) / 1409-30번지,,북구
72,지상누수,35.8946232,128.6089947,북구 산격동 1313-23,,북구
