전략,빈번 그룹 평균,일반 그룹 평균,차이,상관계수
최대 CNT_JNT,4.111111111111111,4.309623430962343,-0.19851231985123263,-0.04778106505435925
평균 CNT_JNT,2.651275562225996,2.7074055900544907,-0.05613002782849463,-0.042439563956252646
가장 가까운,1.8888888888888888,2.200836820083682,-0.31194793119479325,-0.06435701992372274
