CLUSTER_ID,REPAIR_COUNT,MAX_CNT_JNT,MAX_CNT_PIPE_TYPE,MAX_CNT_DISTANCE,AVG_CNT_JNT,NEAREST_CNT_JNT,NEAREST_DISTANCE,NEARBY_PIPE_COUNT,HIGH_CNT_PIPE_COUNT,IS_FREQUENT
0.0,2.0,4,PIPE_LM,15.069827707735731,2.58974358974359,2,9.015219826350107,39,19,False
1.0,5.0,5,PIPE_LM,26.310582908197627,2.836734693877551,2,12.372644861970885,49,26,True
2.0,5.0,3,PIPE_LM,28.456260598187562,2.5,2,6.912443833429991,32,18,True
3.0,2.0,4,PIPE_LM,8.590772595296855,2.9642857142857144,3,3.6681720053372446,28,17,False
4.0,3.0,4,PIPE_LM,28.219213837532752,2.764705882352941,1,9.552491727780746,34,17,False
5.0,3.0,4,PIPE_LM,28.451728174128366,2.782608695652174,2,4.7629252280056615,23,14,False
6.0,3.0,5,PIPE_LM,18.521509210586675,2.8285714285714287,2,8.622521029746885,35,20,False
7.0,2.0,4,PIPE_LM,23.121677844359912,2.75,2,7.789520131763869,20,11,False
8.0,2.0,4,PIPE_LM,20.106139452800438,2.3773584905660377,2,5.822080513080545,53,20,False
9.0,5.0,4,PIPE_LM,17.675601274090944,2.5625,1,4.920251617978239,48,22,True
10.0,2.0,4,PIPE_LM,27.169751243765376,2.7058823529411766,2,8.575769266379154,51,27,False
11.0,3.0,4,PIPE_LM,24.515626231959587,2.5428571428571427,1,7.27587058039627,35,18,False
12.0,3.0,4,PIPE_LM,14.877508373453862,2.682926829268293,4,14.877508373453862,41,18,False
13.0,3.0,4,PIPE_LM,22.40267392728676,2.4583333333333335,2,12.136334673077716,24,10,False
14.0,2.0,4,PIPE_LM,24.418141083037575,2.9,2,5.0006807050714865,30,16,False
15.0,3.0,4,PIPE_LM,26.77910692050384,2.5952380952380953,2,10.52005479362363,42,17,False
16.0,2.0,4,PIPE_LM,9.899234290680573,2.5849056603773586,3,5.326841666613784,53,27,False
17.0,3.0,4,PIPE_LM,10.080311018255346,2.813953488372093,1,6.888884230087686,43,27,False
18.0,2.0,4,PIPE_LM,29.95272590698604,2.8947368421052633,2,7.906338783237903,38,24,False
19.0,2.0,4,PIPE_LM,9.321501187816194,2.727272727272727,2,8.048803186993121,22,12,False
20.0,3.0,4,PIPE_LM,18.438451992121525,2.6875,2,9.721408252250104,48,26,False
21.0,3.0,4,PIPE_LM,29.668985556345508,2.8666666666666667,2,6.532141719777262,45,29,False
22.0,2.0,4,PIPE_LM,10.351926270243645,2.772727272727273,2,5.8612701796106474,44,25,False
23.0,2.0,4,PIPE_LM,9.320050730696707,2.6724137931034484,1,4.963460386382178,58,34,False
24.0,3.0,4,PIPE_LM,12.505733012750904,2.763157894736842,3,6.305080582941665,38,25,False
25.0,2.0,4,PIPE_LM,19.913497560120472,2.7142857142857144,3,6.503925574263336,35,20,False
26.0,3.0,4,PIPE_LM,19.429750165642066,2.806451612903226,3,7.198357291313274,31,16,False
27.0,2.0,6,PIPE_LM,24.77894038385044,2.9272727272727272,2,4.256010754985106,55,36,False
28.0,2.0,4,PIPE_LM,29.44437456414275,2.7142857142857144,3,5.878551570385383,56,33,False
29.0,2.0,4,PIPE_LM,23.76817423844179,2.6363636363636362,3,5.567698872070991,44,24,False
30.0,2.0,4,PIPE_LM,22.035261419839745,2.8,1,6.203849249761718,35,20,False
31.0,3.0,4,PIPE_LM,14.83837895260334,2.7241379310344827,2,6.664178643076145,29,13,False
32.0,2.0,4,PIPE_LM,24.586663490325463,2.738095238095238,2,7.347278407942516,42,25,False
33.0,2.0,5,PIPE_LM,14.952283997731422,2.877551020408163,2,6.474758448805209,49,31,False
34.0,2.0,4,PIPE_LM,26.735589765760494,2.4782608695652173,2,7.890934098699868,23,11,False
35.0,2.0,4,PIPE_LM,23.24130815148895,2.806451612903226,2,5.844528309192045,31,17,False
36.0,2.0,30,PIPE_LM,23.291649209123403,3.5,5,4.25165451640859,68,47,False
37.0,2.0,3,PIPE_LM,22.256370340680473,2.066666666666667,2,6.331272830635856,15,3,False
38.0,2.0,4,PIPE_LM,28.408972362830944,2.6944444444444446,3,4.295685552022313,36,22,False
39.0,3.0,4,PIPE_LM,5.772284788207201,2.5813953488372094,4,5.1307137545763775,43,22,False
40.0,3.0,4,PIPE_LM,27.69864956742368,2.8181818181818183,4,3.7735903076367108,55,30,False
41.0,2.0,4,PIPE_LM,10.957168014754187,2.608695652173913,2,8.559068873256804,46,24,False
42.0,2.0,4,PIPE_LM,23.21410401859993,2.6346153846153846,2,6.748684471938312,52,26,False
43.0,2.0,4,PIPE_LM,20.93930564724606,2.7916666666666665,2,4.612098802916275,24,12,False
44.0,2.0,4,PIPE_LM,27.922620593450578,2.8378378378378377,2,5.6305202291747785,37,22,False
45.0,2.0,4,PIPE_LM,22.519660491198845,2.8214285714285716,4,8.843910505319728,28,15,False
46.0,4.0,4,PIPE_LM,25.21495516469783,2.7142857142857144,2,8.875481283186373,35,20,True
47.0,3.0,5,PIPE_LM,23.931237469803616,2.8157894736842106,2,7.632236936095994,38,19,False
48.0,2.0,4,PIPE_LM,22.205073122222554,2.7560975609756095,2,10.87960495395244,41,24,False
49.0,2.0,4,PIPE_LM,24.330978022965127,2.6808510638297873,1,4.381943563579271,47,27,False
50.0,2.0,4,PIPE_LM,26.794425476977587,2.6964285714285716,2,6.689120849444198,56,27,False
51.0,3.0,4,PIPE_LM,21.17020767011117,2.684931506849315,2,4.893178949121127,73,36,False
52.0,3.0,4,PIPE_LM,18.205270075877635,2.8958333333333335,3,5.938142905141889,48,33,False
53.0,2.0,4,PIPE_LM,15.320241915686749,2.4347826086956523,2,8.592600638761889,23,13,False
54.0,2.0,4,PIPE_LM,20.308704573064837,2.0,2,17.366264786341564,6,1,False
55.0,3.0,4,PIPE_LM,22.129219212727744,2.59375,1,7.834342179466967,32,20,False
56.0,2.0,4,PIPE_LM,29.700829704637925,2.823529411764706,2,5.837301904888152,34,19,False
57.0,2.0,4,PIPE_LM,27.13200044575781,2.888888888888889,2,9.418546499588805,36,21,False
58.0,2.0,4,PIPE_LM,23.82178307739305,2.7037037037037037,2,12.518904576159562,27,15,False
59.0,2.0,4,PIPE_LM,29.605366803679964,2.6857142857142855,1,8.127997724392715,35,18,False
60.0,3.0,4,PIPE_LM,18.93465588847306,2.7857142857142856,2,8.464682061627425,56,31,False
61.0,2.0,4,PIPE_LM,24.98691033578021,2.5757575757575757,2,4.86472793678283,33,17,False
62.0,2.0,4,PIPE_LM,21.664621028986577,2.782608695652174,2,7.180146652439736,46,27,False
63.0,2.0,4,PIPE_LM,24.12008188267903,2.5806451612903225,3,7.209522871107766,31,17,False
64.0,3.0,4,PIPE_LM,22.3566886224818,2.9696969696969697,2,7.964548266385644,33,17,False
65.0,2.0,4,PIPE_LM,22.650120622461305,2.4545454545454546,1,6.827367078923376,22,10,False
66.0,3.0,4,PIPE_LM,13.258476799898798,2.5,2,6.5295759920292,42,18,False
67.0,4.0,4,PIPE_LM,11.992293938595576,2.6551724137931036,2,10.039393964809637,29,17,True
