긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호 ,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분명,시공년도,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,손괴원인,손괴원인코드명,누수부위형태코드,누수부위형태코드명,파열상태,파열상태명,측정수압,누수시간,시간당 누수량,누수량,살수량,총공사비,과수압여부,위도,경도,작업일시
201404926,54000,북부사업소,,,5.0,급수관,201409010254.0,201409011145.0,201409011145.0,201409011342.0,D200*15mm 분기점 수선,B,북구,"북구 산격로 68 (산격동,진주남양) / 1229-3번지",520.0,480.0,881.0,20149011395,"북구 산격로 68 (산격동,진주남양) / 1229-3번지",G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,1.0,소켓,6.0,1/10,3.0,3.0,0.0,0.0,,"188,450",N,35.8965674,128.6053964,2014-09-01 11:45:00
201403261,54000,북부사업소,,,5.0,급수관,201406120051.0,201406121007.0,201406121007.0,201406121300.0,D50*13mm 분기점 수선,B,북구,북구 대동로 2-12 (산격동) / 1232-11번지,520.0,480.0,605.0,20149007498,북구 대동로 2-12 (산격동) / 1232-11번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,6.0,1/10,3.0,2.0,0.0,0.0,,"69,610",N,35.8979908,128.6069095,2014-06-12 10:07:00
201402107,54000,북부사업소,,,5.0,급수관,201404100057.0,201404101020.0,201404101020.0,201404110825.0, D13mm 계량기연결부 박킹교체,B,북구,북구 대학로9길 6-1 (산격동) / 1417-31번지,520.0,490.0,340.0,20149004810,북구 대학로9길 6-1 (산격동) / 1417-31번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,301.0,볼트·너트,2.0,부식,,,,,,,,,,0.0,0.0,"58,560",N,35.8913697,128.6059763,2014-04-10 10:20:00
201402176,54000,북부사업소,,,5.0,급수관,201404170309.0,201404171609.0,201404171609.0,201404171835.0,D15mm 접합부 수선,B,북구,북구 연암공원로 60 (산격동) / 1155-7번지,520.0,461.0,383.0,20149004885,북구 연암공원로 60 (산격동) / 1155-7번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,101.0,직관,1.0,노후,,,,,,,,,,,,"100,990",N,35.8957862,128.5993193,2014-04-17 16:09:00
201401676,54000,북부사업소,,,5.0,급수관,201403030135.0,201403031030.0,201403031030.0,201403031340.0, D15mm 접합부 수선(보호통 교체),B,북구,북구 대학로9길 81 (산격동) / 1234-15번지,520.0,480.0,215.0,20149003487,북구 대학로9길 81 (산격동) / 1234-15번지,G,지상누수,2.0,사유지,,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,,,,,,,,,,0.0,0.0,"523,510",N,35.8978547,128.6071543,2014-03-03 10:30:00
201402652,54000,북부사업소,,,5.0,급수관,201405260381.0,201405261628.0,201405261628.0,201405261920.0,D80*15mm 분기점 수선,B,북구,북구 대학로9길 74-8 (산격동) / 1243-4번지,520.0,480.0,541.0,20149006112,북구 대학로9길 74-8 (산격동) / 1243-4번지,G,지상누수,1.0,공도,,7.0,80.0,2.0,닥타일관,201.0,이형관,2.0,부식,,,3.0,연부,5.0,1/7,3.0,3.0,8.0,25.0,0.0,"190,320",N,35.8968908,128.6068308,2014-05-26 16:28:00
201405283,54000,북부사업소,,,4.0,배수지관,201409190274.0,201409191501.0,201409191501.0,201409191730.0,"D80*15mm 구분기점폐쇄
D80*15mm 분기대교체",B,북구,북구 대동로8길 22-5 (산격동) / 1250-10번지,520.0,480.0,949.0,20149011919,북구 대동로8길 22-5 (산격동) / 1250-10번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,,,1.0,소켓,6.0,1/10,3.0,3.0,0.0,0.0,,"220,910",N,35.8968636,128.6085935,2014-09-19 15:01:00
201402200,54000,북부사업소,,,5.0,급수관,201404080171.0,201404081136.0,201404081136.0,201404081400.0,D80*15mm 구 분기점 폐쇄,B,북구,북구 대동로4길 6 (산격동) / 1241-18번지,520.0,480.0,326.0,20149004916,북구 대동로4길 6 (산격동) / 1241-18번지,G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,6.0,1/10,3.0,2.0,0.0,0.0,,"192,990",N,35.8976449,128.6077196,2014-04-08 11:36:00
201404489,54000,북부사업소,,,5.0,급수관,201408170001.0,201408171017.0,201408171017.0,201408171325.0,D200*15mm 분기점 수선,B,북구,"북구 산격로 78 (산격동,황금생막창) / 1231-8번지",520.0,480.0,827.0,20149009977,"북구 산격로 78 (산격동,황금생막창) / 1231-8번지",G,지상누수,1.0,공도,,1.0,15.0,10.0,부분기대,501.0,부분기대,1.0,노후,,,2.0,반도,6.0,1/10,3.0,2.0,0.0,0.0,0.0,"153,970",N,35.8972341,128.6058311,2014-08-17 10:17:00
201404537,54000,북부사업소,,,5.0,급수관,201408290025.0,201408290913.0,201408290913.0,201408291103.0,D15mm 앵글밸브 교체,B,북구,북구 연암로12길 12-14 (산격동) / 1091번지,520.0,461.0,864.0,20149010060,북구 연암로12길 12-14 (산격동) / 1091번지,G,지상누수,2.0,사유지,,1.0,15.0,12.0,계량기보호통(실),603.0,앵글밸브,1.0,노후,,,,,,,,,,,,"111,330",N,35.892329,128.597797,2014-08-29 09:13:00
