cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,구군,대표_주소
3302,7,1463.5,415.0,2512.0,2009-12-29 ~ 2018-01-04,서구,서구 달서천로69길 3-13 (비산동) / 1191-17번지
7498,7,700.2,251.0,1403.0,2009-07-31 ~ 2021-02-02,중구,"중구 동성로2길 87, 영신해물탕 (동성로2가) / 68-8번지"
5780,7,313.0,12.0,819.0,2010-10-06 ~ 2015-01-19,서구,서구 통학로 176-25 (평리동) / 857번지
17077,7,709.8,193.0,2908.0,2008-11-28 ~ 2020-07-29,달서구,달서구 대명천로12길 19 (성당동) / 370-7번지
4529,7,1087.0,1.0,2269.0,2008-05-06 ~ 2020-04-02,남구,남구 명덕로14길 22 (대명동) / 2282-31번지
8526,7,801.2,65.0,1711.0,2009-03-28 ~ 2022-05-30,달성군,달성군 다사읍  다사로97길 6 / 달천리 290번지
4153,7,0.7,0.0,2.0,2008-11-14 ~ 2008-11-16,동구,동구 송라로25길 26 (신암동) / 458-23번지
3393,7,509.4,124.0,1490.0,2009-07-20 ~ 2016-07-13,서구,서구 통학로28길 49-1 (평리동) / 804-17번지
4901,7,615.6,0.0,2045.0,2009-01-12 ~ 2017-06-20,동구,동구 반야월북로11길 21-12 (각산동) / 863-2번지
9260,7,491.5,4.0,1697.0,2010-05-10 ~ 2018-06-09,동구,동구 방천로1길 91-7 (불로동) / 1063-14번지
379,7,375.8,22.0,827.0,2013-02-03 ~ 2019-04-11,달성군,달성군 다사읍  매곡로12길 12-1 / 매곡리 628-2번지
14991,7,690.5,1.0,1941.0,2010-10-06 ~ 2022-02-11,중구,중구 명덕로35길 112 (남산동) / 613-24번지
95,7,689.0,29.0,3112.0,2009-09-23 ~ 2021-01-21,달서구,"달서구 선원남로 5, 와룡위공원 (이곡동) / 1189번지"
1293,7,310.7,44.0,630.0,2015-11-26 ~ 2021-01-04,동구,동구 부동 526-6 만다린
14022,7,580.0,0.0,2361.0,2009-01-09 ~ 2018-07-23,달서구,달서구 상화북로 181 (상인동) / 1526번지
5219,7,291.8,1.0,896.0,2017-03-22 ~ 2021-03-22,서구,서구 비산동 1856-11 만리장
1726,7,819.2,5.0,2597.0,2008-08-28 ~ 2022-02-14,달서구,달서구 달구벌대로 995 (파호동) / 24번지
17088,7,825.3,0.0,2062.0,2008-11-20 ~ 2022-06-13,서구,서구 달서로36길 21-4 (비산동) / 71-23번지
4481,7,225.0,0.0,628.0,2009-06-22 ~ 2012-07-23,북구,북구 학정로 416 (구암동) / 769-3번지
1372,7,406.0,310.0,558.0,2018-01-24 ~ 2021-05-28,남구,남구 대명남2길 74-15 (대명동) / 127-11번지
2028,7,631.7,41.0,1305.0,2011-11-30 ~ 2022-04-18,달성군,달성군 논공읍  노이길 417-7 / 노이리 248번지
10361,7,542.7,111.0,1352.0,2007-07-26 ~ 2016-06-27,남구,남구 명덕로16길 26 (대명동) / 2538-6번지
9553,7,312.7,78.0,830.0,2010-01-01 ~ 2015-02-23,달성군,달성군 다사읍  다사로97길 20-6 / 달천리 66번지
17594,7,490.0,0.0,1290.0,2013-02-11 ~ 2021-03-03,달서구,달서구 야외음악당로47길 111 (두류동) / 136-6번지
10949,7,526.7,72.0,938.0,2012-02-29 ~ 2020-10-27,북구,"북구 사수로 533, 사수로533/산오징어 (팔달동) / 444-5번지"
10121,7,531.5,223.0,1049.0,2009-09-28 ~ 2018-06-25,달서구,달서구 달구벌대로378길 12 (두류동) / 857-11번지
15604,7,329.0,49.0,629.0,2016-07-21 ~ 2021-12-20,달성군,달성군 다사읍  세천본길 13-1 / 세천리 892번지
10932,7,268.0,6.0,1156.0,2008-03-18 ~ 2012-08-14,동구,동구 신암남로15길 60-17 (신암동) / 223-42번지
235,7,558.2,4.0,1656.0,2011-07-06 ~ 2020-09-08,북구,"북구 태전로7길 27-17, 영진하이츠 (태전동) / 209-2번지"
8102,7,368.5,13.0,896.0,2010-01-07 ~ 2016-01-29,달서구,달서구 와룡로56길 24-6 (죽전동) / 202-12번지
13218,7,636.3,5.0,1910.0,2008-08-29 ~ 2019-02-14,남구,남구 현충로46길 8 (대명동) / 1922-13번지
12357,7,166.7,4.0,638.0,2011-01-31 ~ 2013-10-29,중구,중구 달구벌대로 2020-12 (남산동) / 149-3번지
4127,7,181.5,7.0,356.0,2012-08-02 ~ 2013-08-01,서구,서구 달서로 64 (비산동) / 285-1번지
8191,7,746.7,167.0,2585.0,2010-01-11 ~ 2022-04-22,동구,동구 효목로 7-1 (효목동) / 467-5번지
