FTR_IDN,lithoidx,lithoname,K_SOIL
3684,Km6,하양층군함안층,1.0
3685,Km6,하양층군함안층,1.0
3686,Km6,하양층군함안층,1.0
3687,Km6,하양층군함안층,1.0
3703,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3704,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3708,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3753,Km6,하양층군함안층,1.0
3755,Km6,하양층군함안층,1.0
3756,Km6,하양층군함안층,1.0
3757,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3763,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
3775,Km6,하양층군함안층,1.0
3779,Km6,하양층군함안층,1.0
3780,Km6,하양층군함안층,1.0
3781,Km6,하양층군함안층,1.0
3783,Km6,하양층군함안층,1.0
3784,Km6,하양층군함안층,1.0
3785,Km6,하양층군함안층,1.0
3786,Km6,하양층군함안층,1.0
3788,Km6,하양층군함안층,1.0
3789,Km6,하양층군함안층,1.0
3790,Km6,하양층군함안층,1.0
3791,Km6,하양층군함안층,1.0
3792,Km6,하양층군함안층,1.0
3793,Km6,하양층군함안층,1.0
3798,Km6,하양층군함안층,1.0
3799,Km6,하양층군함안층,1.0
3800,Km6,하양층군함안층,1.0
3801,Km6,하양층군함안층,1.0
3802,Km6,하양층군함안층,1.0
3806,Km6,하양층군함안층,1.0
3807,Km6,하양층군함안층,1.0
3808,Km6,하양층군함안층,1.0
3809,Km6,하양층군함안층,1.0
3810,Km6,하양층군함안층,1.0
3811,Km6,하양층군함안층,1.0
3813,Km6,하양층군함안층,1.0
3814,Km6,하양층군함안층,1.0
3815,Km6,하양층군함안층,1.0
3816,Km6,하양층군함안층,1.0
3817,Km6,하양층군함안층,1.0
3818,Km6,하양층군함안층,1.0
3820,Km6,하양층군함안층,1.0
3821,Km6,하양층군함안층,1.0
3822,Km6,하양층군함안층,1.0
3823,Km6,하양층군함안층,1.0
3824,Km6,하양층군함안층,1.0
3825,Km6,하양층군함안층,1.0
3826,Km6,하양층군함안층,1.0
3827,Km6,하양층군함안층,1.0
3829,Km6,하양층군함안층,1.0
3830,Km6,하양층군함안층,1.0
3831,Km6,하양층군함안층,1.0
3832,Km6,하양층군함안층,1.0
3833,Km6,하양층군함안층,1.0
3834,Km6,하양층군함안층,1.0
3835,Km6,하양층군함안층,1.0
3836,Km6,하양층군함안층,1.0
3837,Km6,하양층군함안층,1.0
3839,Km6,하양층군함안층,1.0
3840,Km6,하양층군함안층,1.0
3841,Km6,하양층군함안층,1.0
3842,Km6,하양층군함안층,1.0
3843,Km6,하양층군함안층,1.0
3844,Km6,하양층군함안층,1.0
3846,Km6,하양층군함안층,1.0
3847,Km6,하양층군함안층,1.0
3848,Km6,하양층군함안층,1.0
3850,Km6,하양층군함안층,1.0
3851,Km6,하양층군함안층,1.0
3853,Km6,하양층군함안층,1.0
3854,Km6,하양층군함안층,1.0
3855,Km6,하양층군함안층,1.0
3856,Km6,하양층군함안층,1.0
3857,Km6,하양층군함안층,1.0
3859,Km6,하양층군함안층,1.0
3860,Km6,하양층군함안층,1.0
3861,Km6,하양층군함안층,1.0
3862,Km6,하양층군함안층,1.0
3863,Km6,하양층군함안층,1.0
3865,Km6,하양층군함안층,1.0
3866,Km6,하양층군함안층,1.0
3867,Km6,하양층군함안층,1.0
3868,Km6,하양층군함안층,1.0
3869,Km6,하양층군함안층,1.0
3870,Km6,하양층군함안층,1.0
3871,Km6,하양층군함안층,1.0
3872,Km6,하양층군함안층,1.0
3873,Km6,하양층군함안층,1.0
3875,Km6,하양층군함안층,1.0
3876,Km6,하양층군함안층,1.0
3877,Km6,하양층군함안층,1.0
3878,Km6,하양층군함안층,1.0
3879,Km6,하양층군함안층,1.0
3880,Km6,하양층군함안층,1.0
3881,Km6,하양층군함안층,1.0
3882,Km6,하양층군함안층,1.0
3883,Km6,하양층군함안층,1.0
3884,Km6,하양층군함안층,1.0
3885,Km6,하양층군함안층,1.0
3886,Km6,하양층군함안층,1.0
3887,Km6,하양층군함안층,1.0
3888,Km6,하양층군함안층,1.0
3889,Km6,하양층군함안층,1.0
3890,Km6,하양층군함안층,1.0
3891,Km6,하양층군함안층,1.0
3892,Km6,하양층군함안층,1.0
3893,Km6,하양층군함안층,1.0
3894,Km6,하양층군함안층,1.0
3895,Km6,하양층군함안층,1.0
3896,Km6,하양층군함안층,1.0
3897,Km6,하양층군함안층,1.0
3898,Km6,하양층군함안층,1.0
