cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
0,1,35.8932559,128.6040557,0.0070897867039425,211474,SPLY_LS,4.621350598258002,0.0073472497503581,38040,0.007078815426020635,6,Q1
1,1,35.8948401,128.6108953,0.006869603374655,107356,SPLY_LS,6.737224928042945,0.0124682733736618,72211,0.007857401149621654,8,Q2
2,1,35.890437,128.6039201,0.0069635016621713,38892,SPLY_LS,4.883450653252777,0.0212820934514557,73313,0.009317638073852535,8,Q3
3,2,35.89857815,128.6041736,0.0068635454206217,143359,SPLY_LS,9.015220127333155,0.0461722419797946,308758,0.023678581714991813,7,Q4
4,1,35.8954174,128.6096018,0.0067649871684644,177229,SPLY_LS,8.558543630763705,0.012615583318517,211249,0.007388190120420054,7,Q1
5,1,35.8960453,128.6009302,0.0070853597375336,3984,SPLY_LS,15.12572257543169,0.0070853597375336,3984,0.007041709398461809,2,Q1
6,1,35.8979493,128.6042737,0.0072396045671509,106802,SPLY_LS,8.812847515462582,0.0072440315335598,177603,0.007209509862807474,9,Q1
7,5,35.8952774,128.6101531,0.0071142515183078,245302,SPLY_LS,12.372642558875777,0.0072943591516827,143027,0.007201275633240039,6,Q1
8,1,35.8938976,128.5983609,0.0481364669131537,142119,PIPE_LM,10.391209927451348,0.0481364669131537,142119,0.02392968943740557,6,Q4
9,5,35.893722159999996,128.59912624,0.0072293526449407,142115,SPLY_LS,6.912443816067607,0.0216692294342273,210459,0.010361907525214048,5,Q3
10,1,35.8966024,128.6001585,0.0077979053089096,244078,SPLY_LS,9.64138466572891,0.0366409244777962,324800,0.012640130146020358,6,Q3
11,2,35.89445215,128.60188240000002,0.006920396989242,211522,SPLY_LS,7.992494885631149,0.0072412355547752,143228,0.006957607878139624,7,Q1
12,1,35.8971662,128.6015565,0.0068586524577486,38056,SPLY_LS,3.9781801986054095,0.0287036873425774,211529,0.008583402244443167,10,Q2
13,3,35.89466906666667,128.60217573333333,0.006920396989242,72529,SPLY_LS,10.904233684497783,0.0175036538467823,408602,0.008418284033843183,8,Q2
14,1,35.8895649,128.6026112,0.0070287411671454,107443,SPLY_LS,8.893791381073694,0.0151386999822204,38876,0.008343284809610278,8,Q2
15,1,35.8936997,128.5981166,0.025675660663207,244038,PIPE_LM,7.263759318248757,0.0828468289495488,299675,0.017055439263662518,12,Q4
16,3,35.892494166666665,128.5967628,0.0094393525258494,105133,SPLY_LS,4.762925088329334,0.0094393525258494,105133,0.009382495548929809,3,Q3
17,1,35.8927783,128.5970696,0.0075607809801206,142086,SPLY_LS,4.745546376651379,0.070855627345236,302085,0.01501665437969325,6,Q4
18,1,35.8935219,128.6098311,0.0072615064009636,212288,SPLY_LS,7.1786927002714,0.0226167708260941,418135,0.010007723752407445,8,Q3
19,3,35.895821266666665,128.610742,0.0069003591412856,72332,SPLY_LS,10.176893448758728,0.012615583318517,3805,0.008598539133467416,7,Q2
20,1,35.8952791,128.6085304,0.0069003591412856,143067,SPLY_LS,6.407128733255246,0.0287036873425774,37990,0.010239600128596076,9,Q3
21,1,35.8955801,128.6084953,0.0079568063267966,37926,SPLY_LS,4.927084806530631,0.0464824560737003,143127,0.013187850794215375,13,Q4
22,1,35.8962089,128.5996874,0.0065422408586243,244045,SPLY_LS,2.762706080118107,0.1462461040307996,210515,0.016937494501680632,13,Q4
23,1,35.8981373,128.6052037,0.0068861462491306,106788,SPLY_LS,8.000108643089112,0.0432973627238964,211681,0.013756657763832374,7,Q4
24,1,35.8983117,128.6039873,0.0070042763527801,4145,SPLY_LS,7.9499858225108415,0.0216692294342273,308845,0.008633153792685665,8,Q2
25,1,35.8977199,128.6035563,0.0174687512227239,143369,PIPE_LM,7.330268152550381,0.0174687512227239,106307,0.009476950743556261,10,Q3
26,1,35.8902294,128.6026617,0.0076319780555378,37842,SPLY_LS,6.676451898200213,0.0162343340538362,73314,0.008452249940287586,10,Q2
27,2,35.8915451,128.5961415,0.0089980305745229,2812,SPLY_LS,7.789519719468544,0.0215768368900334,463668,0.011789824054780379,8,Q3
28,2,35.8898263,128.6010129,0.0316953962852238,47811,PIPE_LM,7.6536700432939,0.0316953962852238,47811,0.015623386862704427,8,Q4
29,1,35.8910713,128.6032933,0.0070490120133337,143987,SPLY_LS,7.611230693162219,0.0070555359638311,38873,0.006953033517746165,5,Q1
30,5,35.89588604000001,128.60974242000003,0.0070299061583056,3801,SPLY_LS,5.680350560471637,0.0182935788516018,245327,0.009034211975656606,8,Q2
31,2,35.89277855,128.5978581,0.0088477933144969,36445,SPLY_LS,8.575769226431696,0.0281699982644955,298006,0.01199141179895862,9,Q3
32,1,35.898353,128.604123,0.0072510214805213,4143,SPLY_LS,8.858141751117563,0.0461722419797946,308758,0.014712865330879779,9,Q4
33,3,35.8962819,128.61074166666666,0.0071601521700217,72325,SPLY_LS,7.275870478236643,0.0164284324186314,106429,0.008748601592330554,7,Q2
34,1,35.8931139,128.6092693,0.0069672296338841,178155,SPLY_LS,11.239487211148575,0.0078760046187214,107358,0.007027652677766388,5,Q1
35,1,35.8971656,128.6002114,0.0073938493967682,210471,SPLY_LS,8.353872122716698,0.0160397039126991,244089,0.009712792051824905,7,Q3
36,1,35.8955649,128.6090574,0.0071410463149936,72373,SPLY_LS,4.514895086383716,0.0124682733736618,72436,0.007573739978985871,9,Q1
37,3,35.897049833333334,128.60988883333334,0.0069308826846431,106441,SPLY_LS,16.59757601828213,0.008103479038668,143013,0.007493201447206954,2,Q1
38,1,35.897813,128.6048295,0.0073924514073759,38227,SPLY_LS,6.485340331841592,0.0073924514073759,38227,0.0070990816464585865,8,Q1
39,3,35.894520066666665,128.5982038666667,0.0046850119509514,465918,SPLY_LS,12.136334712241508,0.0069798115384148,2949,0.005690251790893502,2,Q1
40,2,35.89770705,128.60484,0.0073924514073759,38227,SPLY_LS,5.343417434158583,0.0081235442996474,72659,0.00716517044863743,7,Q1
41,3,35.893397,128.5981009333333,0.0073954803843925,175917,SPLY_LS,10.520053058125525,0.0170485906941094,418930,0.008332276905298266,8,Q2
42,1,35.8952087,128.601595,0.0074108582677078,42354,SPLY_LS,10.262140791480062,0.0572258164240383,211527,0.01249824744615492,8,Q3
43,1,35.8922299,128.6075294,0.0072994851127878,107386,SPLY_LS,8.489991730514662,0.0080429708070996,246254,0.007269220262917887,7,Q1
44,1,35.8926598,128.6054077,0.0069008251377497,38860,SPLY_LS,10.626085647367338,0.1595279725895665,439847,0.034382416421408456,7,Q4
45,1,35.8945985,128.6014333,0.006920396989242,177433,SPLY_LS,6.752859782670978,0.0437590243191238,413304,0.013417713356289265,13,Q4
46,1,35.8918995,128.6034968,0.0073153289925672,73348,SPLY_LS,5.189532014331414,0.0351061272044941,178217,0.010748845364286214,9,Q3
47,1,35.8981031,128.6047695,0.0074241391669347,143355,SPLY_LS,7.3852396890737175,0.016012490452254,434486,0.008392187487680862,9,Q2
48,2,35.8924787,128.605816,0.006990296458857,205355,SPLY_LS,6.153777543990094,0.0390515402931816,199089,0.011294598254928224,7,Q3
49,1,35.8964922,128.6065103,0.0070674188736657,37978,SPLY_LS,6.256293910710781,0.0071825200002985,211420,0.007038040554197571,8,Q1
