긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
201402276,51000,중남부사업소,,,5.0,급수관,201404040028.0,201404040926.0,201404040950.0,201404041150.0,D15보호통교체수선,N,남구,남구 효동길 57 (봉덕동) / 1283-65번지,407.0,520.0,10.0,20149005033,남구 효동길 57 (봉덕동) / 1283-65번지,U,지하누수,2.0,사유지,,1.0,자체,2.0,야간,1.0,15.0,12.0,계량기보호통(실),601.0,계량기보호통,2.0,부식,1,누수,1.0,소켓,5.0,1/7,4.0,94.0,0.0,293,568,,"431,520",N,35.8378446,128.6006454,2014-04-04 09:26:00
9908134,51000,중남부사업소,,,4.0,배수지관,,,,,분기점 폐쇄,N,남구,남구 효동길 62 (봉덕동) / 1283-114번지,407.0,520.0,,5100008134,봉덕2동 1283-114번지선 누수수선공사,U,지하누수,,,,,,,,3.0,25.0,2.0,,901.0,,1.0,노후,1,누수,,,5.0,1/7,,270.0,0.0,"1,944",684,,,,35.8374631,128.6001854,
9905988,51000,중남부사업소,,,5.0,급수관,,,,,,N,남구,남구 효동길 7-1 (봉덕동) / 1293-18번지,407.0,770.0,,5100005988,봉덕2동 1293-18번지선 누수수선공사,U,지하누수,,,,,,,,3.0,25.0,2.0,,901.0,,1.0,노후,1,누수,,,4.0,1/5,,294.0,1.0,"9,878","2,386",,,,35.8399927,128.599502,
201102258,51000,중남부사업소,,,5.0,급수관,201103020075.0,201103020928.0,201103021030.0,201103021225.0,"EPS D=40×15mm 분기점 누수수선
",N,남구,남구 효명길 10-2 (봉덕동) / 1322-16번지,407.0,530.0,477.0,20119003408,남구 봉덕동 1322-16 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,3.0,1/3,3.0,61.0,0.0,381,"2,278",0.0,"345,820",N,35.8351299,128.5998714,2011-03-02 09:28:00
9906780,51000,중남부사업소,,,0.0,,,,,,지수전 수선,N,남구,남구 효서2길 5 (봉덕동) / 1376-4번지,407.0,520.0,,5100006780,봉덕3동 1376-4번지선 누수수선공사,U,지하누수,,,,,,,,1.0,15.0,6.0,,402.0,,2.0,부식,1,누수,,,4.0,1/5,,51.0,0.0,220,"1,356",,,,35.8387526,128.5961542,
200906718,51000,중남부사업소,,,,,200911300014.0,200911300911.0,200911301000.0,200911301200.0,DTC D=80x15mm 분기대 누수수선,N,남구,남구 효서3길 17 (봉덕동) / 1361-63번지,860.0,530.0,1446.0,20099012137,남구 봉덕동 1361-63 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,7.0,1/4,3.0,334.0,0.0,"1,523","1,664",,"232,160",N,,,2009-11-30 09:11:00
201103000,51000,중남부사업소,,,5.0,급수관,201104130055.0,201104130955.0,201104131020.0,201104131310.0,"DTC D=80×15mm 구,분기점 폐쇄",N,남구,남구 효서3길 18 (봉덕동) / 1361-69번지,407.0,530.0,703.0,20119004725,남구 봉덕동 1361-69 번지,U,지하누수,1.0,공도,,2.0,용역,,,1.0,15.0,13.0,불용관,801.0,불용관,13.0,불용관,1,누수,1.0,소켓,4.0,1/5,3.0,103.0,0.0,371,"1,314",0.0,"464,410",N,,,2011-04-13 09:55:00
805463,51000,중남부사업소,,,5.0,급수관,,200810240900.0,,,접합부 수선,N,남구,남구 효서4길 6-4 (봉덕동) / 1338-41번지,407.0,520.0,981.0,20089011132,봉덕3동 1338-41번지선 누수수선공사,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,303.0,나사,2.0,부식,1,누수,,,,,,299.0,1.0,"4,234",935,,,N,35.8378319,128.5942682,2008-10-24 09:00:00
200906043,51000,중남부사업소,,,,,200910200021.0,200910200909.0,200910201000.0,200910201200.0,GP D=20mm 접합부 누수수선,N,남구,남구 효서4길 6-4 (봉덕동) / 1338-41번지,407.0,520.0,1311.0,20099011016,남구 봉덕동 1338-41 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,10.0,부분기대,501.0,부분기대,2.0,부식,1,누수,1.0,소켓,4.0,1/5,3.0,294.0,0.0,"1,058","1,314",,"192,900",N,35.8378319,128.5942682,2009-10-20 09:09:00
201002193,51000,중남부사업소,,,5.0,급수관,201003120048.0,201003121026.0,201003121100.0,201003121300.0,STS D=20mm 접합부 누수수선,N,남구,남구 효서4길 6-4 (봉덕동) / 1338-41번지,407.0,520.0,294.0,20109003500,남구 봉덕동 1338-41 번지,U,지하누수,2.0,사유지,,2.0,용역,,,2.0,20.0,12.0,계량기보호통(실),601.0,계량기보호통,2.0,부식,1,누수,1.0,소켓,7.0,1/4,3.0,71.0,0.0,579,"2,978",,"160,790",N,35.8378319,128.5942682,2010-03-12 10:26:00
