cluster_id,repair_count,avg_lat,avg_lon,nearest_d_final,nearest_pipe,nearest_type,nearest_dist,max_d_final,max_d_pipe,avg_d_final,pipe_count,d_final_quartile
0,1,35.8932559,128.6040557,0.0070897867039425,211474,SPLY_LS,4.621350598258002,0.0073472497503581,38040,0.0070859727610253515,4,Q2
1,1,35.8948401,128.6108953,0.006869603374655,107356,SPLY_LS,6.737224928042945,0.0082792024396184,107353,0.007544977963402752,2,Q2
2,1,35.890437,128.6039201,0.0069635016621713,38892,SPLY_LS,4.883450653252777,0.0212820934514557,73313,0.009238179735879343,5,Q3
3,2,35.89857815,128.6041736,0.0068635454206217,143359,SPLY_LS,9.015220127333155,0.0068635454206217,143359,0.0068635454206217,1,Q1
4,1,35.8954174,128.6096018,0.0067649871684644,177229,SPLY_LS,8.558543630763705,0.0067649871684644,177229,0.0067649871684644,1,Q1
6,1,35.8979493,128.6042737,0.0072396045671509,106802,SPLY_LS,8.812847515462582,0.0072396045671509,106802,0.007235393876249936,2,Q2
9,5,35.893722159999996,128.59912624,0.0072293526449407,142115,SPLY_LS,6.912443816067607,0.0072293526449407,142115,0.0072293526449407,1,Q2
10,1,35.8966024,128.6001585,0.0077979053089096,244078,SPLY_LS,9.64138466572891,0.0077979053089096,244078,0.0077979053089096,1,Q3
11,2,35.89445215,128.60188240000002,0.006920396989242,211522,SPLY_LS,7.992494885631149,0.0069844715030558,106656,0.006940525076916843,3,Q1
12,1,35.8971662,128.6015565,0.0068586524577486,38056,SPLY_LS,3.9781801986054095,0.0069753845720058,3969,0.006883437875692971,3,Q1
14,1,35.8895649,128.6026112,0.0070287411671454,107443,SPLY_LS,8.893791381073694,0.0084115623745407,144002,0.007689111318565271,2,Q3
15,1,35.8936997,128.5981166,0.025675660663207,244038,PIPE_LM,7.263759318248757,0.025675660663207,244038,0.017315244204628127,2,Q4
16,3,35.892494166666665,128.5967628,0.0094393525258494,105133,SPLY_LS,4.762925088329334,0.0094393525258494,105133,0.0094393525258494,2,Q3
17,1,35.8927783,128.5970696,0.0075607809801206,142086,SPLY_LS,4.745546376651379,0.0160172524574484,243988,0.010841889284516237,4,Q4
18,1,35.8935219,128.6098311,0.0072615064009636,212288,SPLY_LS,7.1786927002714,0.0226167708260941,418135,0.011234572930153973,4,Q4
20,1,35.8952791,128.6085304,0.0069003591412856,143067,SPLY_LS,6.407128733255246,0.0287036873425774,37990,0.013568602578021815,3,Q4
21,1,35.8955801,128.6084953,0.0079568063267966,37926,SPLY_LS,4.927084806530631,0.0464824560737003,143127,0.01856014739627228,4,Q4
