FTR_IDN,ORIG_FTR_IDN,SUB_IDN,SEGMENT_LENGTH,IS_SEMICIRCULAR,CNT_JNT
313693_1,313693,1,1.2110946725324254,False,3
313693_2,313693,2,1.8929748364720862,False,2
313693_3,313693,3,7.0530979346154306,False,3
313693_4,313693,4,20.18141125560727,False,3
313693_5,313693,5,4.7528416051959095,False,2
313693_6,313693,6,1.5807061555584587,False,2
313693_7,313693,7,1.2390842729718952,False,2
313693_8,313693,8,0.9761411145538954,False,2
313693_9,313693,9,0.08752735492425229,False,4
313693_10,313693,10,1.0760504642186863,False,4
313693_11,313693,11,0.4165709100061449,False,4
313693_12,313693,12,0.5337237216518842,False,4
313693_13,313693,13,4.509212329438012,False,1
468355_1,468355,1,12.127207564579873,False,2
177575_1,177575,1,3.058923910730506,False,2
72641_1,72641,1,2.8398611144147807,False,2
106784_1,106784,1,4.482136748743022,False,2
72640_1,72640,1,4.109376940519292,False,2
72643_1,72643,1,2.6683615190891667,False,1
72644_1,72644,1,4.151892094643713,False,2
177143_1,177143,1,3.343316149190224,False,2
106782_1,106782,1,3.817800729197251,False,2
177572_1,177572,1,4.53030643516329,False,2
37901_1,37901,1,3.562844723044276,False,2
177246_1,177246,1,2.7992406226818876,False,2
106474_1,106474,1,12.907777078392556,False,3
106474_2,106474,2,2.9940958854479574,False,2
106474_3,106474,3,0.09472334988415805,False,1
106473_1,106473,1,11.085705571964876,False,2
143040_1,143040,1,3.4154775089141305,False,1
245340_1,245340,1,2.5550381846650225,False,2
37896_1,37896,1,2.6771900349682594,False,2
211360_1,211360,1,2.520718629160985,False,1
211363_1,211363,1,3.088553099014232,False,2
72348_1,72348,1,3.30541402259243,False,2
37900_1,37900,1,3.1775539379673257,False,2
72349_1,72349,1,3.603655729068745,False,2
177241_1,177241,1,3.7217647881922837,False,2
177242_1,177242,1,3.2200215335582105,False,2
106472_1,106472,1,2.9307934845026202,False,2
143042_1,143042,1,8.327422590930663,False,2
106467_1,106467,1,15.418310366889159,False,2
177243_1,177243,1,3.448032325436282,False,1
3815_1,3815,1,2.143938840301203,False,2
37918_1,37918,1,3.6777789905014506,False,2
177185_1,177185,1,3.3919499788521974,False,2
211368_1,211368,1,1.7875417635101039,False,2
143045_1,143045,1,2.9361937033794385,False,1
106447_1,106447,1,3.0048042303316773,False,2
177184_1,177184,1,3.560066450793298,False,2
211369_1,211369,1,3.118096284249889,False,2
245285_1,245285,1,3.536964500422415,False,2
177248_1,177248,1,2.8641848621848838,False,2
211297_1,211297,1,4.755607025406224,False,2
245343_1,245343,1,3.63797744434505,False,2
177219_1,177219,1,5.830933735720128,False,2
72363_1,72363,1,3.576946458440053,False,2
72288_1,72288,1,3.435036616473706,False,2
245356_1,245356,1,5.172011110499129,False,2
143046_1,143046,1,1.8866125894110848,False,3
143046_2,143046,2,1.7083883260349761,False,1
37920_1,37920,1,3.0850837552153942,False,1
37903_1,37903,1,2.951427249140023,False,2
3755_1,3755,1,4.6666503975803915,False,2
143053_1,143053,1,3.4409956885460162,False,2
3816_1,3816,1,2.7164825401023127,False,2
211366_1,211366,1,2.9892312702267962,False,2
245287_1,245287,1,3.729926380827501,False,2
42492_1,42492,1,3.099085933947442,False,2
72362_1,72362,1,3.7535082677297393,False,2
72361_1,72361,1,3.315242795714099,False,2
177262_1,177262,1,2.802865630252584,False,1
72353_1,72353,1,5.248344760280028,False,2
245346_1,245346,1,4.025006960366748,False,2
177261_1,177261,1,3.6718705429802143,False,2
177252_1,177252,1,3.6709925107590218,False,2
143044_1,143044,1,3.081923657762766,False,2
143052_1,143052,1,3.48083345606286,False,2
3817_1,3817,1,4.968692021261558,False,2
143043_1,143043,1,2.6552849743395783,False,2
