CLUSTER_ID,REPAIR_COUNT,CNT_JNT,PIPE_TYPE,DISTANCE_M,IS_FREQUENT
9822.0,2.0,1,SPLY_LS,6.22752543596843,False
9877.0,3.0,3,PIPE_LM,6.892310116149098,False
10080.0,3.0,2,SPLY_LS,1.602065810601449,False
10229.0,2.0,2,SPLY_LS,8.136965311829712,False
10242.0,3.0,2,SPLY_LS,8.048429959038302,False
10265.0,3.0,2,PIPE_LM,6.07411470938897,False
10506.0,2.0,2,SPLY_LS,13.21160777958038,False
10524.0,2.0,1,SPLY_LS,6.125458382209455,False
10555.0,3.0,2,SPLY_LS,5.596745110092009,False
10616.0,3.0,1,SPLY_LS,8.897081979011855,False
10693.0,4.0,1,SPLY_LS,45.50082693642163,True
10716.0,2.0,3,PIPE_LM,9.472024148249066,False
10800.0,2.0,2,SPLY_LS,4.602987268959729,False
10824.0,2.0,2,SPLY_LS,6.8508920228742385,False
10854.0,2.0,4,PIPE_LM,9.26245035181692,False
10930.0,3.0,4,PIPE_LM,18.773379843022997,False
10970.0,2.0,2,SPLY_LS,11.126525362141903,False
11051.0,3.0,2,SPLY_LS,7.129410206424666,False
11064.0,3.0,2,SPLY_LS,8.090238479778446,False
11107.0,5.0,2,SPLY_LS,5.4557574251431635,True
11253.0,3.0,2,SPLY_LS,10.329907833136367,False
11282.0,3.0,1,SPLY_LS,10.141827886840911,False
11291.0,3.0,2,SPLY_LS,44.06463857344656,False
11318.0,2.0,1,SPLY_LS,8.175453930818607,False
11353.0,2.0,4,PIPE_LM,8.50984227262244,False
11447.0,2.0,4,PIPE_LM,14.656106202322388,False
11504.0,3.0,4,PIPE_LM,6.36287345115589,False
11585.0,2.0,3,SPLY_LS,5.129856156095779,False
11643.0,2.0,3,PIPE_LM,5.343331042384264,False
11677.0,3.0,3,PIPE_LM,25.91759032026913,False
11787.0,2.0,4,PIPE_LM,8.756063768628936,False
11798.0,2.0,2,SPLY_LS,9.097846213662745,False
11812.0,2.0,1,SPLY_LS,14.101185952198376,False
11850.0,3.0,2,SPLY_LS,5.942158343255992,False
11983.0,2.0,2,SPLY_LS,11.227748875039087,False
12108.0,3.0,1,SPLY_LS,9.556393529074857,False
12284.0,2.0,2,SPLY_LS,6.398264046064691,False
12295.0,3.0,4,PIPE_LM,41.15299329421355,False
12360.0,2.0,2,SPLY_LS,6.6300738757237045,False
12364.0,4.0,3,PIPE_LM,14.103885424699296,True
12445.0,2.0,3,PIPE_LM,7.596149239043417,False
12573.0,2.0,2,SPLY_LS,2.534950034611794,False
12833.0,3.0,4,PIPE_LM,6.727800974583282,False
12869.0,2.0,4,PIPE_LM,7.046541047266477,False
12970.0,2.0,1,SPLY_LS,9.964890355243199,False
13048.0,2.0,2,SPLY_LS,12.06536243033254,False
13117.0,2.0,2,SPLY_LS,6.835812283093419,False
13159.0,2.0,3,PIPE_LM,36.678473706363,False
13229.0,2.0,1,SPLY_LS,7.249292898718988,False
13300.0,3.0,1,SPLY_LS,9.22089431721172,False
13305.0,2.0,2,SPLY_LS,7.888586782143399,False
13478.0,2.0,2,SPLY_LS,5.710390459727396,False
13558.0,2.0,2,SPLY_LS,8.442334869813305,False
13733.0,3.0,4,PIPE_LM,22.06755283104553,False
