rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
116,Tj,장기층군,2,105892575.2298,52946287.6149,98082.71628240001,1,신생대 신진기~고진기(2),2,"부산, 안동"
117,Kjm,유천층군장목리층,8,101328029.7742188,12666003.72177735,171629.198002606,1,중생대 백악기(8),2,"광주, 부산"
118,Qtb(VIII),제4기 조면현무암(VIII),15,100225808.12985711,6681720.541990474,185839.37591335998,1,신생대 제4기(15),1,제주
119,PCEgd,갈두층,9,99203081.01041295,11022564.55671255,143000.50234244298,1,선캄브리아시대(9),1,목포
120,Ky1,경상누층군하양층군울연산층,5,96668175.30008401,19333635.060016803,138301.23437244998,1,중생대 백악기(5),1,안동
121,Qb(II),제4기 현무암(II),7,95060332.15097901,13580047.45013986,154478.17026543,1,신생대 제4기(7),1,제주
122,chgr,청산화강암,1,93799122.4243,93799122.4243,79647.6321334,1,고생대 페름기(1),1,대전
123,PCEccs,편암류,27,89135292.19142799,3301307.1182010365,277152.53004097,1,선캄브리아시대(27),2,"강릉, 서울"
124,Ksy,섬장암,8,88447307.60379681,11055913.450474601,104073.365093397,1,중생대 백악기(8),2,"목포, 부산"
125,Qtb(II),제4기 조면현무암(II),5,86220346.035079,17244069.2070158,138482.37773956,1,신생대 제4기(5),1,제주
126,Kc2,경상루층군초평층군중부초평층군,1,77904476.2077,77904476.2077,82389.449098,1,중생대 백악기(1),1,대전
127,PCEjbbgn,지리산편마암합체호상편마암,2,74227749.4673,37113874.73365,114889.0570377,1,선캄브리아시대(2),1,부산
128,Kygs,경상계층군 유천층군 고성층,16,72559331.96213773,4534958.247633608,115021.67467707301,1,중생대 백악기(16),1,여수
129,Knjs,진안층군사암및이암,22,71449987.687284,3247726.713058363,217302.68094758003,1,중생대 백악기(22),1,광주
130,Jn3,남포(대동)층군상부남포층군(성주리층),4,70397339.26376,17599334.81594,115618.86036631001,1,중생대 쥐라기(4),1,대전
131,Te1,연일층군하부연일층군,6,70124549.66539499,11687424.9442325,147514.82480224,1,신생대 신진기~고진기(6),2,"부산, 안동"
