rank,lithoidx,lithoname,count,total_area,avg_area,total_length,unique_ages,ages,map_count,maps
33,PCEsgrgn,소백산편마암복합체화강편,45,629707572.3270531,13993501.607267845,1013518.0373777299,1,선캄브리아시대(45),3,"광주, 대전, 부산"
34,PCEjmgn,지리산편마암합체미그마타이트질편마암,38,618316783.6447588,16271494.306441022,808101.6201368701,1,선캄브리아시대(38),4,"광주, 목포, 부산, 여수"
35,Ky5,경상누층군하양층군도계동층,7,595066088.271842,85009441.18169172,310260.44800488,1,중생대 백악기(7),1,안동
36,Ky3,경상누층군하양층군가송동층,17,570845060.966808,33579121.23334164,719496.5071173301,1,중생대 백악기(17),1,안동
37,Krt,"유천층군류문암,류문암질응회암",30,568964973.9851382,18965499.13283794,546230.34507527,1,중생대 백악기(30),1,부산
38,PCEkggn,경기편마암복합체화강암질편마암,12,564212696.409417,47017724.70078475,468590.10179394996,1,선캄브리아시대(12),1,대전
39,Kad,불국사 관입암류 산성암맥,197,558424124.1136515,2834640.223927165,1873541.97032113,2,"중생대 백악기(160), 중생대 쥐라기(37)",7,"광주, 남천점, 대전, 목포, 부산, 서울, 안동"
40,TRp3,평안층군상부평안층군,18,548248956.267666,30458275.348203667,444110.75578324,2,"시대 미상(11), 중생대 트라이아스기(7)",3,"강릉, 광주, 안동"
41,CEdls,하부대석회암층군,26,531348681.805372,20436487.761745077,982873.4905859501,1,고생대 캄브리아기(26),1,강릉
42,PCEjbgn,지리산편마암복합체흑운모,54,518633010.4678186,9604315.008663308,834638.123568219,1,선캄브리아시대(54),4,"광주, 목포, 부산, 여수"
43,Jdi,섬록암,83,517029224.2259425,6229267.761758343,914702.15246641,1,중생대 쥐라기(83),7,"강릉, 광주, 대전, 부산, 서울, 속초, 안동"
44,Pp2,중부평안층군,68,494818380.15197146,7276740.884587816,1234041.3347405072,1,고생대 페름기(68),5,"강릉, 광주, 목포, 안동, 여수"
45,PCEmgn,미그마타이트질 편마암,10,487842868.275634,48784286.8275634,548315.5008360702,1,선캄브리아시대(10),2,"강릉, 안동"
46,TRpgr,반상화강암,14,471158015.6662621,33654143.97616158,495026.46757197,1,중생대 트라이아스기(14),2,"광주, 부산"
47,Cp1,평안층군하부평안층군,111,464225301.01023316,4182209.9190111095,1591679.41984921,2,"고생대 석탄기(100), 고생대 페름기~석탄기(11)",5,"강릉, 광주, 목포, 안동, 여수"
48,TRfgr,엽리상화강암,23,417860454.705003,18167845.85673926,630453.66108491,1,중생대 트라이아스기(23),2,"광주, 부산"
49,Qb(III),제4기 현무암(III),20,417639414.87016475,20881970.74350824,579267.4907896589,1,신생대 제4기(20),1,제주
50,og3,옥천층군 함역천매암대,40,411793708.3574261,10294842.708935652,812597.90039432,1,시대 미상(40),3,"강릉, 대전, 안동"
51,Qtb(III),제4기 조면현무암(III),23,398302525.59733844,17317501.112927757,604623.716880973,1,신생대 제4기(23),1,제주
52,PCEw,원남층군,12,391827468.463109,32652289.038592417,439274.51462639007,1,선캄브리아시대(12),2,"강릉, 안동"
53,PCEs,옥천대 편암류,66,382998263.54064405,5803003.993040062,846885.6182121132,1,선캄브리아시대(66),4,"광주, 목포, 안동, 진남포"
54,PCEjggn,지리산편마암합체화강암질편마암,14,380934357.13071,27209596.937907856,574285.8169793199,1,선캄브리아시대(14),3,"광주, 부산, 여수"
55,PCEbgrgn,분천 화강편마암,3,368664483.765962,122888161.25532067,266024.34704225004,1,선캄브리아시대(3),1,강릉
56,Ke4,경상누층군하양층군일직층,10,353544466.09622204,35354446.6096222,370327.74773204,1,중생대 백악기(10),1,안동
57,PCEycs,연천층군 편암류,9,353435572.56601703,39270619.174001895,302174.80284008,1,선캄브리아시대(9),1,남천점
58,PCEpgn,반상변정질편마암,67,352259985.87318766,5257611.729450562,672395.170192354,1,선캄브리아시대(67),3,"강릉, 서울, 안동"
59,Ke6,경상누층군하양층군점곡층,4,333805182.797904,83451295.699476,214426.11524001003,1,중생대 백악기(4),1,안동
60,Km4,하양층군칠곡층,13,325718936.2643271,25055302.789563622,448017.825397824,1,중생대 백악기(13),2,"부산, 여수"
61,Kjk,유천층군정각산층,29,317119283.776012,10935147.716414208,485142.72560531006,1,중생대 백악기(29),1,부산
62,Ke5,경상누층군하양층군후평동층,4,306657107.832393,76664276.95809825,266363.29433388,1,중생대 백악기(4),1,안동
63,PCEkpgn,반상변정질편마암,11,293929872.380336,26720897.489121452,268374.53908432997,1,선캄브리아시대(11),2,"강릉, 속초"
64,Tgr,화강암,19,284101036.115779,14952686.11135679,339266.27205272997,1,신생대 신진기~고진기(19),1,부산
65,Tav,산성화산암류,12,281604922.236956,23467076.853079665,295177.11506673,1,신생대 신진기~고진기(12),2,"부산, 안동"
66,PCEsggn,소백산편마암합체화강암질편마암,5,277590675.2626,55518135.05252,202979.83305,1,선캄브리아시대(5),2,"광주, 부산"
67,PCEkmgn,서산층군 경기변성암복합체 미그마타이트질편마암,7,272537112.01292,38933873.14470286,254027.36420302,1,선캄브리아시대(7),3,"강릉, 남천점, 서울"
68,PCEhgr,홍제사 화강암,1,268671190.96,268671190.96,202442.140049,1,선캄브리아시대(1),1,강릉
69,Ke7,경상누층군하양층군사곡층,3,266675447.6258,88891815.87526667,223702.33522819998,1,중생대 백악기(3),1,안동
70,PCEccgn,편마암류,12,255225356.30851802,21268779.6923765,369830.77873441007,1,선캄브리아시대(12),2,"강릉, 서울"
71,Ols1,조선누층군중부대석회암층군,14,248825038.60482404,17773217.04320172,320269.8783885199,1,고생대 오르도비스기(14),1,안동
72,Ojls,정선형 조선누층군,7,241102047.6093713,34443149.65848161,336835.26593281,1,고생대 오르도비스기(7),1,강릉
73,PCEklgn,우백질편마암,53,240746894.647121,4542394.238624925,576673.06860288,1,선캄브리아시대(53),2,"강릉, 서울"
74,ls,소백산편마암복합체 원남층군,181,237855662.25082612,1314119.6809437908,1144107.84402543,2,"선캄브리아시대(110), 시대 미상(71)",6,"강릉, 광주, 남천점, 대전, 서울, 안동"
