그룹,개수,CNT_JNT 평균,CNT_JNT 중앙값,CNT_JNT 표준편차
빈번한 재작업 (≥4회),10,1.8,2.0,0.42163702135578396
일반 재작업 (<4회),241,2.190871369294606,2.0,0.8495585054712441
