cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,작업타입_패턴,구군,대표_주소
8888,3,311.5,82,541,2011-01-11 ~ 2012-09-26,지상누수 → 지상누수 → 지상누수,서구,서구 달서천로49안길 9-8 (비산동) / 1283-2
11242,2,3110.0,3110,3110,2012-12-10 ~ 2021-06-16,지상누수 → 지하누수,동구,동구 방촌로1길 95-8 (방촌동) / 934-29번지
19878,3,3110.0,3110,3110,2011-02-16 ~ 2019-08-23,기타공사 → 지하누수 → 지하누수,동구,"동구 아양로 59, 한방가마솥국밥 (신암동) / 603"
18182,2,3111.0,3111,3111,2010-09-06 ~ 2019-03-15,기타공사 → 지하누수,남구,남구 현충로7길 55-2 (대명동) / 648-9번지
12101,2,3112.0,3112,3112,2012-12-27 ~ 2021-07-05,지상누수 → 지하누수,달성군,달성군 화원읍  구라2길 35-2 / 구라리 988번지
925,3,3112.0,3112,3112,2012-02-11 ~ 2020-08-20,기타공사 → 지상누수 → 지상누수,달서구,달서구 상화북로43길 47 (상인동) / 1535-5번
1489,2,3113.0,3113,3113,2010-12-09 ~ 2019-06-18,기타공사 → 지상누수,달서구,달서구 새동네로 97 (용산동) / 444-17번지
11658,2,3113.0,3113,3113,2013-02-15 ~ 2021-08-25,지상누수 → 지상누수,달성군,달성군 현풍면  현풍로14길 11-2 / 중리 216-
2638,2,3114.0,3114,3114,2013-01-15 ~ 2021-07-26,지상누수 → 지상누수,북구,북구 조야로10길 31 (조야동) / 84번지
7404,2,3114.0,3114,3114,2009-05-11 ~ 2017-11-20,지상누수 → 지상누수,수성구,수성구 상화로 46 (상동) / 313번지
16484,2,3115.0,3115,3115,2009-07-06 ~ 2018-01-15,기타공사 → 지상누수,수성구,수성구 시지로 46 (시지동)
21961,2,3115.0,3115,3115,2010-04-05 ~ 2018-10-16,기타공사 → 지하누수,중구,"중구 공평로8길 11, 잡어한다라이 (삼덕동2가) / "
15035,2,3117.0,3117,3117,2007-06-12 ~ 2015-12-24,지하누수 → 지상누수,달서구,달서구 파도고개로11길 17 (두류동) / 781-22
11254,2,3119.0,3119,3119,2012-11-04 ~ 2021-05-21,지상누수 → 지상누수,서구,서구 국채보상로81길 18-5 (비산동) / 409-2
15328,2,312.0,312,312,2016-03-25 ~ 2017-02-01,지상누수 → 지상누수,북구,북구 매천로동17길 9-12 (매천동) / 477-8번
1828,2,312.0,312,312,2020-08-24 ~ 2021-07-03,지하누수 → 지상누수,북구,북구 산격동 875-27
18990,2,312.0,312,312,2011-08-22 ~ 2012-06-29,지하누수 → 기타공사,달성군,달성군 가창면  가창로 1011-11 / 용계리 529
6180,3,312.5,58,567,2007-12-04 ~ 2009-08-21,지상누수 → 지상누수 → 기타공사,달서구,달서구 월배로84안길 8-1 (송현동) / 219-2번
9553,7,312.7,78,830,2010-01-01 ~ 2015-02-23,기타공사 → 지상누수 → 지상누수 → 지상누수 → 기타공사,달성군,달성군 다사읍  다사로97길 20-6 / 달천리 66번
7512,2,3120.0,3120,3120,2009-06-03 ~ 2017-12-18,지상누수 → 지상누수,수성구,수성구 청수로38길 71 (지산동) / 981-13번지
20535,2,3121.0,3121,3121,2008-12-26 ~ 2017-07-13,기타공사 → 지하누수,북구,북구 침산남로44길 45-4 (침산동) / 100-3번
987,2,3122.0,3122,3122,2011-09-20 ~ 2020-04-07,지하누수 → 지상누수,동구,동구 아양로52길 78-2 (효목동) / 131-2번지
22054,2,3124.0,3124,3124,2012-06-19 ~ 2021-01-07,기타공사 → 기타공사,수성구,수성구 수성로 328 (수성동2가) / 258-2번지
7711,2,3125.0,3125,3125,2008-11-24 ~ 2017-06-15,지상누수 → 지상누수,수성구,수성구 수성로74길 11-8 (수성동2가) / 124-
8077,2,3127.0,3127,3127,2009-03-26 ~ 2017-10-18,지상누수 → 지하누수,동구,동구 송라로16길 81-23 (신천동) / 35-6번지
12033,2,3129.0,3129,3129,2013-06-02 ~ 2021-12-27,지상누수 → 지상누수,수성구,수성구 들안로19길 69 (상동) / 46-14번지
5780,7,313.0,12,819,2010-10-06 ~ 2015-01-19,기타공사 → 지상누수 → 지상누수 → 지상누수 → 지상누수,서구,서구 통학로 176-25 (평리동) / 857번지
15435,2,313.0,313,313,2016-02-18 ~ 2016-12-28,지상누수 → 기타공사,달성군,달성군 가창면  가창로123길 56 / 대일리 474-
444,2,313.0,313,313,2018-12-06 ~ 2019-10-16,지상누수 → 지상누수,동구,동구 효신로5길 86-2 (신천동) / 433-2번지
8246,4,313.3,182,381,2007-07-05 ~ 2010-02-02,지하누수 → 지하누수 → 지하누수 → 지상누수,달성군,달성군 다사읍  서재로14길 30 / 서재리 374번지
16709,3,313.5,293,334,2016-05-26 ~ 2018-02-12,지하누수 → 지하누수 → 지상누수,북구,북구 노원동2가 164-2
22665,2,3131.0,3131,3131,2012-06-19 ~ 2021-01-15,기타공사 → 기타공사,달서구,달서구 송현동5길 16 (송현동) / 543-4번지
18708,2,3131.0,3131,3131,2013-11-16 ~ 2022-06-14,기타공사 → 지하누수,달서구,달서구 장기로22안길 53-2 (성당동) / 706-2
18764,3,3132.0,3132,3132,2009-09-17 ~ 2018-04-16,지하누수 → 지하누수 → 지하누수,달서구,달서구 송현로30길 12-19 (송현동) / 1901-
2887,2,3132.0,3132,3132,2010-09-10 ~ 2019-04-09,지상누수 → 지상누수,북구,북구 고성동1가 84-9
4313,3,3133.0,3133,3133,2010-06-07 ~ 2019-01-05,지상누수 → 지상누수 → 지상누수,북구,"북구 노원로42길 25-2, 우신정공 (침산동) / 1"
28,2,3134.0,3134,3134,2012-03-21 ~ 2020-10-19,기타공사 → 지상누수,서구,서구 국채보상로60길 36 (평리동) / 1117-5번
21081,2,3134.0,3134,3134,2009-03-12 ~ 2017-10-10,지하누수 → 지하누수,수성구,수성구 공경로5길 34-3 (만촌동) / 653-5번지
374,2,3134.0,3134,3134,2011-02-22 ~ 2019-09-23,지상누수 → 지상누수,동구,"동구 둔산로2길 27-1, 402    402호 (신평"
15329,2,3134.0,3134,3134,2007-09-07 ~ 2016-04-07,지하누수 → 지상누수,달서구,달서구 상인로26안길 42 (상인동) / 1536-8번
15192,3,3135.0,3135,3135,2007-11-20 ~ 2016-06-20,지하누수 → 지상누수 → 지하누수,남구,남구 이천로7길 7-2 (봉덕동) / 686-83번지
18014,2,3135.0,3135,3135,2010-03-02 ~ 2018-10-02,지하누수 → 지하누수,남구,"남구 대덕로38길 7, (대덕남3-7) (봉덕동) / "
9492,2,3136.0,3136,3136,2010-05-30 ~ 2018-12-31,지상누수 → 지상누수,달서구,"달서구 호산로27길 12, 2층 피부미용실 (파호동) "
2845,2,3139.0,3139,3139,2011-03-31 ~ 2019-11-04,지상누수 → 지상누수,서구,서구 통학로30길 9-8 (평리동) / 1058-15번
7083,2,314.0,314,314,2008-06-23 ~ 2009-05-04,지상누수 → 기타공사,남구,남구 앞산순환로81길 24-5 (대명동) / 566-2
8484,3,314.0,85,543,2009-11-03 ~ 2011-07-26,지상누수 → 지상누수 → 지하누수,북구,북구 장태실2길 43-25 (팔달동) / 284-5번지
9399,2,314.0,314,314,2010-06-25 ~ 2011-05-05,지상누수 → 지상누수,서구,"서구 북비산로75길 18-7, 북구 법얼궁 (비산동) "
22344,4,314.3,158,485,2009-07-02 ~ 2012-02-02,기타공사 → 기타공사 → 기타공사 → 기타공사,달서구,달서구 조암로6길 55 (월성동) / 755번지
9592,5,314.5,2,972,2010-09-14 ~ 2014-02-25,지하누수 → 지상누수 → 지하누수 → 지하누수 → 지하누수,달성군,달성군 현풍면  현풍서로71길 34-9 / 오산리 60
2366,3,314.5,0,629,2020-03-31 ~ 2021-12-21,지하누수 → 기타공사 → 지상누수,달성군,달성군 하빈면 하산리 988-3
5690,8,314.7,29,995,2008-01-05 ~ 2014-01-20,지상누수 → 지상누수 → 지상누수 → 기타공사 → 지상누수,달성군,달성군 다사읍  달구벌대로92길 68 / 문산리 372
9055,5,314.8,13,1210,2010-07-06 ~ 2013-12-18,지상누수 → 지상누수 → 지하누수 → 지상누수 → 지하누수,서구,"서구 서대구로 295, 영광시트 (비산동) / 2008"
15006,2,3142.0,3142,3142,2007-06-19 ~ 2016-01-25,지하누수 → 지상누수,달서구,달서구 장기로 79 (성당동) / 636-2번지
504,2,3143.0,3143,3143,2011-04-04 ~ 2019-11-11,지상누수 → 지상누수,달성군,달성군 화원읍  명천로27길 32
7679,2,3143.0,3143,3143,2009-11-25 ~ 2018-07-05,지상누수 → 지하누수,달성군,달성군 화원읍  명천로 194 / 명곡리 127-9번지
1159,2,3144.0,3144,3144,2011-03-16 ~ 2019-10-24,지하누수 → 지상누수,수성구,수성구 무학로11길 7-24 (상동) / 411-8번지
22012,2,3144.0,3144,3144,2012-06-14 ~ 2021-01-22,지하누수 → 기타공사,중구,"중구 중앙대로 314 (남산동,베드로악기사) / 697"
8354,2,3146.0,3146,3146,2009-12-29 ~ 2018-08-11,지상누수 → 기타공사,서구,서구 달서천로41안길 18 (비산동) / 904-1번지
18757,2,3147.0,3147,3147,2011-05-02 ~ 2019-12-13,기타공사 → 지하누수,달서구,달서구 구마로52안길 36 (송현동) / 123-1번지
1223,2,3148.0,3148,3148,2011-02-12 ~ 2019-09-26,지상누수 → 지상누수,서구,서구 서대구로68길 29-8 (비산동) / 1208-4
19804,2,3149.0,3149,3149,2011-09-06 ~ 2020-04-20,지하누수 → 지하누수,동구,동구 팔공로32길 5-2 (불로동) / 382-15번지
11531,2,3149.0,3149,3149,2012-10-12 ~ 2021-05-27,지상누수 → 지하누수,남구,남구 골안길 113-2 (대명동) / 1537-9번지
7406,2,3149.0,3149,3149,2008-07-14 ~ 2017-02-27,지상누수 → 지상누수,달서구,달서구 조암남로 93 (월성동) / 1396-7번지
15630,2,3149.0,3149,3149,2008-05-21 ~ 2017-01-03,지하누수 → 지상누수,수성구,수성구 신천동로84길 48-2 (수성동4가) / 121
18591,4,315.0,71,617,2018-07-31 ~ 2021-03-03,기타공사 → 지하누수 → 지하누수 → 기타공사,달서구,달서구 본리동 380-4
16241,2,315.0,315,315,2017-11-08 ~ 2018-09-19,지상누수 → 지상누수,서구,"서구 통학로16길 45-5, 통6반 (비산동) / 29"
1898,2,315.0,315,315,2020-05-27 ~ 2021-04-08,지상누수 → 지상누수,동구,동구 신덕로2길 13 (용계동) / 291번지
19044,2,315.0,315,315,2016-10-12 ~ 2017-08-24,지하누수 → 지하누수,달성군,달성군 구지면 유산리 290-2
2805,2,315.0,315,315,2018-09-17 ~ 2019-07-29,지하누수 → 지상누수,달성군,달성군 하빈면 현내리 62-1
19119,2,315.0,315,315,2021-01-25 ~ 2021-12-07,지하누수 → 지하누수,달성군,달성군 논공읍 북리 803-83
15177,2,315.0,315,315,2016-02-22 ~ 2017-01-03,지상누수 → 지상누수,동구,동구 팔공산로9길 15 (덕곡동) / 131-3번지
3551,13,315.2,15,1104,2009-05-04 ~ 2017-02-13,지상누수 → 기타공사 → 지하누수 → 기타공사 → 지하누수,남구,"남구 대명로20길 56, 세탁소 (대명동) / 1040"
12957,3,315.5,160,471,2012-08-17 ~ 2014-05-11,지하누수 → 지상누수 → 기타공사,동구,동구 동부로34길 10 (신천동) / 425-1번지
9784,3,315.5,196,435,2010-11-04 ~ 2012-07-27,지상누수 → 기타공사 → 기타공사,달성군,달성군 논공읍  논공로24길 27-10
21558,2,3150.0,3150,3150,2008-07-17 ~ 2017-03-02,지하누수 → 기타공사,수성구,수성구 청호로57길 65 (황금동) / 395-7번지
536,2,3150.0,3150,3150,2010-04-12 ~ 2018-11-27,지하누수 → 지상누수,남구,남구 중앙대로31길 138-8 (대명동) / 1818-
16559,2,3151.0,3151,3151,2009-05-13 ~ 2017-12-29,기타공사 → 지상누수,수성구,"수성구 수성못2길 15, 충무통발아나고 (두산동) / "
17539,2,3151.0,3151,3151,2013-02-20 ~ 2021-10-07,지하누수 → 지상누수,중구,중구 중앙대로61길 49-16 (남산동) / 217-2
8998,2,3152.0,3152,3152,2010-07-27 ~ 2019-03-14,지상누수 → 지하누수,수성구,수성구 신천동로22길 14-1 (상동) / 147-4번
7024,2,3152.0,3152,3152,2008-12-26 ~ 2017-08-14,지상누수 → 지하누수,달성군,달성군 옥포면  시저로6길 8-3
17908,2,3152.0,3152,3152,2012-12-26 ~ 2021-08-13,기타공사 → 지상누수,달서구,"달서구 선원로 63-1 (신당동,금수강산숯불갈비) / "
7420,2,3153.0,3153,3153,2008-11-29 ~ 2017-07-19,지상누수 → 지하누수,달성군,달성군 하빈면  하빈로90길 9-2 / 현내리 492번
6706,2,3154.0,3154,3154,2008-11-01 ~ 2017-06-22,지상누수 → 지상누수,수성구,수성구 동대구로57길 13-8 (범어동) / 785-2
22696,2,3154.0,3154,3154,2013-06-23 ~ 2022-02-11,기타공사 → 기타공사,달서구,"달서구 성서로 229 (갈산동,신한산기(주)) / 97"
17391,2,3156.0,3156,3156,2012-07-17 ~ 2021-03-08,지하누수 → 지상누수,북구,북구 칠성로 101-23 (칠성동2가) / 410-13
17214,2,3157.0,3157,3157,2013-11-14 ~ 2022-07-07,지하누수 → 지상누수,남구,남구 관문시장5길 26-2 (대명동) / 1168-2번
17017,2,3157.0,3157,3157,2009-11-03 ~ 2018-06-27,지하누수 → 지상누수,달서구,달서구 선원로15길 59 (신당동) / 1685번지
4975,3,3158.0,3158,3158,2009-03-09 ~ 2017-11-01,지하누수 → 지상누수 → 지상누수,달성군,달성군 화원읍 설화리 781-3
11973,2,3158.0,3158,3158,2013-02-03 ~ 2021-09-28,지상누수 → 지하누수,남구,"남구 명덕로14길 32 (대명동,소박사식육점) / 22"
11819,2,3159.0,3159,3159,2012-08-07 ~ 2021-04-01,지상누수 → 지상누수,중구,중구 큰장로28길 38 (대신동) / 115-346번지
11835,2,3159.0,3159,3159,2012-12-22 ~ 2021-08-17,지상누수 → 지상누수,달서구,달서구 파도고개로14길 3 (두류동) / 1272-18
4332,3,316.0,316,316,2009-11-22 ~ 2010-10-04,지상누수 → 지상누수 → 지상누수,북구,북구 중앙대로 515-4 (칠성동2가) / 343-19
16305,2,316.0,316,316,2018-05-21 ~ 2019-04-03,지상누수 → 기타공사,달서구,달서구 야외음악당로 64 (성당동) / 489-1번지
10141,2,316.0,316,316,2011-03-30 ~ 2012-02-10,지상누수 → 기타공사,동구,동구 율하동로26길 7 (신기동) / 197-10번지
22672,3,316.0,56,576,2012-09-10 ~ 2014-06-05,기타공사 → 기타공사 → 기타공사,수성구,"수성구 수성로51길 6 (수성동1가,화성식당) / 52"
21715,2,316.0,316,316,2021-01-19 ~ 2021-12-02,기타공사 → 지하누수,중구,중구 남산동 2622-10 랜드하이츠
16159,3,316.0,68,564,2017-06-28 ~ 2019-03-24,지상누수 → 지하누수 → 지하누수,달서구,달서구 성서로72길 81-12 (이곡동) / 1000-
19753,2,316.0,316,316,2018-05-15 ~ 2019-03-27,지하누수 → 지하누수,동구,동구 방촌동 1020-37
12049,2,316.0,316,316,2012-06-29 ~ 2013-05-11,기타공사 → 지상누수,남구,"남구 영선길 65 (대명동,동우빌라) / 2014-85"
4419,11,316.3,9,914,2007-09-01 ~ 2013-09-26,지하누수 → 지하누수 → 지하누수 → 지하누수 → 지하누수,남구,남구 자유6길 50 (대명동) / 460-46번지
9915,4,316.7,3,569,2011-03-02 ~ 2013-10-10,지상누수 → 기타공사 → 지하누수 → 기타공사,서구,서구 달서천로61길 16-1 (비산동) / 1019-1
5597,3,3160.0,3160,3160,2013-03-11 ~ 2021-11-04,지상누수 → 지상누수 → 지상누수,서구,서구 서대구로 227 (평리동) / 530-9번지
11724,2,3160.0,3160,3160,2013-06-17 ~ 2022-02-10,지상누수 → 지하누수,북구,북구 노원로23길 17-15 (노원동3가) / 157번
21584,2,3160.0,3160,3160,2009-03-30 ~ 2017-11-23,기타공사 → 지하누수,수성구,수성구 파동로32길 185-1 (파동) / 693-8번
20554,2,3161.0,3161,3161,2011-12-28 ~ 2020-08-24,기타공사 → 지하누수,북구,"북구 성북로5길 18-2, 대성윤활유 (침산동) / 5"
16707,2,3162.0,3162,3162,2009-06-23 ~ 2018-02-19,지하누수 → 지상누수,달서구,달서구 월배로84길 35-8 (송현동) / 2001-4
17302,3,3162.0,3162,3162,2013-07-04 ~ 2022-03-02,지하누수 → 지상누수 → 지하누수,달성군,달성군 화원읍  명천로17길 82 / 천내리 663-4
22634,2,3162.0,3162,3162,2011-11-25 ~ 2020-07-22,기타공사 → 기타공사,동구,동구 신기동 156-7 앞
17064,2,3163.0,3163,3163,2010-06-01 ~ 2019-01-28,지하누수 → 지상누수,중구,"중구 달구벌대로 1987-3, (06.12.27급수중지"
2038,2,3163.0,3163,3163,2012-08-27 ~ 2021-04-26,지상누수 → 지상누수,서구,"서구 고성로 71 (원대동3가,리바트원대전시장) / 1"
19813,2,3164.0,3164,3164,2008-04-02 ~ 2016-11-30,지하누수 → 지하누수,동구,동구 송라로12길 11 (신천동) / 276-19번지
401,2,3166.0,3166,3166,2010-04-19 ~ 2018-12-19,지하누수 → 지상누수,남구,남구 자유길 68 (대명동) / 375-2번지
7629,2,3167.0,3167,3167,2009-04-11 ~ 2017-12-12,지상누수 → 지상누수,달서구,달서구 두류1길 24-1 (두류동) / 1209-20번
1402,2,3167.0,3167,3167,2010-12-06 ~ 2019-08-08,기타공사 → 지상누수,달성군,달성군 논공읍  논공로17길 6-9
2962,2,3168.0,3168,3168,2010-12-16 ~ 2019-08-19,지상누수 → 지상누수,북구,북구 대현로21길 65 (대현동) / 223-2번지
18647,3,3169.0,3169,3169,2010-11-10 ~ 2019-07-15,기타공사 → 지하누수 → 지하누수,달서구,달서구 월배로32길 54 (상인동) / 344-21번지
7384,2,3169.0,3169,3169,2008-05-15 ~ 2017-01-17,지상누수 → 지상누수,남구,남구 삼정안길 12-5 (봉덕동) / 1373-5번지
8090,2,317.0,317,317,2009-01-05 ~ 2009-11-19,기타공사 → 지상누수,달성군,달성군 구지면 내리 303
22278,2,317.0,317,317,2009-01-28 ~ 2009-12-11,기타공사 → 기타공사,수성구,수성구 범물동
11977,2,317.0,317,317,2012-07-25 ~ 2013-06-07,지하누수 → 지상누수,남구,남구 계명4길 11-6 (대명동) / 2250-12번지
16626,2,317.0,317,317,2018-05-14 ~ 2019-03-28,지상누수 → 지하누수,북구,북구 산격로14길 20 (산격동) / 1406-1번지
12740,3,317.0,47,587,2013-12-11 ~ 2015-09-07,기타공사 → 지상누수 → 지상누수,서구,서구 통학로51길 47 (평리동) / 477-2번지
20652,2,317.0,317,317,2012-06-11 ~ 2013-04-25,지하누수 → 지하누수,서구,서구 국채보상로65길 3-9 (평리동) / 1052-4
14974,2,317.0,317,317,2016-01-26 ~ 2016-12-08,지상누수 → 지상누수,달서구,달서구 장기로22안길 35 (성당동) / 706-7번지
164,2,317.0,317,317,2021-01-14 ~ 2021-11-27,지상누수 → 지상누수,북구,북구 침산남로서9길 28-10 (침산동) / 1428-
12014,2,317.0,317,317,2013-02-02 ~ 2013-12-17,지상누수 → 지상누수,수성구,수성구 수성로52안길 3-12 (중동) / 24-8번지
8917,4,317.3,32,871,2010-08-12 ~ 2013-03-22,지하누수 → 지상누수 → 지상누수 → 기타공사,수성구,"수성구 무학로11길 76, 남선윈다트 (상동) / 38"
14745,2,3170.0,3170,3170,2007-10-18 ~ 2016-06-22,지하누수 → 지상누수,수성구,수성구 국채보상로205길 15 (만촌동) / 660-1
21803,3,3170.0,3170,3170,2012-09-21 ~ 2021-05-27,지하누수 → 지하누수 → 지하누수,중구,"중구 동덕로8길 52 (대봉동,메츄리미용실) / 31-"
6711,2,3170.0,3170,3170,2009-01-06 ~ 2017-09-12,지상누수 → 지상누수,수성구,수성구 무학로 157-18 (지산동) / 1065-62
12061,2,3170.0,3170,3170,2013-01-02 ~ 2021-09-08,지상누수 → 지상누수,달성군,달성군 현풍면  비슬로 581 / 원교리 161번지
743,2,3170.0,3170,3170,2011-11-01 ~ 2020-07-06,지하누수 → 지상누수,서구,서구 가르뱅이로9길 16-16 (상리동) / 245-1
7136,2,3171.0,3171,3171,2008-09-18 ~ 2017-05-25,지상누수 → 지하누수,달서구,달서구 상화로7길 34 (진천동) / 715번지
21724,3,3171.0,3171,3171,2010-08-18 ~ 2019-04-25,기타공사 → 지하누수 → 지하누수,중구,중구 달구벌대로414길 33 (남산동) / 570-3번
8815,2,3172.0,3172,3172,2009-12-14 ~ 2018-08-22,지상누수 → 기타공사,수성구,"수성구 동대구로 157, 다래부페 (황금동) / 781"
21221,2,3172.0,3172,3172,2007-10-15 ~ 2016-06-21,지하누수 → 지하누수,수성구,수성구 화랑로2길 8-2 (만촌동) / 416-7번지
16830,2,3173.0,3173,3173,2009-08-25 ~ 2018-05-03,지하누수 → 지상누수,서구,서구 달서로42길 11 (비산동) / 37-25번지
18003,2,3174.0,3174,3174,2009-04-27 ~ 2018-01-05,지하누수 → 지하누수,남구,남구 대경2길 6-8 (대명동) / 3027-111번지
11434,2,3175.0,3175,3175,2012-09-03 ~ 2021-05-14,지상누수 → 지상누수,동구,동구 옻골로20길 42-1 (둔산동) / 153번지
17414,2,3175.0,3175,3175,2012-09-19 ~ 2021-05-31,지하누수 → 지상누수,동구,동구 경안로109길 8 (동호동) / 69번지
