지시번호,접수번호,공사일자,위치,유형,공사개요,계,도급액,관급자재,도로복구비,건강보험,연금보험,산재보험,고용보험,요양보험,퇴직공제,보험료 (원),"산업안전
보건관리비",관경,관종,부위,원인,누수량,중구역,소구역,살수량,계.1,사용료,물이용부담금,GIS 등록,비고,작업일시,위도,경도
13,20230104-0322,01-04,동구 신암동 252-17,지상공도,D80*20mm 분기점 누수수선,"194,110 ","194,110 ",0 ,0 ,"1,940 ","2,490 ","2,340 ",640 ,230 ,"1,270 ",610,0,20.0,부분기대,부분기대,노후,0.63,212.0,20,,0 ,0 ,0 ,등록,,2023-01-04,35.8838523,128.6272154
16,20230105-0242,01-05,동구 효목동 379-1,지하사유지,D13mm 인입선 누수수선,"1,404,960 ","1,404,960 ",0 ,0 ,"16,180 ","20,830 ","19,590 ","5,350 ","1,980 ","10,650 ","4,330",0,15.0,스텐레스관,이형관,노후,13.2,223.0,37,0.3,401 ,354 ,47 ,미등록,폐아 0.6,2023-01-05,35.8797175,128.6360681
20,20230106-0008,01-06,동구 신천동 156-4,지상사유지,D13mm 계량기실 누수 수선,"113,770 ","113,770 ",0 ,0 ,700 ,900 ,850 ,230 ,80 ,460 ,380,0,15.0,계량기보호통(실),연결부,노후,,221.0,49,,,,,미등록,,2023-01-06,35.8715576,128.6233327
38,20230113-0004,01-13,동구 효목동 49-8,지하공도,D50*13mm 분기점 누수수선,"1,371,460 ","1,371,460 ",0 ,0 ,"17,210 ","22,160 ","20,850 ","5,690 ","2,110 ","11,330 ","4,120",0,15.0,PFP관,이형관,노후,34.32,213.0,24,0.2,267 ,236 ,31 ,등록,폐아 0.71,2023-01-13,35.8828005,128.6393506
39,20230113-0005,01-13,동구 동호동 94-14,지하공도,"D80x13,25mm 분기점 누수수선","2,086,550 ","2,086,550 ",0 ,0 ,"24,630 ","31,710 ","29,830 ","8,140 ","3,020 ","16,210 ","6,390",0,25.0,부분기대,부분기대,노후,268.32,233.0,257,0.3,401 ,354 ,47 ,등록,폐아 0.7,2023-01-13,35.8699292,128.7130109
55,20230121-0006,01-21,동구 둔산동 979,지상공도,D25X13mm 분기점 누수수선,"1,251,190 ","1,251,190 ",0 ,0 ,"15,980 ","20,580 ","19,350 ","5,280 ","1,960 ","10,510 ","3,760",0,15.0,스텐레스관,이형관,노후,0.11,226.0,95,0.1,134 ,118 ,16 ,등록,폐콘 0.5,2023-01-21,35.8988737,128.6727215
62,20230125-0769,01-25,동구 신천동 387-6,지하공도,D25x13 분기점 누수 수선,"1,701,050 ","1,701,050 ",0 ,0 ,"23,880 ","30,740 ","28,920 ","7,890 ","2,930 ","15,710 ","4,970",0,15.0,부분기대,부분기대,노후,138,222.0,34,0.3,401 ,354 ,47 ,등록,폐아 0.8톤,2023-01-25,35.8769156,128.6303847
72,20230126-0397,01-26,동구 검사동 1056,지하사유지,D13mm 계량기 보호통 교체,"721,960 ","626,360 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","1,870",0,15.0,계량기보호통(실),계량기보호통,노후,68.64,226.0,102,,0 ,0 ,0 ,미등록,폐콘 0.1,2023-01-26,35.8933216,128.6670295
78,20230127-0036,01-27,동구 상매동 168-3,지상공도,D32 접합부 누수 수선(매달린 관),"315,570 ","315,570 ",0 ,0 ,900 ,"1,170 ","1,100 ",300 ,110 ,590 ,"1,120",0,32.0,스텐레스관,직관,접합부이완,2.64,230.0,201,0.0,0 ,0 ,0 ,등록,,2023-01-27,35.906066,128.7137533
79,20230127-0058,01-27,동구 신암동 134-7,기타,D100mm 유량계 이설,"26,966,000 ","11,221,000 ","15,745,000 ",0 ,"149,140 ","192,030 ","180,630 ","49,300 ","18,290 ","98,150 ","33,640",0,,,,,,209.0,1,0.9,"1,203 ","1,062 ",141 ,미등록,,2023-01-27,35.8884122,128.6297392
86,20230127-0139,01-27,동구 도동 453-3,지하미누수,터파기 결과 미누수,"1,333,670 ","1,333,670 ",0 ,0 ,"17,960 ","23,120 ","21,750 ","5,930 ","2,200 ","11,820 ","3,930",0,,,,,,206.0,72,0.1,134 ,118 ,16 ,미등록,폐아 0.6톤,2023-01-27,35.9202511,128.661724
105,20230130-0417,01-30,동구 방촌동 1113-204,지상공도,D80x13mm 분기점 누수수선&D13mm 계량기 보호통 교체,"2,325,530 ","2,229,930 ","95,600 ",0 ,"31,030 ","39,950 ","37,580 ","10,250 ","3,800 ","20,420 ","6,530",0,15.0,부분기대,부분기대,노후,0,227.0,138,0.2,267 ,236 ,31 ,등록,"폐콘 0.21, 폐아 0.71",2023-01-30,35.8776455,128.6707511
110,20230130-0680,01-30,동구 방촌동 1044-71,지상사유지,D13mm 계량기 보호통 교체,"665,970 ","570,370 ","95,600 ",0 ,"8,400 ","10,820 ","10,180 ","2,770 ","1,030 ","5,530 ","1,650",0,15.0,계량기보호통(실),계량기보호통,노후,,227.0,124-2,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-01-30,35.8804666,128.6594336
115,20230131-0020,01-31,동구 도동 90-12,지하미누수,터파기 결과 미누수,"1,096,320 ","1,096,320 ",0 ,0 ,"11,530 ","14,850 ","13,960 ","3,810 ","1,410 ","7,590 ","3,420",0,,,,,,205.0,80,0.2,267 ,236 ,31 ,미등록,폐아 0.5톤,2023-01-31,35.9102559,128.6491739
126,20230131-0777,01-31,동구 효목동 65-14,미누수,터파기 결과 미누수(하수도),"222,600 ","222,600 ",0 ,0 ,"2,310 ","2,980 ","2,800 ",760 ,280 ,"1,520 ",690,0,,,,,,213.0,24,,,,,미등록,,2023-01-31,35.884804,128.6367999
127,20230201-0032,02-01,동구 도동 3-12,지하미누수,D80*25mm 분기점 누수수선,"1,943,090 ","1,943,090 ",0 ,0 ,"23,990 ","30,880 ","29,050 ","7,930 ","2,940 ","15,780 ","5,880",0,,,,,,205.0,80,0.3,401 ,354 ,47 ,미등록,폐아 0.8,2023-02-01,35.9096412,128.6449857
128,20230201-0233,02-01,동구 효목동 54-7,지상사유지,D13mm 계량기 보호통 교체,"714,910 ","619,310 ","95,600 ",0 ,"8,620 ","11,100 ","10,440 ","2,850 ","1,050 ","5,670 ","1,820",0,15.0,계량기보호통(실),계량기보호통,노후,,213.0,24,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-01,35.8837338,128.6380478
129,20230201-0297,02-01,동구 도동 9-10,미누수,출장비 정산(N=20),"647,480 ","647,480 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,410",0,,,,,,205.0,80,,,,,미등록,,2023-02-01,35.9095138,128.6463156
130,20230201-0603,02-01,동구 효목동 293-3,지상사유지,D13mm 계량기 보호통 교체,"606,220 ","510,620 ","95,600 ",0 ,"7,700 ","9,910 ","9,320 ","2,540 ",940 ,"5,060 ","1,460",0,15.0,계량기보호통(실),계량기보호통,노후,,606.0,35,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-01,35.88078,128.6361364
131,20230201-0612,02-01,동구 신무동 235-5,지하공도,D25mm 접합부 수선,"1,684,840 ","1,684,840 ",0 ,0 ,"24,280 ","31,270 ","29,410 ","8,020 ","2,970 ","15,980 ","4,930",0,25.0,스텐레스관,이형관,노후,192,201.0,307,,0 ,0 ,0 ,등록,,2023-02-01,35.9896996,128.6715106
134,20230202-0509,02-02,동구 신기동 160-45,지하공도,D100*13mm 분기점 누수수선,"1,333,300 ","1,333,300 ",0 ,0 ,"14,500 ","18,670 ","17,560 ","4,790 ","1,770 ","9,540 ","4,140",0,15.0,부분기대,부분기대,노후,0,233.0,250,0.1,134 ,118 ,16 ,등록,폐아 0.5,2023-02-02,35.8722387,128.701207
135,20230203-0019,02-03,동구 불로동 581-2 대구추어탕,지하사유지,D13mm 계량기 보호통 교체,"741,680 ","646,080 ","95,600 ",0 ,"8,400 ","10,820 ","10,180 ","2,770 ","1,030 ","5,530 ","1,930",0,15.0,계량기보호통(실),계량기보호통,노후,0,205.0,80,,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-03,35.9105798,128.6422054
136,20230203-0021,02-03,동구 불로동 543-13,지하공도,D40x13 분기점 누수수선,"1,049,720 ","1,049,720 ",0 ,0 ,"9,440 ","12,150 ","11,430 ","3,120 ","1,150 ","6,210 ","3,370",0,15.0,부분기대,부분기대,노후,187.68,205.0,80,0.2,267 ,236 ,31 ,등록,폐아 0.4톤,2023-02-03,35.9104296,128.6429592
137,20230203-0035,02-03,동구 상매동 57-2,지하공도,D25 접합부 누수 수선,"195,110 ","195,110 ",0 ,0 ,470 ,610 ,570 ,150 ,50 ,310 ,700,0,25.0,스텐레스관,이형관,접합부이완,456.96,230.0,201,,0 ,0 ,0 ,등록,,2023-02-03,35.906398,128.7132339
138,20230203-0037,02-03,동구 상매동 168-3,지하공도,D25mm 지수전 누수수선,"1,399,010 ","1,399,010 ",0 ,0 ,"15,260 ","19,650 ","18,480 ","5,040 ","1,870 ","10,040 ","4,330",0,25.0,스텐레스관,이형관,노후,285.6,230.0,201,0.3,401 ,354 ,47 ,등록,폐아 0.6톤,2023-02-03,35.906066,128.7137533
141,20230203-0314,02-03,동구 율암동 362-2,지상사유지,D13mm 계량기 보호통 교체,"786,760 ","691,160 ","95,600 ",0 ,"8,400 ","10,820 ","10,180 ","2,770 ","1,030 ","5,530 ","2,100",0,15.0,계량기보호통(실),계량기보호통,노후,,230.0,201,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-03,35.8769462,128.7051978
143,20230203-0332,02-03,동구 율하동 923-2,지상사유지,D13mm 계량기 보호통 교체,"767,720 ","672,120 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","2,040",0,15.0,계량기보호통(실),계량기보호통,노후,,233.0,255,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-03,35.8697051,128.699074
148,20230206-0010,02-06,동구 신평동 322-3,지하공도,D80*13mm 구분기점 폐쇄,"509,220 ","509,220 ",0 ,0 ,"3,530 ","4,540 ","4,270 ","1,160 ",430 ,"2,320 ","1,700",0,15.0,부분기대,부분기대,노후,142.08,226.0,224-1,,0 ,0 ,0 ,등록,,2023-02-06,35.8790018,128.6820675
150,20230206-0109,02-06,동구 괴전동 117-63,지상사유지,D13mm 계량기 보호통 교체,"727,890 ","632,290 ","95,600 ",0 ,"7,490 ","9,640 ","9,070 ","2,470 ",910 ,"4,930 ","1,940",0,15.0,계량기보호통(실),계량기보호통,노후,,235.0,237-1,0.0,0 ,0 ,0 ,미등록,,2023-02-06,35.8727462,128.7350587
152,20230206-0364,02-06,동구 지묘동 789-1,지상사유지,D13mm 계량기 보호통 교체,"767,720 ","672,120 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","2,040",0,15.0,계량기보호통(실),계량기보호통,노후,,201.0,57,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-06,35.9416441,128.6366465
153,20230206-0573,02-06,동구 율암동 156-3,지하공도,"D80×13mm, D80×25mm 분기점누수 수선(2개소)","2,056,410 ","2,056,410 ",0 ,0 ,"22,590 ","29,090 ","27,370 ","7,470 ","2,770 ","14,870 ","6,370",0,15.0,부분기대,부분기대,노후,204.24,230.0,201,0.2,267 ,236 ,31 ,등록,폐아 1톤,2023-02-06,35.8808544,128.7007988
154,20230206-0574,02-06,동구 신평동 117,지하공도,"D80×13mm 구분기점, 분기점 누수수선","3,185,210 ","3,185,210 ",0 ,0 ,"41,600 ","53,560 ","50,380 ","13,750 ","5,100 ","27,380 ","9,490",0,15.0,부분기대,부분기대,노후,159.84,230.0,201,0.7,936 ,826 ,110 ,등록,폐아 1.5,2023-02-06,35.8839739,128.6943616
155,20230206-0604,02-06,동구 신천동 44-17,지하공도,D25*13mm 분기점 누수수선&D13mm 계량기 보호통 교체,"1,143,760 ","1,048,160 ","95,600 ",0 ,"13,610 ","17,520 ","16,480 ","4,490 ","1,660 ","8,950 ","3,150",0,15.0,스텐레스관,이형관,노후,97.68,219.0,30,,0 ,0 ,0 ,등록,폐콘 0.16,2023-02-06,35.8759912,128.6207502
156,20230207-0009,02-07,동구 신암동 694-78,지하공도,D100*13mm 분기점 누수수선,"1,647,120 ","1,647,120 ",0 ,0 ,"20,770 ","26,740 ","25,150 ","6,860 ","2,540 ","13,670 ","4,950",0,15.0,부분기대,부분기대,노후,164.16,211.0,3,0.3,401 ,354 ,47 ,등록,폐아 0.7,2023-02-07,35.8873347,128.6182827
158,20230207-0407,02-07,동구 신암동 184-2,지하공도,D80×13mm 분기점 누수수선&D13mm 계량기 보호통 교체,"2,031,100 ","1,935,500 ","95,600 ",0 ,"25,890 ","33,330 ","31,350 ","8,550 ","3,170 ","17,030 ","5,750",0,15.0,부분기대,부분기대,노후,164.16,217.0,17,0.3,401 ,354 ,47 ,등록,폐아 0.56,2023-02-07,35.8797818,128.6190226
159,20230208-0031,02-08,동구 평광동 664-6,지상공도,D50mm 접합부누수 수선(매달린관),"454,230 ","454,230 ",0 ,0 ,"4,580 ","5,890 ","5,540 ","1,510 ",560 ,"3,010 ","1,440",0,50.0,HIVP,이형관,노후,0.71,,72,,0 ,0 ,0 ,등록,,2023-02-08,35.9245761,128.7043084
162,20230208-0271,02-08,동구 괴전동 186,지상사유지,D13mm 계량기 보호통 교체,"423,350 ","423,350 ",0 ,0 ,"3,580 ","4,600 ","4,330 ","1,180 ",430 ,"2,350 ","1,380",0,15.0,계량기보호통(실),접합부,노후,,236.0,237-2,0.0,0 ,0 ,0 ,미등록,,2023-02-08,35.8708445,128.7357229
163,20230208-0302,02-08,동구 용계동 64,지하공도,D80×40mm 접합부 누수수선,"2,164,000 ","2,164,000 ",0 ,0 ,"27,060 ","34,850 ","32,780 ","8,940 ","3,320 ","17,810 ","6,500",0,80.0,닥타일관,이형관,노후,570.96,232.0,225,0.4,535 ,472 ,63 ,등록,폐아 1.1,2023-02-08,35.8752367,128.6951877
165,20230209-0138,02-09,동구 방촌동 988-27,지하공도,D80mm 제수변 스핀들 누수수선,"1,717,180 ","1,717,180 ",0 ,0 ,"21,780 ","28,040 ","26,370 ","7,200 ","2,670 ","14,330 ","5,140",0,80.0,변류,접합부,볼트이완,"1,459.2",228.0,123-2,0.2,267 ,236 ,31 ,등록,폐아 0.9톤,2023-02-09,35.8848419,128.6628775
166,20230209-0143,02-09,동구 신천동 835-4,지상사유지,D13mm 계량기 보호통 교체,"645,490 ","549,890 ","95,600 ",0 ,"7,490 ","9,650 ","9,080 ","2,470 ",910 ,"4,930 ","1,620",0,15.0,계량기보호통(실),계량기보호통,노후,,220.0,48,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-09,35.8686923,128.6176217
167,20230209-0191,02-09,동구 신암동 714-15,지상공도,D80×13mm 구분기점 누수수선,"283,500 ","283,500 ",0 ,0 ,"2,610 ","3,360 ","3,160 ",860 ,320 ,"1,710 ",900,0,15.0,부분기대,부분기대,노후,0.18,211.0,7,,0 ,0 ,0 ,등록,,2023-02-09,35.8863118,128.6187917
168,20230209-0250,02-09,동구 율암동 359-12,지하사유지,D13mm 인입선 누수수선,"579,500 ","579,500 ",0 ,0 ,"5,860 ","7,550 ","7,100 ","1,930 ",710 ,"3,850 ","1,820",0,15.0,스텐레스관,이형관,노후,105.6,230.0,201,,0 ,0 ,0 ,미등록,폐콘 0.3,2023-02-09,35.8766886,128.7061839
169,20230210-0079,02-10,동구 율하동 939-8,지상사유지,D13mm 계량기 보호통 교체,"778,210 ","682,610 ","95,600 ",0 ,"8,260 ","10,640 ","10,000 ","2,730 ","1,010 ","5,430 ","2,080",0,15.0,계량기보호통(실),계량기보호통,노후,,233.0,255,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-10,35.8691356,128.7008986
170,20230210-0095,02-10,동구 신암동 130-80,기타,유량계설치관로공사,"20,343,650 ","15,266,000 ","5,077,650 ",0 ,"186,143 ","239,669 ","225,438 ","61,538 ","22,839 ","122,497 ","46,351",0,,,,,,209.0,1,1.7,"2,272 ","2,006 ",266 ,미등록,,2023-02-10,35.8885499,128.6295317
171,20230210-0101,02-10,동구 효목동 510-3,시설물수선,유량계실 맨홀 주변 포장 보수,"130,740 ","130,740 ",0 ,0 ,850 ,"1,090 ","1,030 ",280 ,100 ,560 ,440,0,,,,,,606.0,36,,0 ,0 ,0 ,미등록,,2023-02-10,35.8723438,128.6353392
172,20230210-0239,02-10,동구 신천동 345-15,지하공도,D50*13mm 구분기점 누수수선,"1,952,140 ","1,952,140 ",0 ,0 ,"22,470 ","28,940 ","27,220 ","7,430 ","2,750 ","14,790 ","6,010",0,15.0,PFP관,이형관,노후,108.24,606.0,44-2,0.3,401 ,354 ,47 ,등록,폐아 0.9,2023-02-10,35.8701049,128.6299042
173,20230211-0037,02-11,동구 효목동 468-2,지상사유지,D13mm 계량기실 누수 수선,"94,640 ","94,640 ",0 ,0 ,350 ,450 ,420 ,110 ,40 ,230 ,330,0,15.0,계량기보호통(실),앵글밸브,노후,,223.0,46-2,,,,,미등록,,2023-02-11,35.8741406,128.6385148
175,20230213-0279,02-13,동구 방촌동 857-25 102호,지하공도,D40*25mm 분기점 누수수선,"1,040,100 ","1,040,100 ",0 ,0 ,"11,080 ","14,270 ","13,420 ","3,660 ","1,350 ","7,290 ","3,240",0,25.0,부분기대,부분기대,노후,"1,172.16",226.0,133,0.1,134 ,118 ,16 ,등록,폐아 0.5톤,2023-02-13,35.8797124,128.671209
176,20230214-0031,02-14,동구 불로동 817-2,지하미누수,터파기 결과 미누수,"208,630 ","208,630 ",0 ,0 ,"2,320 ","2,990 ","2,820 ",770 ,280 ,"1,530 ",640,0,,,,,,207.0,90,,,,,미등록,,2023-02-14,35.9005585,128.6350813
177,20230214-0033,02-14,동구 율암동 362-9 둥지 비동(102호),지하미누수,터파기 결과 미누수,"1,212,410 ","1,212,410 ",0 ,0 ,"13,030 ","16,780 ","15,780 ","4,300 ","1,590 ","8,570 ","3,760",0,,,,,,230.0,201,0.2,267 ,236 ,31 ,미등록,폐아 0.6,2023-02-14,35.8771183,128.7053104
179,20230215-0073,02-15,동구 신평동 621,지상사유지,D13mm 계량기 보호통 교체,"888,470 ","792,870 ","95,600 ",0 ,"11,150 ","14,350 ","13,500 ","3,680 ","1,360 ","7,330 ","2,320",0,15.0,계량기보호통(실),계량기보호통,노후,,226.0,224-1,0.0,0 ,0 ,0 ,미등록,폐콘 0.1톤,2023-02-15,35.8782523,128.6821753
180,20230215-0181,02-15,동구 방촌동 964 B동201호,지하공도,D50x13 분기점 누수 수선,"2,164,210 ","2,164,210 ",0 ,0 ,"26,980 ","34,730 ","32,670 ","8,910 ","3,310 ","17,750 ","6,520",0,15.0,부분기대,부분기대,노후,253.92,228.0,123-2,0.3,401 ,354 ,47 ,등록,폐아 1.2톤,2023-02-15,35.8855909,128.6641671
181,20230215-0247,02-15,동구 각산동 1118,지상공도,D25 접합부 누수 수선(매달린관),"548,220 ","548,220 ",0 ,0 ,"5,390 ","6,940 ","6,530 ","1,780 ",660 ,"3,540 ","1,750",0,25.0,스텐레스관,이형관,노후,0.35,229.0,205,,0 ,0 ,0 ,등록,,2023-02-15,35.8863958,128.7132295
182,20230216-0006,02-16,동구 신암동 134-177,시설물수선,D600*200mm 마개플랜지 설치,"5,934,300 ","4,342,300 ",0 ,"1,592,000 ","56,870 ","73,220 ","68,870 ","18,800 ","6,970 ","37,420 ","12,860",0,,,,,,209.0,1,1.0,"1,337 ","1,180 ",157 ,미등록,폐콘 1톤 폐아 2.5톤,2023-02-16,35.8889659,128.6289857
185,20230217-0022,02-17,동구 상매동 515-9,지하공도,D200*20mm 분기점 누수수선,"1,329,850 ","954,850 ",0 ,"375,000 ","12,400 ","15,970 ","15,020 ","4,100 ","1,520 ","8,160 ","2,840",0,20.0,부분기대,부분기대,노후,725.76,230.0,201,0.1,134 ,118 ,16 ,등록,폐아 0.5톤,2023-02-17,35.8912174,128.7032473
186,20230217-0265,02-17,동구 신암동 229-14,지상사유지,D13mm 계량기 보호통 교체,"654,450 ","558,850 ","95,600 ",0 ,"8,670 ","11,160 ","10,500 ","2,860 ","1,060 ","5,700 ","1,580",0,15.0,계량기보호통(실),계량기보호통,노후,,217.0,18,,,,,미등록,폐콘 0.1톤,2023-02-17,35.8801397,128.6223631
190,20230220-0503,02-20,동구 숙천동 190,지하공도,D40x15 분기점 누수 수선,"418,180 ","418,180 ",0 ,0 ,"3,520 ","4,530 ","4,260 ","1,160 ",430 ,"2,310 ","1,360",0,15.0,부분기대,부분기대,노후,281.52,236.0,243,,0 ,0 ,0 ,등록,,2023-02-20,35.8765803,128.7556953
191,20230220-0505,02-20,동구 숙천동 223-1,지하미누수,터파기 결과 미누수,"1,677,300 ","1,677,300 ",0 ,0 ,"19,900 ","25,630 ","24,110 ","6,580 ","2,440 ","13,100 ","5,100",0,,,,,,236.0,243,0.4,535 ,472 ,63 ,미등록,폐아 0.9톤,2023-02-20,35.8755092,128.7575029
192,20230221-0034,02-21,동구 둔산동 600-2,지상사유지,D13mm 계량기실 누수수선,"385,310 ","385,310 ",0 ,0 ,"3,870 ","4,990 ","4,690 ","1,280 ",470 ,"2,550 ","1,220",0,15.0,계량기보호통(실),연결부,노후,,226.0,95,,,,,미등록,,2023-02-21,35.9000184,128.6743645
193,20230221-0110,02-21,동구 미대동 604,지상사유지,D13mm 계량기 보호통 교체,"767,720 ","672,120 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","2,040",0,15.0,계량기보호통(실),계량기보호통,노후,,201.0,303,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-21,35.9509532,128.6749024
194,20230221-0272,02-21,동구 신암동 455-3 102동,지상사유지,D25mm 인입선 누수수선,"229,680 ","229,680 ",0 ,0 ,"1,460 ","1,880 ","1,770 ",480 ,170 ,960 ,780,0,25.0,스텐레스관,직관,노후,,216.0,16-2,,,,,미등록,,2023-02-21,35.8774616,128.6138895
195,20230221-0428,02-21,동구 신암동 1298-146,지하공도,D40x13mm 분기점 누수 수선,"850,160 ","850,160 ",0 ,0 ,"9,660 ","12,440 ","11,700 ","3,190 ","1,180 ","6,350 ","2,610",0,15.0,PFP관,이형관,노후,137.28,216.0,14,0.1,134 ,118 ,16 ,등록,폐아 0.4,2023-02-21,35.8770078,128.6089643
196,20230221-0429,02-21,동구 불로동 866-2 불로 파크골프장,지하공도,D40mm PE직관부 누수수선,"1,285,060 ","1,285,060 ",0 ,0 ,"10,740 ","13,830 ","13,010 ","3,550 ","1,310 ","7,070 ","4,120",0,40.0,PE관,직관,노후,686.4,207.0,83,0.2,267 ,236 ,31 ,미등록,폐콘 1.84톤,2023-02-21,35.9061338,128.6310846
197,20230222-0023,02-22,동구 방촌동 1050-61,지상사유지,D13mm 계량기 보호통 교체,"721,960 ","626,360 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","1,870",0,15.0,계량기보호통(실),계량기보호통,노후,,227.0,124-2,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-22,35.8827139,128.6578898
198,20230222-0300,02-22,동구 미곡동 284-6 (A동),지상사유지,D13mm 계량기실 누수 수선,"408,450 ","408,450 ",0 ,0 ,"4,430 ","5,710 ","5,370 ","1,460 ",540 ,"2,920 ","1,270",0,15.0,계량기보호통(실),접합부,노후,,201.0,306,,,,,미등록,,2023-02-22,35.9599921,128.6854138
201,20230223-0089,02-23,동구 서호동 139-1,기타,유량계실 양수 및 세척작업,"286,040 ","286,040 ",0 ,0 ,"1,110 ","1,430 ","1,340 ",360 ,130 ,730 ,"1,000",0,,,,,,234.0,280,,,,,미등록,,2023-02-23,35.8657482,128.7114427
202,20230223-0212,02-23,동구 미대동 267-4,지상사유지,D13mm 계량기 보호통 교체,"761,760 ","666,160 ","95,600 ",0 ,"7,920 ","10,200 ","9,600 ","2,620 ",970 ,"5,210 ","2,030",0,15.0,계량기보호통(실),계량기보호통,노후,,201.0,300,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-23,35.9594796,128.6686662
203,20230223-0246,02-23,동구 신천동 148-4,지하공도,D200mm 접합부 누수수선,"2,092,060 ","2,092,060 ",0 ,0 ,"27,890 ","35,910 ","33,780 ","9,220 ","3,420 ","18,350 ","6,190",0,200.0,닥타일관,직관,노후,"14,955.84",221.0,42,0.5,668 ,590 ,78 ,등록,폐아 1.1,2023-02-23,35.8676399,128.6245082
205,20230224-0030,02-24,동구 송정동 260,지하공도,D50x13 분기점 누수수선,"522,960 ","522,960 ",0 ,0 ,"6,000 ","7,730 ","7,270 ","1,980 ",730 ,"3,950 ","1,610",0,15.0,부분기대,부분기대,노후,303.6,201.0,54,,0 ,0 ,0 ,등록,,2023-02-24,35.9871228,128.6232903
206,20230224-0032,02-24,동구 숙천동 188-2,미누수,확인 터파기 결과 미누수,"1,226,120 ","1,226,120 ",0 ,0 ,"13,390 ","17,250 ","16,220 ","4,420 ","1,640 ","8,810 ","3,790",0,,,,,,236.0,223,0.2,267 ,236 ,31 ,미등록,폐아 0.6,2023-02-24,35.8767005,128.755361
207,20230224-0034,02-24,동구 진인동 417,지상사유지,D13mm 계량기실 누수 수선,"367,480 ","367,480 ",0 ,0 ,"3,650 ","4,700 ","4,420 ","1,200 ",440 ,"2,400 ","1,160",0,15.0,계량기보호통(실),접합부,노후,,201.0,313,,,,,미등록,,2023-02-24,35.9586379,128.7221443
208,20230224-0062,02-24,동구 신암동 125-11,지상사유지,D13mm 계량기 보호통 교체,"679,600 ","584,000 ","95,600 ",0 ,"8,120 ","10,450 ","9,830 ","2,680 ",990 ,"5,340 ","1,720",0,15.0,계량기보호통(실),계량기보호통,노후,,209.0,1,0.0,0 ,0 ,0 ,미등록,폐콘 0.1,2023-02-24,35.8867442,128.6318871
210,20230224-0112,02-24,동구 용수동 327,지하공도,D50mm 접합부 누수수선,"1,596,250 ","1,596,250 ",0 ,0 ,"17,160 ","22,100 ","20,780 ","5,670 ","2,100 ","11,290 ","4,960",0,50.0,PFP관,이형관,노후,"1,346.4",201.0,307,0.2,267 ,236 ,31 ,등록,폐아 0.7톤,2023-02-24,35.9718477,128.6812652
215,20230227-0259,02-27,동구 신기동 206-1,지상공도,D40mm 지수밸브 설치,"911,830 ","911,830 ",0 ,0 ,"9,300 ","11,980 ","11,270 ","3,070 ","1,140 ","6,120 ","2,900",0,40.0,PFP관,이형관,노후,0.55,233.0,251,0.0,0 ,0 ,0 ,등록,,2023-02-27,35.8701608,128.7028754
218,20230227-0546,02-27,동구 지저동 669-8,지상공도,D80*13mm 분기점 누수수선,"3,550,160 ","3,550,160 ",0 ,0 ,"46,280 ","59,580 ","56,050 ","15,300 ","5,670 ","30,450 ","10,570",0,15.0,부분기대,부분기대,노후,0.33,208.0,92,0.8,"1,069 ",944 ,125 ,등록,폐아 1.9톤,2023-02-27,35.8972233,128.6366473
222,20230228-0031,02-28,동구 검사동 950-53,지상공도,D80mm 제수변 누수수선,"1,108,740 ","1,108,740 ",0 ,0 ,"11,160 ","14,370 ","13,520 ","3,690 ","1,360 ","7,340 ","3,480",0,80.0,변류,접합부,볼트이완,7.6,210.0,108-1,0.1,134 ,118 ,16 ,등록,폐아 0.5톤 ,2023-02-28,35.8862732,128.6568682
225,20230228-0543,02-28,동구 신천동 396-3,배수관망유지수선,제수변 철개입상(N=3),"1,924,890 ","1,924,890 ",0 ,0 ,"24,780 ","31,910 ","30,020 ","8,190 ","3,040 ","16,310 ","5,740",0,,,,,,606.0,44-2,0.4,535 ,472 ,63 ,미등록,폐아 1.06톤,2023-02-28,35.8766746,128.631869
