긴급복구공사일련번호,담당부서ID,담당부서명,용수구분,용수구분명,용도구분,용도구분명,민원접수번호,접수일시,작업시작일시,작업종료일시,공사개요,구 구분코드,구군,주소,중구역번호,소구역번호,지시번호,공사일련번호,공사명,복구공사구분,복구공사구분값,도로구분코드,도로구분,시공년도,탐사구분(1단계),탐사구분(1단계) 값,탐사구분(2단계),탐사구분(2단계) 값,누수관경코드,누수관경,누수관종코드,누수관종코드명,누수부위코드,누수부위코드명,누수원인코드,누수원인코드명,누수구분코드,누수구분명,누수부위형태코드,누수부위형태코드명,파열상태코드,파열상태,측정수압,누수일수,시간당 누수량,누수량,방지량,살수량,총공사비,과수압구역(여부),위도,경도,작업일시
9907918,54000,북부사업소,,,4.0,배수지관,,20050713090000.0,,,DTC D80*15분기점수선,B,북구,북구 연암공원로32길 62-4 (산격동) / 1197-6번지,520.0,243.0,,20055400007918,산격4동 1197-6,U,지하누수,,,,,,,,1.0,15.0,2.0,,901.0,,99.0,기타,1,누수,,,3.0,1/3,,193.0,0.0,"1,992","1,775",,,,35.8976226,128.6048668,2005-07-13 09:00:00
9903006,54000,북부사업소,,,5.0,급수관,,20021018100000.0,,,PFP D40x15mm 니플수선,B,북구,북구 연암공원로32길 62-4 (산격동) / 1197-6번지,520.0,243.0,,20025400003006,산격4동1197-6,U,지하누수,,,,,,,,1.0,15.0,5.0,,302.0,,2.0,부식,1,누수,,,6.0,1/10,,291.0,0.0,"1,746",444,,,,35.8976226,128.6048668,2002-10-18 10:00:00
200901288,54000,북부사업소,,,,,,200902051601.0,,,PFP(50X15)분기점수선,B,북구,북구 연암공원로32길 64-10 (산격동) / 1197-25번지,,252.0,127.0,20099002320,북구 산격동1197-25 번지,U,지하누수,1.0,공도,,1.0,자체,2.0,야간,1.0,15.0,11.0,접합부속,303.0,나사,8.0,전식,1,누수,1.0,소켓,2.0,1/2,3.0,36.0,0.0,337,"3,416",,"241,620",N,35.8976825,128.6045625,2009-02-05 16:01:00
201201009,54000,북부사업소,,,5.0,급수관,,201201120900.0,,,D15mm 접합부 수선,B,북구,북구 연암공원로32길 64-14 (산격동) / 1197-19번지,520.0,243.0,49.0,20129001587,북구 산격동1197-19 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,6.0,스텐레스관,201.0,이형관,1.0,노후,1,누수,1.0,소켓,4.0,1/5,3.0,12.0,0.0,43,655,0.0,"293,540",N,35.8978824,128.6045353,2012-01-12 09:00:00
804291,54000,북부사업소,,,0.0,,,200806120900.0,,,,B,북구,북구 연암공원로32길 64-32 (산격동) / 1197-60번지,520.0,243.0,417.0,20089008385,산격4동 1197-60번지 ,U,지하누수,1.0,공도,,2.0,용역,1.0,주간,1.0,15.0,10.0,부분기대,801.0,불용관,2.0,부식,1,누수,,,,,,1.0,0.0,0,0,,,N,35.897478,128.6044319,2008-06-12 09:00:00
9910102,54000,북부사업소,,,4.0,배수지관,,20060706090000.0,,,PFP D40*15분기점수선,B,북구,북구 연암공원로32길 64-58 (산격동) / 1193번지,520.0,243.0,,20065400010102,산격4동 1193번지,U,지하누수,,,,,,,,1.0,15.0,5.0,,901.0,,2.0,부식,1,누수,,,2.0,1/2,,365.0,0.0,"2,803",0,,,,35.8976416,128.6036774,2006-07-06 09:00:00
803327,54000,북부사업소,,,0.0,,,200804030900.0,,,PFP(50*15)니플1 수선 ,B,북구,북구 연암공원로32길 64-6 (산격동) / 1197-33번지,520.0,243.0,226.0,20089006478,산격4동 1197-33번지 ,U,지하누수,1.0,공도,,2.0,용역,1.0,주간,1.0,15.0,11.0,접합부속,303.0,나사,2.0,부식,1,누수,,,,,,1.0,0.0,0,0,,,N,35.8975146,128.6045759,2008-04-03 09:00:00
201103107,54000,북부사업소,,,4.0,배수지관,,201104120900.0,,,D25mm접합부수선,B,북구,북구 연암공원로7길 6-25 (산격동) / 1136-7번지,520.0,461.0,538.0,20119004907,북구 산격동1136-7 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,3.0,25.0,6.0,스텐레스관,201.0,이형관,2.0,부식,1,누수,1.0,소켓,4.0,1/5,4.0,102.0,0.0,"1,077","3,854",0.0,"350,570",N,35.8949701,128.5979517,2011-04-12 09:00:00
200903242,54000,북부사업소,,,,,,200905070900.0,,,DTC(80X15)분기점 수선,B,북구,북구 연암공원로8길 13-4 (산격동) / 1106-13번지,1070.0,570.0,331.0,20099005834,북구 산격동1106-13 번지,U,지하누수,1.0,공도,,2.0,용역,,,7.0,80.0,11.0,접합부속,302.0,고무링·패킹,2.0,부식,1,누수,3.0,연부,6.0,1/10,4.0,127.0,7.0,"20,726","59,568",,"797,350",N,35.89345,128.5989036,2009-05-07 09:00:00
200900230,54000,북부사업소,,,,,,200808290900.0,,,D=25*15 분기점수선,B,북구,북구 연암공원로8길 13-9 (산격동) / 1106-14번지,,570.0,563.0,20099000626,북구 산격동1106-14 번지,U,지하누수,1.0,공도,,1.0,자체,1.0,주간,1.0,15.0,11.0,접합부속,302.0,고무링·패킹,2.0,부식,1,누수,1.0,소켓,,,0.0,1.0,0.0,0,0,,0,N,35.8936833,128.5991138,2008-08-29 09:00:00
