NO,접수번호,부서,정산년월,지시번호,공사명,공사개요,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,"누수지점
GIS ID",GIS 입력
117,20231204-0300,북부사업소,202312,698 ,북구 산격로14길 49 (산격동) / 1305-24번지,DTC D80*15mm 분기점 수선,지하-공도,용역일반,산격동 1305-24,2023-12-04 11:46,,2023-12-04 16:00,배수관,북구,0520,49,공도,15 ,닥타일관,이형관,노후,,172일,"1,197 ",생활용수,850516,입력
118,20231201-0519,북부사업소,202312,693 ,"북구 연암로12길 10-5 (산격동,만송그린빌) / 1086번지",계량기실 누수 D32보호통 교체수선,지상-사유지,,산격동 1086,2023-12-01 22:57,,2023-12-02 02:57,급수관,북구,0520,46-1,사유지,32 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
119,20231130-0482,북부사업소,202311,689 ,"북구 연암로12길 16-1 (산격동,수아머리방) / 1059-1번지",PFP D80 접합부 수선,지하-공도,용역일반,산격동 1059-1,2023-11-30 15:49,,2023-11-30 19:49,배수관,북구,0520,46-1,공도,80 ,PFP관,이형관,노후,,170일,"2,040 ",생활용수,,미입력
120,20231129-0375,북부사업소,202311,679 ,북구 연암로 66-6 (산격동) / 993-16번지,D15 계량기 접합부 수선,지상-사유지,,산격동 993-16,2023-11-29 13:18,,2023-11-29 17:18,급수관,북구,0520,46-1,사유지,20 ,계량기보호통(실),접합부,노후,,,,생활용수,,미대상
121,20231122-0213,북부사업소,202311,665 ,북구 연암공원로20길 34-3 (산격동) / 1222-34번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1222-34,2023-11-22 11:36,,2023-11-22 15:36,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),접합부,노후,,,,,,미대상
122,20231121-0158,북부사업소,202311,662 ,북구 산격로북9길 5-2 (산격동) / 1437-62번지,STS D15 인입선 수선,지하-공도,용역일반,산격동 1437-62,2023-11-21 11:23,,2023-11-21 15:23,급수관,북구,0520,24-3,공도,15 ,스텐레스관,직관,노후,,165일,"2,020 ",생활용수,,미입력
123,20231121-0153,북부사업소,202311,658 ,북구 산격로서9길 8-43 (산격동) / 1437-40번지,D15 계량기보호통 교체,지하-사유지,용역일반,산격동 1437-40,2023-11-21 11:19,,2023-11-21 15:19,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,165일,"1,030 ",생활용수,,미대상
124,20231117-0002,북부사업소,202311,645 ,북구 대학로13길 26-1 (산격동) / 1326-10번지,DTC D200 접합부 수선,지하-공도,용역일반,산격동 1326-10,2023-11-17 08:44,,2023-11-17 12:44,배수관,북구,0520,49,공도,200 ,닥타일관,이형관,노후,,162일,"1,944 ",생활용수,,미입력
125,20231114-0269,북부사업소,202311,638 ,북구 산격로14길 42 (산격동) / 1306-20번지,STS D40x15 구분기점 폐쇄 직관처리,지하-공도,용역일반,산격동 1306-20,2023-11-14 16:15,,2023-11-17 10:43,급수관,북구,0520,49,공도,40 ,부분기대,부분기대,노후,,161일,"1,932 ",생활용수,,미입력
126,20231111-0011,북부사업소,202311,633 ,북구 산격로북9길 5-2 (산격동) / 1437-62번지,STS D40x15 구분기점 폐쇄 STS D40 직관처리,지하-공도,용역일반,산격동 1437-62,2023-11-11 11:02,,2023-11-11 15:02,급수관,북구,0520,24-3,공도,40 ,부분기대,부분기대,노후,,159일,"1,908 ",생활용수,,미입력
127,20231111-0010,북부사업소,202311,632 ,북구 연암공원로12길 8-2 (산격동) / 1156-1번지,PFP D80x15 분기대 교체수선,지하-공도,용역일반,산격동 1156-1,2023-11-11 11:01,,2023-11-11 15:00,급수관,북구,0520,46-1,공도,15 ,부분기대,부분기대,노후,,159일,"1,908 ",생활용수,,미입력
128,20231111-0009,북부사업소,202311,631 ,북구 산격로서9길 8-3 (산격동) / 1437-27번지,DTC D80x15 구분기점 폐쇄,지하-공도,용역일반,산격동 1437-27,2023-11-11 11:01,,2023-11-11 15:01,급수관,북구,0520,24-3,공도,15 ,부분기대,부분기대,노후,,159일,"2,671 ",생활용수,,미입력
129,20231111-0008,북부사업소,202311,630 ,"북구 대동로 48 (산격동,드림노래방) / 1275-5번지",DTC D25 분기대교체수선,지하-공도,용역일반,산격동 1275-5,2023-11-11 11:00,,2023-11-11 15:00,급수관,북구,0520,49,공도,25 ,부분기대,부분기대,노후,,159일,"2,290 ",신천용수,,미입력
130,20231103-0017,북부사업소,202311,615 ,북구 연암공원로14길 14-4 (산격동) / 1434-6번지,PFP D100*15mm 분기점 수선,지하-공도,용역일반,산격동 1434-6,2023-11-03 09:14,,2023-11-03 13:00,급수관,북구,0520,46-1,공도,15 ,부분기대,부분기대,노후,,155일,"1,600 ",생활용수,,미입력
131,20231103-0015,북부사업소,202311,614 ,북구 산격로13길 5-6 (산격동) / 1226-4번지,EPS D50*15mm 분기점 수선,지하-공도,용역일반,산격동 1226-4,2023-11-03 09:13,,2023-11-03 14:00,급수관,북구,0520,47,공도,50 ,부분기대,부분기대,노후,,155일,"1,860 ",생활용수,,미입력
132,20231103-0014,북부사업소,202311,613 ,북구 산격로13길 12-3 (산격동) / 1221-10번지,D15 보호통교체,지하-사유지,용역일반,산격동 1221-10,2023-11-03 09:13,,2023-11-03 13:13,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,155일,"1,451 ",생활용수,,미대상
133,20231102-0007,북부사업소,202311,607 ,북구 산격로10길 43-4 (산격동) / 1307-64번지,D15mm 계량기실 누수수선(통교체),지하-공도,자체일반,산격동 1307-64,2023-11-02 08:44,,2023-11-02 14:00,급수관,북구,0520,49,공도,15 ,스텐레스관,이형관,노후,,154일,"1,441 ",생활용수,,미입력
134,20230729-0034,북부사업소,202311,605 ,북구 연암공원로10길 2 (산격동) / 1144-6번지,철개입상 2개소,배수관망유지수선,,산격동 1144-6,2023-07-29 13:00,,2023-07-29 15:00,,북구,0520,46-1,,,,,,,,,생활용수,,미입력
135,20231031-0550,북부사업소,202310,575 ,북구 대학로13길 60 (산격동) / 1251-16번지,D15mm 계량기실 누수수선(통교체),지상-사유지,,산격동 1251-16,2023-10-31 16:56,,2023-10-31 21:00,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
136,20231025-0070,북부사업소,202310,588 ,북구 연암공원로 22-10 (산격동) / 1076번지,D15mm 계량기보호통 수선,지상-사유지,,산격동 1076,2023-10-25 09:47,,2023-10-25 15:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
137,20231023-0251,북부사업소,202310,582 ,"북구 연암로2길 18 (산격동,한빛고시텔) / 1392-4번지",D25mm 계량기실 앵글밸브 수선,지상-사유지,,산격동 1392-4,2023-10-23 11:38,,2023-10-23 14:00,급수관,북구,0520,47,사유지,25 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,,미대상
138,20231011-0009,북부사업소,202310,550 ,북구 연암공원로10길 25-2 (산격동) / 1436-5번지,유량계실 양수기 작업,미누수,,산격동 1436-5,2023-10-11 09:15,,2023-10-11 13:00,,북구,0520,47,,,,,,,,,생활용수,,미대상
139,20231010-0170,북부사업소,202310,549 ,북구 연암공원로7길 2-23 (산격동) / 1138-3번지,D15mm 계량기보호통 수선,지상-사유지,,산격동 1138-3,2023-10-10 11:00,,2023-10-10 15:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
140,20231004-0820,북부사업소,202310,539 ,북구 대학로13길 62 (산격동) / 1251-18번지,확인굴착,미누수,,산격동 1251-18,2023-10-04 16:52,,2023-10-04 18:00,,북구,0520,48,,,,,,,,,생활용수,,미대상
141,20230925-0581,북부사업소,202309,523 ,북구 산격로17길 13 (산격동) / 1222-47번지,PFP D40*15mm 분기점 누수수선,지하-공도,자체일반,산격동 1222-47,2023-09-25 17:16,,2023-09-25 21:00,급수관,북구,0520,24,공도,40 ,부분기대,부분기대,노후,,135일,"1,944 ",생활용수,820985,입력
142,20230920-0263,북부사업소,202309,518 ,북구 연암로 18-26 (산격동) / 1441-63번지,D15 앵글밸브 설치,지상-사유지,,산격동 1441-63,2023-09-20 14:42,,2023-09-20 15:30,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,,미대상
143,20230919-0029,북부사업소,202309,515 ,"북구 대동로 52 (산격동,유공가스) / 1279-1번지",현장확인,미누수,,산격동 1279-1,2023-09-19 09:24,,2023-09-19 09:43,,북구,0520,49,,,,,,,,,,,미대상
144,20230918-0270,북부사업소,202309,531 ,북구 연암공원로 55-14 (산격동) / 1153-10번지,D15 보호통 교체,지상-사유지,,산격동 1153-10,2023-09-18 13:22,,2023-09-19 09:11,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,,,미대상
145,20230918-0006,북부사업소,202309,511 ,북구 연암공원로14길 19-19 (산격동) / 1186-43번지,D15 보호통 교체,지상-사유지,,산격동 1186-43,2023-09-18 09:02,,2023-09-18 10:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,,,미대상
146,20230911-0369,북부사업소,202309,504 ,북구 산격로 13-1 (산격동) / 1433-56번지,STS D25x15 접합부 수선,지상-공도,,산격동 1433-56,2023-09-11 22:15,,2023-09-12 01:10,급수관,북구,0520,47,공도,25 ,스텐레스관,이형관,노후,,1시간,0 ,생활용수,820974,입력
147,20230906-0410,북부사업소,202309,530 ,북구 연암공원로 31-3 (산격동) / 878-4번지,D15 보호통 연결부 수선,지상-사유지,,산격동 878-4,2023-09-06 17:25,,2023-09-06 19:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,,,미대상
148,20230906-0003,북부사업소,202309,492 ,북구 연암공원로13길 12-27 (산격동) / 1180-96번지,D40X15 EPS 분기점 수선,지상-공도,,산격동 1180-96,2023-09-06 07:34,,2023-09-06 14:00,배수관,북구,0520,46-1,공도,40 ,에폭시강관,이형관,노후,,1시간,0 ,,820966,입력
149,20230901-0453,북부사업소,202309,488 ,북구 산격로13길 7-3 (산격동) / 1223-8번지,STS D15 직관부 수선,지상-공도,,산격동 1223-8,2023-09-01 15:55,,2023-09-01 16:50,급수관,북구,0520,47,공도,15 ,스텐레스관,직관,노후,,1시간,0 ,생활용수,820965,입력
150,20230829-0464,북부사업소,202308,486 ,북구 연암공원로 32-7 (산격동) / 1127번지,D15 보호통 교체,지하-사유지,자체상시,산격동 1127,2023-08-29 15:38,,2023-08-29 16:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,122일,0 ,,,미대상
151,20230823-0021,북부사업소,202308,479 ,북구 연암로4길 38 (산격동) / 1498-92번지,D15 보호통 교체,지상-사유지,,산격동 1498-92,2023-08-23 09:05,,2023-08-23 10:30,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
152,20230821-0255,북부사업소,202308,474 ,북구 산격동 1309-47 CAFERO ,D15 계량기 접합부 수선,지상-사유지,,산격동 1309-47 CAFERO ,2023-08-21 13:13,,2023-08-21 14:30,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),연결부,노후,,,,생활용수,,미대상
153,20230821-0049,북부사업소,202308,472 ,"북구 연암공원로32길 60 (산격동,깜미용실) / 1197-103번지",D15 보호통 교체,지상-사유지,,산격동 1197-103,2023-08-21 09:26,,2023-08-21 10:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
154,20230819-0011,북부사업소,202308,471 ,북구 연암공원로 22-11 (산격동) / 1099-52번지,D15 보호통 교체,지상-사유지,,산격동 1099-52,2023-08-19 08:18,,2023-08-19 10:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
155,20230818-0166,북부사업소,202308,469 ,북구 연암공원로8길 18-4 (산격동) / 1105-4번지,D15 보호통 교체,지상-사유지,,산격동 1105-4,2023-08-18 13:23,,2023-08-18 15:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
156,20230814-0117,북부사업소,202308,462 ,북구 연암공원로8길 12 (산격동) / 1106-9번지,D15 보호통 교체,지상-사유지,,산격동 1106-9,2023-08-14 10:54,,2023-08-14 11:50,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
157,20230814-0112,북부사업소,202308,461 ,북구 연암로4길 42-5 (산격동) / 1498-88번지,STS D25x15 직관부 수선,지하-공도,용역일반,산격동 1498-88,2023-08-14 10:50,,2023-08-14 11:50,급수관,북구,0520,47,공도,25 ,스텐레스관,이형관,노후,,114일,821 ,생활용수,820869,입력
158,20230811-0030,북부사업소,202308,457 ,북구 산격로11길 43-6 (산격동) / 1161-60번지,D15 보호통 교체,지상-사유지,,산격동 1161-60,2023-08-11 09:50,,2023-08-11 10:50,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
159,20230801-0356,북부사업소,202308,447 ,북구 대학로9길 67-1 (산격동) / 1231-22번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1231-22,2023-08-01 15:27,,2023-08-01 16:30,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),연결부,노후,,,,생활용수,,미대상
160,20230726-0407,북부사업소,202307,437 ,"북구 연암공원로 36 (산격동,메트로부동산) / 1128-1번지",DTC D80x25 구분기점 폐쇄,지하-공도,용역일반,산격동 1128-1,2023-07-26 16:16,,2023-07-26 17:30,배수관,북구,0520,46-1,공도,25 ,닥타일관,이형관,노후,,105일,"3,780 ",,820861,입력
161,20230721-0194,북부사업소,202307,428 ,북구 산격동 1186-5 프리지아,D20 계량기 접합부 수선,지상-사유지,,산격동 1186-5 프리지아,2023-07-21 13:39,,2023-07-21 14:30,급수관,북구,0520,24-3,사유지,20 ,계량기보호통(실),연결부,노후,,,,생활용수,,미대상
162,20230720-0121,북부사업소,202307,424 ,북구 연암공원로32길 46 (산격동) / 1222-28번지,D15 보호통 교체,지상-사유지,,산격동 1222-28,2023-07-20 10:50,,2023-07-20 11:50,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
163,20230717-0138,북부사업소,202307,426 ,북구 연암공원로8길 3-2 (산격동) / 1126-14번지,확인굴착,미누수,,산격동 1126-14,2023-07-17 11:14,,2023-07-17 12:30,,북구,0520,46-1,,,,,,,,,,,미대상
164,20230715-0008,북부사업소,202307,420 ,북구 연암공원로28길 23 (산격동) / 1215-24번지,확인굴착,미누수,,산격동 1215-24,2023-07-15 10:53,,2023-07-15 11:50,,북구,0520,24-3,,,,,,,,,,,미대상
165,20230623-0514,북부사업소,202306,390 ,북구 연암공원로8길 3-6 (산격동) / 1126-1번지,STS D25x15 접합부 수선,지하-공도,자체상시,산격동 1126-1,2023-06-23 09:00,,2023-06-23 12:00,급수관,북구,0520,46-1,공도,25 ,스텐레스관,이형관,노후,,88일,845 ,생활용수,820462,입력
166,20230622-0072,북부사업소,202306,387 ,북구 대학로25길 47-2 (산격동) / 1407-36번지,D15 보호통 교체,지상-사유지,,산격동 1407-36,2023-06-22 09:46,,2023-06-22 10:50,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
167,20230618-0001,북부사업소,202306,383 ,북구 대학로25길 47 (산격동) / 1407-3번지,D15 보호통 교체,지상-사유지,,산격동 1407-3,2023-06-18 07:26,,2023-06-18 10:00,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
168,20230602-0627,북부사업소,202306,377 ,북구 대학로 99-3 (산격동) / 1329-3번지,PFP -> STS 40MM 32M,노후관교체공사,,산격동 1329-3 다원,2023-06-02 16:28,,2023-06-20 09:52,기타,북구,0520,49,,,,,,,,,,,입력
169,20230601-0082,북부사업소,202306,351 ,"북구 산격로 55 (산격동,황제헤어샵) / 1422-37번지",D15 보호통 교체,지상-사유지,,산격동 1422-37,2023-06-01 09:41,,2023-06-01 10:30,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
170,20230522-0045,북부사업소,202305,331 ,북구 산격로13길 35-6 (산격동) / 1186-4번지,D300 직관부 수선,지상-공도,,산격동 1186-4,2023-05-22 09:53,,2023-05-22 10:30,배수관,북구,0520,24-3,공도,300 ,닥타일관,직관,노후,,2시간,61 ,생활용수,820442,입력
171,20230517-0246,북부사업소,202305,327 ,북구 산격로17길 10 (산격동) / 1222-57번지,PFP D50x15 접합부 수선,지상-공도,,산격동 1222-57,2023-05-17 15:00,,2023-05-17 16:00,급수관,북구,0520,24-3,공도,50 ,PFP관,이형관,노후,,2시간,0 ,생활용수,820440,입력
172,20230515-0138,북부사업소,202305,321 ,북구 연암공원로14길 25-3 (산격동) / 1195-49번지,D15 보호통 교체,지상-사유지,,산격동 1195-49,2023-05-15 11:37,,2023-05-15 12:30,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
173,20230509-0323,북부사업소,202305,316 ,북구 대학로23길 28 (산격동) / 1327-1번지,소화전 밸브 수선,지상-공도,,산격동 1327-1 한방울,2023-05-09 17:48,,2023-05-09 18:30,급수관,북구,0520,49,공도,100 ,기타,기타,노후,,2시간,0 ,생활용수,820435,입력
174,20230509-0155,북부사업소,202305,315 ,북구 산격로11길 9-4 (산격동) / 1423-17번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1423-17,2023-05-09 13:41,,2023-05-09 14:20,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),접합부,노후,,,,생활용수,,미대상
175,20230503-0448,북부사업소,202305,304 ,"북구 대학로23길 19 (산격동,도리집) / 1327-11번지",PFP D40x15 분기대 수선,지하-공도,자체상시,산격동 1327-11,2023-05-03 16:32,,2023-05-03 17:30,급수관,북구,0520,49,공도,40 ,PFP관,이형관,노후,,63일,454 ,,820431,입력
176,20230427-0262,북부사업소,202304,291 ,북구 연암공원로7길 6-14 (산격동) / 1135-16번지,D15 보호통 교체,지상-사유지,,산격동 1135-16,2023-04-27 13:13,,2023-04-27 14:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
177,20230426-0395,북부사업소,202304,286 ,북구 산격로13길 5-8 (산격동) / 1226-3번지,EPS D50x15 접합부 수선,지상-공도,,산격동 1226-3,2023-04-26 19:55,,2023-04-26 20:50,급수관,북구,0520,47,공도,50 ,에폭시강관,이형관,노후,,2시간,0 ,생활용수,820427,입력
178,20230412-0022,북부사업소,202304,267 ,"북구 대학로23길 15-4 (산격동,민하우스) / 1327-19번지",STS D25 직관부 수선,지상-공도,,산격동 1327-19,2023-04-12 09:36,,2023-04-12 10:30,급수관,북구,0520,49,공도,25 ,스텐레스관,직관,노후,,2시간,2 ,생활용수,820421,입력
179,20230322-0183,북부사업소,202303,227 ,"북구 대학로13길 6-1 (산격동,팔팔생고기,임가양꼬치) / 1400-7번지",D15 보호통 교체,지상-사유지,,산격동 1400-7,2023-03-22 12:21,2023-03-22 12:30,2023-03-22 13:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
180,20230321-0429,북부사업소,202303,222 ,북구 연암공원로14길 32 (산격동) / 1224-22번지,DTC D100 클램프 설치,지상-공도,,산격동 1224-22,2023-03-21 16:08,,2023-03-21 20:00,배수관,북구,0520,47,공도,100 ,닥타일관,직관,노후,,2시간,28 ,생활용수,820403,입력
181,20230321-0148,북부사업소,202303,219 ,북구 연암공원로14길 31-2 (산격동) / 1223-28번지,DTC D80 직관부 수선,지상-공도,,산격동 1223-28,2023-03-21 10:51,,2023-03-21 12:00,배수관,북구,0520,47,공도,80 ,닥타일관,직관,타공사손괴,구청(하수도),3시간,172 ,생활용수,820402,입력
182,20230307-0592,북부사업소,202303,165 ,북구 산격동 538-1,확인굴착,미누수,,산격동 538-1,2023-03-07 21:42,,2023-03-08 10:00,,북구,0520,24-3,,,,,,,,,,,미대상
183,20230302-0046,북부사업소,202303,171 ,북구 연암공원로32길 64-38 (산격동) / 1197-108번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1197-108,2023-03-02 09:26,,2023-03-02 10:50,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),연결부,노후,,,,생활용수,,미대상
184,20230227-0619,북부사업소,202302,155 ,북구 산격로 2-2 (산격동) / 1420-17번지,D15 보호통 교체,지상-사유지,,산격동 1420-17 불빵구수리,2023-02-27 16:23,,2023-02-27 17:50,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
185,20230227-0361,북부사업소,202302,153 ,북구 산격로11길 38-1 (산격동) / 1434-50번지,구분기점 폐쇄,지상-공도,,산격동 1434-50,2023-02-27 13:16,,2023-02-27 14:30,배수관,북구,0520,46-1,공도,100 ,PFP관,이형관,노후,,2시간,0 ,생활용수,819704,입력
186,20230217-0119,북부사업소,202302,125 ,북구 연암로12길 6-5 (산격동) / 1032-1번지,D15 보호통 교체,지상-사유지,,산격동 1032-1,2023-02-17 11:32,,2023-02-17 13:10,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
187,20230209-0105,북부사업소,202302,108 ,북구 대학로15길 16 (산격동) / 1393번지,D20 STS 접합부 수선,지상-공도,,산격동 1393,2023-02-09 11:34,,2023-02-09 15:00,배수관,북구,0520,49,공도,20 ,스텐레스관,직관,노후,,2시간,1 ,생활용수,819742,입력
188,20230208-0156,북부사업소,202302,105 ,북구 연암로12길 6-5 (산격동) / 1032-1번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1032-1,2023-02-08 11:57,,2023-02-08 12:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),연결부,노후,,,,생활용수,,미대상
189,20230206-0231,북부사업소,202302,94 ,북구 연암로12길 16 (산격동) / 1059-4번지,D15 보호통 교체,지상-사유지,,산격동 1059-4,2023-02-06 10:57,,2023-02-06 12:30,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
190,20230130-0523,북부사업소,202301,71 ,"북구 산격로13길 13-2 (산격동,삼영건재) / 1223-19번지",D15 STS 직관부 수선 및 D15 보호통 교체,지상-사유지,,산격동 1223-19,2023-01-30 12:47,,2023-01-30 13:50,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호실,노후,,,,생활용수,,미대상
191,20230127-0002,북부사업소,202301,64 ,"북구 산격로1길 29 (산격동,주계량기) / 1498-103번지",D80*50 플렌지 수선,지상-공도,,산격동 1498-103,2023-01-27 06:09,,2023-01-27 08:50,배수관,북구,0520,47,공도,50 ,스텐레스관,직관,노후,,2시간,1 ,생활용수,819752,입력
192,20230126-0144,북부사업소,202301,56 ,북구 연암로2길 55 (산격동) / 1498-85번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1498-85,2023-01-26 10:16,,2023-01-26 13:00,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),접합부,노후,,,,생활용수,,미대상
193,20230125-0546,북부사업소,202301,50 ,북구 산격로서9길 17-6 (산격동) / 1435-27번지,D15 계량기 접합부 수선,지상-사유지,,산격동 1435-27,2023-01-25 14:35,,2023-01-25 15:50,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),접합부,노후,,,,생활용수,,미대상
194,20230119-0031,북부사업소,202301,43 ,북구 대학로15길 16 (산격동) / 1393번지,STS 직관부 수선,지상-공도,,산격동 1393,2023-01-19 09:59,,2023-01-19 10:50,급수관,북구,0520,49,공도,15 ,스텐레스관,직관,노후,,2시간,1 ,생활용수,819772,입력
195,20230117-0207,북부사업소,202301,38 ,북구 대구체육관로4길 19 (산격동) / 1404-105번지,D15 보호통 교체,지상-사유지,,산격동 1404-105,2023-01-17 14:42,,2023-01-17 16:40,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
196,20221227-0567,북부사업소,202301,858 ,"북구 대학로23길 18-9 (산격동,낭만놀이) / 1309-15번지",D40X15 PFP 접합부 교체,지상-공도,,산격동 1309-15,2022-12-27 20:14,,2022-12-28 13:00,배수관,북구,0520,49,공도,15 ,PFP관,이형관,노후,,2시간,2 ,생활용수,819736,입력
197,20221227-0175,북부사업소,202301,856 ,북구 대학로25길 34-7 (산격동) / 1311-15번지,D15 앵글밸브 수선,지상-사유지,,산격동 1311-15,2022-12-27 10:59,,2022-12-27 15:00,급수관,북구,0520,48,사유지,15 ,계량기보호통(실),앵글밸브,노후,,,,생활용수,,미대상
198,20221220-0008,북부사업소,202301,827 ,북구 대동로8길 26 (산격동) / 1252-13번지,D100X20 DTC 분기대 교체,지상-공도,,산격동 1252-13,2022-12-20 07:24,,2022-12-20 13:00,배수관,북구,0520,48,공도,20 ,부분기대,부분기대,노후,,2시간,1 ,생활용수,819698,입력
199,20221217-0018,북부사업소,202301,823 ,북구 대학로25길 22-1 (산격동) / 1306-7번지,D80X15 DTC 분기대 교체,지상-공도,,산격동 1306-7,2022-12-17 14:26,,2022-12-17 18:00,배수관,북구,0520,49,공도,15 ,부분기대,부분기대,노후,,5시간,5 ,생활용수,819697,입력
200,20221217-0017,북부사업소,202301,822 ,북구 대학로25길 39-1 (산격동) / 1312-21번지,D40X20 PFP 레듀사 교체 수선,지상-사유지,,산격동 1312-21,2022-12-17 12:48,,2022-12-17 18:00,배수관,북구,0520,48,사유지,20 ,PFP관,이형관,노후,,,,생활용수,,미대상
201,20221216-0002,북부사업소,202212,818 ,북구 대학로15길 23-1 (산격동) / 1326-14번지,D80X25 PFP 직관부 처리,지상-공도,,산격동 1326-14,2022-12-16 07:56,,2022-12-19 10:03,배수관,북구,0520,49,공도,25 ,PFP관,이형관,노후,,3시간,2 ,생활용수,818661,입력
202,20221207-0207,북부사업소,202212,800 ,북구 대구체육관로11길 43-1 (산격동) / 1426-19번지,D15 보호통 교체,지상-사유지,,산격동 1426-19,2022-12-07 14:26,,2022-12-07 18:00,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
203,20221205-0012,북부사업소,202212,784 ,북구 연암공원로8길 20 (산격동) / 1102-9번지,D15 보호통 교체,지상-사유지,,산격동 1102-9,2022-12-05 08:55,,2022-12-05 16:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
204,20221111-0120,북부사업소,202211,734 ,북구 대동로 34-1 (산격동) / 1266-14번지,D15 보호통 교체,지상-사유지,,산격동 1266-14,2022-11-11 14:34,,2022-11-11 18:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
205,20221111-0041,북부사업소,202211,732 ,"북구 대학로 85 (산격동,안경콘택트) / 1341-6번지",D15 보호통 교체,지상-사유지,,산격동 1341-6,2022-11-11 10:22,,2022-11-11 13:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
206,20221101-0414,북부사업소,202211,711 ,북구 대구체육관로11길 42 (산격동) / 1425-36번지,D15 보호통 교체,지상-사유지,,산격동 1425-36,2022-11-01 15:36,,2022-11-01 17:50,급수관,북구,0520,47,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,,미대상
