NO,접수번호,부서,정산년월,지시번호,공사명,공사유형,탐사구분,주소,접수일시,작업시작,작업종료,용도구분,구군,중구역번호,소구역번호,도로구분,누수관경,누수관종,누수부위,누수원인,손괴원인,누수시간,누수량,용수구분,GIS 입력,위도,경도,epsg5179위도,epsg5179경도
22,,북부사업소,201605,478 ,북구 산격로서9길 8-50 (산격동) / 1437-9번지,배수관망유지수선,,산격로서9길 8-50 (산격동) / 1437-9번지,2016-05-13 09:00,,,배수지관,북구,0520,24-3,,,,,,,,,,미입력,35.8956554,128.6021193,1099464.014,1767121.113
23,,북부사업소,201608,787 ,북구 산격로 69 (산격동) / 1228-1번지,시설물수선,,산격로 69 (산격동) / 1228-1번지,2016-08-19 12:00,,,배수지관,북구,0520,47,,,,,,,,,,미입력,35.8968398,128.605148,1099735.873,1767255.573
24,,북부사업소,201709,937 ,북구 연암공원로11길 3-16 노후배수관교체공사,배수관망유지수선,,연암공원로11길 3-16 (산격동) / 1166-6번지,2017-09-19 09:00,,,배수지관,북구,0520,46-1,,,,,,,,,,미입력,35.896188,128.5988944,1099172.298,1767176.911
25,,북부사업소,201710,1019 ,북구 연암공원로10길 15-6 (산격동) / 1435-34번지,배수관망유지수선,,연암공원로10길 15-6 (산격동) / 1435-34번지,2017-10-17 10:00,,,배수지관,북구,0520,46-1,,,,,,,,,,미입력,35.8946845,128.600549,1099323.505,1767011.824
26,,북부사업소,201306,543 ,북구 산격로8길 25 (산격동) / 1326-12번지,지하-공도,용역,산격로8길 25 (산격동) / 1326-12번지,2013-06-11 09:00,,,급수관,북구,0520,49,공도,20 ,부분기대,부분기대,부식,,162일,"1,322 ",,입력,35.893733,128.6080043,1099997.562,1766913.889
27,20220725-0240,북부사업소,202207,528 ,북구 연암공원로8길 13 (산격동) / 1106-15번지,지상-사유지,,산격동 1106-15 (21.10.08 급수중지),2022-07-25 13:13,,2022-07-25 15:00,급수관,북구,0520,46-1,사유지,15 ,계량기보호통(실),계량기보호통,노후,,,,생활용수,미입력,35.8935463,128.5988844,1099174.69,1766883.885
28,20220711-0567,북부사업소,202207,507 ,북구 산격로13길 35-20 (산격동) / 1186-28번지,지하-사유지,자체-주간,산격동 1186-28,2022-07-11 16:27,,2022-07-11 18:00,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,96일,461 ,생활용수,미입력,35.8970138,128.6019291,1099445.149,1767271.592
29,20220711-0241,북부사업소,202207,505 ,"북구 대학로 103-4 (산격동,선경리슈빌) / 1324-5번지",지하-사유지,용역,산격동 1324-5,2022-07-11 10:10,,2022-07-11 14:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),계량기보호통,노후,,96일,230 ,생활용수,미입력,35.8942164,128.6106111,1100232.226,1766970.178
30,20220711-0239,북부사업소,202207,504 ,북구 대학로9길 27-1 (산격동) / 1413-34번지,지하-사유지,용역,산격동 1413-34,2022-07-11 10:10,,2022-07-11 14:00,급수관,북구,0520,49,사유지,15 ,계량기보호통(실),연결부,노후,,96일,576 ,생활용수,미입력,35.8933563,128.6056897,1099789.134,1766869.739
31,20220704-0539,북부사업소,202207,495 ,북구 산격로11길 36-12 (산격동) / 1434-88번지,지하-사유지,자체-주간,산격동 1434-88,2022-07-04 16:57,,2022-07-04 18:00,급수관,북구,0520,24-3,사유지,15 ,계량기보호통(실),계량기보호통,노후,,93일,558 ,생활용수,미입력,35.8961277,128.6015857,1099415.265,1767172.957
