FTR_IDN,Region,Type,D_final_org,STD_DIP,IST_YMD,remaining_life_years
142051.0,520,PIPE_LM,0.4483235931213757,500,1972-01-01,1.1718906821076296
415765.0,520,PIPE_LM,0.4134464488248707,400,1972-01-01,1.4186929234542387
415766.0,470,PIPE_LM,0.3947694198393814,400,1972-01-01,1.0395525554983778
417714.0,490,PIPE_LM,0.3512556459142277,200,1980-01-01,0.3059308844313579
2838.0,461,PIPE_LM,0.3491222950717808,500,1972-01-01,1.864325808222578
310508.0,243,PIPE_LM,0.2106320264149852,50,1988-01-01,2.5011918149176178
