FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
2574,,,22.0,RDD000
7816,,,22.0,RDD000
11028,,,7.0,RDD000
18814,,,22.0,RDD000
21495,,,9.4,RDD000
21573,,,22.0,RDD000
21954,,,22.0,RDD000
23670,,,9.4,RDD000
24535,,,9.4,RDD000
27435,,,9.4,RDD000
30953,,,22.0,RDD000
31123,,,9.4,RDD000
304305,,,6.2,RDD000
304306,,,2.0,RDD008
304307,,,54.0,RDD000
304308,,,15.6,RDD000
304309,,,15.6,RDD000
304310,,,9.9,RDD000
304311,,,7.4,RDD000
304312,,,7.4,RDD000
304313,,,3.0,RDD000
304314,,,12.5,RDD000
304316,,,10.4,RDD000
304317,,,26.0,RDD000
304318,,,10.4,RDD000
304322,,,7.3,RDD000
304331,,,7.9,RDD000
304332,,,7.0,RDD000
304333,,,6.2,RDD000
304334,,,6.2,RDD000
304335,,,6.2,RDD000
304336,,,7.0,RDD000
304337,,,7.0,RDD000
304338,,,7.0,RDD000
304339,,,7.0,RDD000
304340,,,7.0,RDD000
304341,,,10.4,RDD000
304342,,,10.4,RDD000
304350,,,7.3,RDD000
304351,,,10.4,RDD000
304352,,,7.3,RDD000
304353,,,36.0,RDD000
304358,,,26.0,RDD000
304359,,,10.4,RDD000
304366,,,11.6,RDD000
304367,,,11.5,RDD000
304368,,,11.4,RDD000
304369,,,11.4,RDD000
304370,,,14.2,RDD000
304371,,,15.6,RDD000
304372,,,14.2,RDD000
304382,,,26.0,RDD000
304384,,,,
304385,,,8.8,RDD000
304386,,,8.8,RDD000
304387,,,5.0,RDD000
304388,,,,
304389,,,,
304390,,,8.9,RDD000
304391,,,9.0,RDD000
304393,,,10.0,RDD000
304394,,,9.9,RDD000
304395,,,15.6,RDD000
304396,,,15.6,RDD000
304397,,,7.9,RDD000
304398,,,,
304399,,,9.0,RDD000
304400,,,22.0,RDD000
304401,,,7.0,RDD000
304402,,,7.0,RDD000
304403,,,7.8,RDD000
304404,,,7.9,RDD000
304409,,,3.0,RDD000
304410,,,5.0,RDD000
304411,,,54.0,RDD000
304412,,,26.0,RDD000
304413,,,27.0,RDD000
304414,,,8.8,RDD000
304415,,,8.1,RDD000
304416,,,8.1,RDD000
304417,,,26.0,RDD000
304418,,,11.1,RDD000
304433,,,5.0,RDD000
304434,,,54.0,RDD000
304435,,,7.0,RDD000
304436,,,7.0,RDD000
304437,,,7.0,RDD000
304438,,,7.0,RDD000
304439,,,7.0,RDD000
304440,,,9.0,RDD000
304441,,,11.3,RDD000
304442,,,11.3,RDD000
304443,,,10.0,RDD000
304444,,,8.4,RDD000
304445,,,8.8,RDD000
304446,,,8.8,RDD000
304447,,,26.0,RDD000
304448,,,8.8,RDD000
304449,,,40.5,RDD000
304450,,,40.0,RDD000
304451,,,40.0,RDD000
304452,,,40.0,RDD000
304453,,,26.0,RDD000
304454,,,11.5,RDD000
304455,,,11.5,RDD000
304456,,,10.4,RDD000
304457,,,27.0,RDD000
304458,,,27.0,RDD000
304459,,,13.5,RDD000
304460,,,7.8,RDD000
304461,,,26.0,RDD000
304462,,,11.5,RDD000
304463,,,27.0,RDD000
304474,,,5.2,RDD000
