FTR_IDN,RN_CD,RN,ROAD_BT,ROA_CLS_SE
31737,,,7.3,RDD000
33374,,,,
34072,,,7.0,RDD000
35968,,,,
36295,,,6.4,RDD000
36371,,,,
38265,,,7.0,RDD000
45166,,,,
45585,,,22.0,RDD000
46382,,,9.1,RDD000
46755,,,7.0,RDD000
47447,,,,
52789,,,7.0,RDD000
52942,,,10.4,RDD000
53058,,,6.9,RDD000
53319,,,6.4,RDD000
55102,,,3.3,RDD000
55952,,,6.4,RDD000
57821,,,20.0,RDD000
58846,,,,
60612,,,7.0,RDD000
61355,,,9.1,RDD000
62342,,,,
63488,,,6.4,RDD000
64677,,,22.0,RDD000
66002,,,7.0,RDD000
66674,,,,
67093,,,5.0,RDD000
68252,,,10.4,RDD000
68914,,,7.3,RDD000
69364,,,7.0,RDD000
69570,,,,
72250,,,,
72494,,,3.3,RDD000
72659,,,6.4,RDD000
72923,,,25.0,RDD000
74356,,,7.3,RDD000
76574,,,3.3,RDD000
76883,,,7.3,RDD000
77508,,,3.3,RDD000
78212,,,7.3,RDD000
78313,,,3.3,RDD000
78618,,,22.0,RDD000
80318,,,,
80324,,,7.3,RDD000
82019,,,7.3,RDD000
82173,,,6.9,RDD000
83358,,,7.0,RDD000
83812,,,7.3,RDD000
84270,,,7.0,RDD000
88066,,,20.0,RDD000
88549,,,22.0,RDD000
90580,,,3.3,RDD000
91683,,,7.3,RDD000
92861,,,25.0,RDD000
93241,,,10.4,RDD000
93704,,,3.3,RDD000
94250,,,,
96644,,,9.1,RDD000
96752,,,7.0,RDD000
97783,,,20.0,RDD000
99581,,,5.0,RDD000
100869,,,,
101282,,,5.0,RDD000
102156,,,,
103102,,,,
103357,,,,
103875,,,,
103913,,,25.0,RDD000
106188,,,3.3,RDD000
106477,,,25.0,RDD000
113564,,,7.3,RDD000
113998,,,22.0,RDD000
114604,,,7.3,RDD000
301861,,,24.0,RDD000
301863,,,9.9,RDD000
301865,,,11.4,RDD000
301866,,,3.1,RDD000
301870,,,15.6,RDD000
301871,,,9.4,RDD000
301873,,,24.0,RDD000
301875,,,11.4,RDD000
301876,,,,
301882,,,9.9,RDD000
301883,,,26.0,RDD000
301884,,,6.7,RDD000
301885,,,,
301886,,,54.0,RDD000
301887,,,8.2,RDD000
301888,,,14.2,RDD000
301891,,,26.0,RDD000
301892,,,27.0,RDD000
301893,,,12.5,RDD000
301894,,,7.2,RDD000
301899,,,9.4,RDD000
301902,,,26.0,RDD000
301903,,,6.7,RDD000
301904,,,,
301905,,,54.0,RDD000
301906,,,8.2,RDD000
301909,,,26.0,RDD000
301910,,,27.0,RDD000
301911,,,7.2,RDD000
302851,,,8.5,RDD000
302852,,,,
302855,,,7.9,RDD000
302859,,,7.0,RDD000
302860,,,,
302861,,,5.0,RDD000
302862,,,10.0,RDD000
302863,,,2.0,RDD008
302865,,,5.5,RDD000
302866,,,,
302869,,,,
302872,,,2.0,RDD008
302873,,,9.0,RDD000
302875,,,7.0,RDD000
302876,,,,
302877,,,8.5,RDD000
302878,,,40.5,RDD000
302880,,,,
302881,,,,
302887,,,5.9,RDD000
302888,,,7.6,RDD000
302892,,,,
302893,,,,
302895,,,10.4,RDD000
