cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_D_final,max_D_final,avg_D_final
0,1,35.8952791,128.6085304,143067,SPLY_LS,4.899724673900717,4,1.6226967830253252,1.7526899383983574,1.6772418672050495,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,10.0,8.532320986758311,1.547126436781609,2.05,1.7581320144121637,4.300236595838574,4.720086854834096,4.21806227397797,13,40,24.329190899523955,0.0211616792999514,0.0232277834169813,0.020757295353359254
1,1,35.8955801,128.6084953,37926,SPLY_LS,3.312359331544687,6,1.6132785763175908,1.7526899383983574,1.6685353963263527,1.0,1.0,1.0,1.0,1.0,1.0,9.523809523809524,9.523809523809524,8.304879470935212,1.7523809523809524,2.1333333333333337,1.7431457835759605,5.623925030053709,7.8351090130089505,4.925834041499348,20,80,29.459015700384438,0.0276756162691458,0.0385569632084676,0.024240275609920307
2,1,35.8955649,128.6090574,72373,SPLY_LS,3.6052304799168513,6,1.6792607802874744,1.7526899383983574,1.6791422601251242,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.22222222222222,8.322603218391718,1.547126436781609,2.5777777777777775,1.8115679127464899,10.102141021280556,10.699904903618648,6.763091393703401,13,80,36.54242335001927,0.0497131410727726,0.0526547670259525,0.03328151090298407
3,1,35.8964922,128.6065103,37978,SPLY_LS,5.479779826210916,5,1.6619575633127996,1.6674332648870636,1.6593217465512184,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,7.471264367816092,7.148941283861034,1.547126436781609,2.1333333333333337,1.7819618265202952,5.73937808438791,5.73937808438791,4.440167748552672,13,80,39.840303662486264,0.0282437665221771,0.0282437665221771,0.021850287499015065
4,1,35.8972847,128.6067763,106548,PIPE_LM,6.544057833950433,5,1.7326488706365502,1.7326488706365502,1.6998522932857723,1.0,1.0,1.0,1.0,1.0,1.0,15.873015873015872,15.873015873015872,9.404617100395388,3.9746031746031742,3.9746031746031742,2.368316571984447,8.837926571575123,8.837926571575123,6.310671028028003,200,200,84.94448570917113,0.0434918785550497,0.0434918785550497,0.031055127662477148
5,1,35.8951696,128.6090785,3839,SPLY_LS,5.585607254984047,6,1.7011088295687884,1.7612867898699522,1.612614118266617,1.0,1.0,1.0,1.0,1.2,1.0308114486091577,7.471264367816092,17.857142857142858,9.72191607667745,1.547126436781609,2.585714285714286,1.8101512626821288,4.442024377850839,6.709182775103548,4.70440640698166,13,50,24.99563706384787,0.0218594240646228,0.0330162238954233,0.023150619149077054
6,3,35.8974475,128.6082208,255636,PIPE_LM,6.101580020383117,6,1.792662559890486,1.792662559890486,1.6992501136205238,1.0,1.0,1.0,1.0,1.2,1.0290496561645364,6.666666666666667,8.928571428571429,7.396229245521545,2.1333333333333337,2.1333333333333337,1.7771797119093102,4.878477913181699,4.878477913181699,3.9539145332217496,80,80,38.617436499266326,0.0240072337346628,0.0240072337346628,0.01945741111371086
7,1,35.8963146,128.608057,3823,SPLY_LS,5.421364276843535,5,1.7156194387405888,1.7156194387405888,1.649678995234577,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.861205951085863,1.547126436781609,2.2285714285714286,1.6861205951085863,6.14245221863438,6.14245221863438,5.018361137876569,13,40,18.507183000892734,0.0302273144905107,0.0302273144905107,0.024695606077547446
8,1,35.8950228,128.6085868,72378,SPLY_LS,3.05764614021896,5,1.6403832991101983,1.6726899383983571,1.617500748664997,1.0,1.0,1.0,1.0,1.2,1.1114491032997715,7.471264367816092,12.5,8.906492833920062,1.547126436781609,3.3000000000000003,1.9087520075095827,9.256027669599202,9.256027669599202,7.445276186920997,13,150,41.497218609743925,0.0455493749634811,0.0455493749634811,0.03663857637964753
9,1,35.8963925,128.6093905,37918,SPLY_LS,7.056257089664262,5,1.657467488021903,1.6926762491444216,1.5697632943103852,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,12.5,9.004873271256592,1.547126436781609,3.3000000000000003,1.9380327680250777,2.6128844119736767,6.687350316058249,3.216290572293446,13,150,43.794166693168116,0.012858134835543,0.0329087852728384,0.01582752672078462
10,1,35.8950204,128.6087327,3773,PIPE_LM,6.3256508516881,4,1.6726899383983571,1.6726899383983571,1.6532980855836992,1.0,1.0,1.0,1.2,1.2,1.1102122056498474,12.5,12.5,9.37131054168256,3.3000000000000003,3.3000000000000003,2.121074420440372,8.110780763982282,9.256027669599202,7.148261149521898,150,150,58.00706896620241,0.039913557678595,0.0455493749634811,0.0351769505298547
11,1,35.8953002,128.6077841,106502,SPLY_LS,5.469587894907693,3,1.651663244353183,1.7028062970568103,1.6666355370873434,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.333333333333334,7.724325399457864,1.547126436781609,2.466666666666667,1.8170582038661656,3.3578020808795683,4.5508793632854205,3.5939611037539723,13,100,38.538919313287586,0.0165239119301124,0.0223951048906957,0.017686062289628483
12,1,35.8964062,128.6085155,245354,SPLY_LS,7.1965861040919314,5,1.6840793976728268,1.7326488706365502,1.7021025954092435,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.846153846153848,8.61205443979686,1.547126436781609,2.0307692307692307,1.7064451643943523,4.22834008638573,5.893362249312421,4.082458596136781,13,40,21.802058469434062,0.0208078729821084,0.0290015302969788,0.020089982874518828
13,1,35.8950854,128.6088372,143129,PIPE_LM,5.305221352433381,2,1.7526899383983574,1.7526899383983574,1.745542141995608,1.0,1.0,1.0,1.0,1.2,1.0733351864074192,10.0,10.0,9.607132929960253,2.05,2.05,1.9190443099867511,4.720086854834096,8.062321558435782,5.945603879863972,40,40,34.49986101944356,0.0232277834169813,0.0396750875051404,0.02925861397300458
14,1,35.8966487,128.6079187,37913,SPLY_LS,4.007111803060215,5,1.7194524298425735,1.7326488706365502,1.708839009485601,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,7.801587131839916,1.547126436781609,2.466666666666667,1.8666930151742922,7.60365458680131,7.60365458680131,5.5756027810759115,13,100,44.624958554135695,0.0374179644043785,0.0374179644043785,0.02743782006581355
15,1,35.897053,128.6060654,3867,SPLY_LS,6.313206811813172,3,1.6350718685831622,1.6726899383983571,1.6539797102834153,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,9.846153846153848,8.137145191557877,1.547126436781609,2.0307692307692307,1.6827320996955168,3.65816564824765,3.851322658758344,3.40712697333653,13,40,20.570365865451564,0.018002016063309,0.0189525513698827,0.01676664219213767
16,1,35.8956355,128.6073607,177280,SPLY_LS,8.972170758695556,1,1.345407255304586,1.345407255304586,1.345407255304586,1.0,1.0,1.0,1.0,1.0,1.0,8.928571428571429,8.928571428571429,8.928571428571429,1.692857142857143,1.692857142857143,1.692857142857143,2.320312342621326,2.320312342621326,2.320312342621326,25,25,25.0,0.0114183730536566,0.0114183730536566,0.011418373053656599
17,2,35.8965185,128.6077883,211434,PIPE_LM,5.293962978391968,5,1.7326488706365502,1.7326488706365502,1.680528548705467,1.0,1.0,1.0,1.0,1.0,1.0,6.666666666666667,9.523809523809524,7.917322102264825,2.1333333333333337,2.466666666666667,2.0701427979254055,4.263446430063447,6.465205860698176,4.91258332373318,80,100,63.398855569140665,0.0209806330546637,0.0318156013007887,0.024175068165257132
18,2,35.8968513,128.6079403,245352,SPLY_LS,6.871099597730657,2,1.720930869267625,1.7326488706365502,1.726104964315406,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,8.928571428571429,8.114739736076986,1.547126436781609,1.692857142857143,1.6114739736076984,7.505632699420257,7.505632699420257,5.494635140201589,13,25,18.298611821127455,0.036935593795482,0.036935593795482,0.027039374256688967
19,2,35.895701200000005,128.60878885,72370,SPLY_LS,4.206044022231786,5,1.6132785763175908,1.7429431895961671,1.589167681105468,1.0,1.0,1.0,1.0,1.0,1.0,7.471264367816092,14.285714285714286,8.778584336830429,1.547126436781609,2.2285714285714286,1.6778584336830429,5.517236807837452,6.224261702604736,4.796013111678282,13,40,19.31977887981605,0.0271505981932084,0.030629903051603,0.023601420323224348
