cluster_id,repair_count,avg_lat,avg_lon,nearest_pipe,nearest_type,nearest_dist,pipe_count,nearest_STD_DIP,max_STD_DIP,avg_STD_DIP,nearest_K_age,max_K_age,avg_K_age,nearest_K_soil,max_K_soil,avg_K_soil,nearest_K_traffic,max_K_traffic,avg_K_traffic,nearest_hoop_stress,max_hoop_stress,avg_hoop_stress,nearest_K_stress,max_K_stress,avg_K_stress,nearest_K_total,max_K_total,avg_K_total,nearest_D_final,max_D_final,avg_D_final,nearest_K_repair,max_K_repair,avg_K_repair
0,1,35.8963622,128.6108785,37874,SPLY_LS,5.220132788024812,8,13,80,29.833299227846965,1.6792607802874744,1.6888432580424366,1.584239508410368,1.0,1.0,1.0,1.0,1.2,1.0438535533281188,7.471264367816092,9.523809523809524,7.923026070626691,1.547126436781609,2.1333333333333337,1.7384811181563995,7.237984358431114,9.495076381776173,6.744701349730652,0.0356590156394646,0.0467789180562775,0.03322878290465048,0.3221,0.3806,0.23135918192039212
1,1,35.89607289999999,128.6121391,37859,SPLY_LS,4.679720226085752,13,13,150,39.88575671691531,1.6509514031485284,1.6934976043805614,1.6371267879618012,1.0,1.0,1.0,1.0,1.6,1.1721243307073859,7.471264367816092,12.5,7.839934830302886,1.547126436781609,3.3000000000000003,1.8314167676906021,8.169619741799677,15.52770693236835,8.900079507945108,0.0402488571009373,0.0764995773583525,0.04384757670781773,0.3846,0.4833,0.2677818554576178
2,3,35.89471045000003,128.6090872500002,143900,SPLY_LS,3.276531664324271,9,13,80,23.979959999814575,1.6168925393566052,1.809034907597536,1.609116747355683,1.0,1.0,1.0,1.0,1.2,1.0495051343331838,7.471264367816092,9.846153846153848,8.36700676618733,1.547126436781609,2.1333333333333337,1.70905050083506,10.558588125207828,13.536370798799624,10.521157629008488,0.0520184681870551,0.0666889611959061,0.05183406123295463,0.5395,0.5822,0.4597998217062283
3,1,35.89510799999999,128.6111366,177234,SPLY_LS,2.0933619232941627,13,13,150,32.52932554544886,1.7447501711156743,1.7535112936344968,1.6646156248547375,1.0,1.0,1.0,1.2,1.2,1.1757946735710714,7.471264367816092,12.5,8.029799490874359,1.547126436781609,3.3000000000000003,1.7739486164787854,8.070781590385156,14.660530678484973,7.748161698746382,0.039761916122271,0.072227303467158,0.03817248083312882,0.2775,0.3337,0.22476375093240947
4,4,35.89534400000001,128.6100321,106458,SPLY_LS,6.808682973195061,12,13,80,25.457463733132712,1.7146338124572211,1.73347022587269,1.5925412195470674,1.0,1.0,1.0,1.0,1.2,1.0253666151788872,7.471264367816092,11.428571428571429,8.080408657655928,1.547126436781609,2.1333333333333337,1.692596249695217,16.922221882723523,18.68360369483111,13.205287437753974,0.0833698644385198,0.0920475761431396,0.06505782935521057,0.8665,0.9671,0.634968036474092
5,1,35.892652,128.6068654,3677,PIPE_LM,6.059643953820982,13,25,100,30.78876344194999,1.73347022587269,1.73347022587269,1.57852615540966,1.0,1.0,1.0,1.0,1.6,1.0400010301529163,8.928571428571429,16.3265306122449,9.512838553032323,1.692857142857143,2.840816326530613,1.8166275860944225,3.7758582107612506,10.50660663405339,4.356806971874638,0.0186023318540469,0.0517623735736591,0.021464463067986154,0.0881,0.1714,0.11609839340557875
6,1,35.89482600000001,128.6093499,143903,SPLY_LS,6.568498626806264,9,40,150,56.49916644682751,1.3508281998631075,1.715455167693361,1.5100925039383175,1.0,1.0,1.0,1.0,1.2,1.0272305801067223,14.285714285714286,14.285714285714286,10.114536026131773,2.2285714285714286,3.3000000000000003,2.156736736541565,8.563370966283555,15.288229650869766,8.162833164000176,0.0421887315710408,0.0753197566094575,0.040215422007421425,0.3056,0.5285,0.2275921423480911
7,1,35.894353,128.6110253,4689,SPLY_LS,3.743340320300144,3,20,150,62.77046770170643,1.7074606433949349,1.7074606433949349,1.5634353579527602,1.0,1.0,1.0,1.6,1.6,1.6,9.523809523809524,12.5,10.370867454892693,1.7523809523809524,3.3000000000000003,2.2393912158344715,8.09541021826672,9.455020231068028,8.482925446829487,0.0398832527518237,0.0465815754213913,0.041792404652622454,0.1502,0.165,0.11301438843011231
8,3,35.89591025000361,128.6120980999865,211331,SPLY_LS,8.711154592533976,12,13,80,34.895611847720126,1.7031348391512662,1.7031348391512662,1.5965555651745333,1.0,1.0,1.0,1.0,1.6,1.1759537375673361,7.471264367816092,10.95890410958904,7.780727161210119,1.547126436781609,2.16986301369863,1.7707895381032814,6.975668568393098,12.146575846211446,7.734961206547728,0.0343666775524738,0.0598419278927376,0.03810744662823833,0.3011,0.4833,0.2512794814088048
9,1,35.8929585,128.6094276,212239,SPLY_LS,6.964328808312295,6,20,150,41.53632502066956,1.331334702258727,1.7367556468172485,1.5346756380505728,1.0,1.0,1.0,1.6,1.6,1.4238397484369874,9.523809523809524,12.5,9.15026678237813,1.7523809523809524,3.3000000000000003,1.9422717343754623,5.832784556125563,9.455020231068028,6.483463572330391,0.028736088033436,0.0465815754213913,0.0319417558086215,0.1312,0.2388,0.13184065107278012
