재작업 간격,건수,비율
0~29일,2424,10.7%
30~59일,924,4.1%
60~89일,673,3.0%
90~119일,548,2.4%
120~149일,508,2.2%
150~179일,494,2.2%
180~209일,446,2.0%
210~239일,402,1.8%
240~269일,393,1.7%
270~299일,405,1.8%
300~329일,373,1.6%
330~359일,361,1.6%
360~389일,347,1.5%
390~419일,341,1.5%
420~449일,316,1.4%
450~479일,257,1.1%
480~509일,288,1.3%
510~539일,287,1.3%
540~569일,266,1.2%
570~599일,241,1.1%
600~629일,243,1.1%
630~659일,247,1.1%
660~689일,231,1.0%
690~719일,235,1.0%
720~749일,237,1.0%
730일 이상,11318,50.0%
