cluster_id,중복_건수,평균_재작업_간격(일),최소_간격(일),최대_간격(일),기간,작업타입_패턴,구군,대표_주소
8717,2,1607.0,1607,1607,2010-12-26 ~ 2015-05-22,지상누수 → 지상누수,,
10752,4,1607.5,1561,1654,2013-01-25 ~ 2021-11-15,지상누수 → 지하누수 → 지상누수 → 지하누수,,
6271,3,1607.5,252,2963,2009-01-13 ~ 2017-11-02,지상누수 → 지상누수 → 지상누수,,
6610,2,1608.0,1608,1608,2009-01-07 ~ 2013-06-03,지상누수 → 지상누수,,
5834,3,1608.0,1424,1792,2008-01-20 ~ 2016-11-11,지상누수 → 지상누수 → 지하누수,,
11346,3,1609.0,1342,1876,2010-06-23 ~ 2019-04-15,지하누수 → 지상누수 → 지하누수,,
8994,2,1609.0,1609,1609,2011-03-16 ~ 2015-08-11,지상누수 → 지상누수,,
4788,3,1609.0,1609,1609,2016-12-27 ~ 2021-05-25,지상누수 → 지하누수 → 지상누수,,
10230,3,1609.5,226,2993,2012-06-29 ~ 2021-04-23,지상누수 → 지상누수 → 지상누수,,
15318,3,161.0,161,161,2021-07-06 ~ 2021-12-15,지하누수 → 지상누수 → 지하누수,,
13390,2,161.0,161,161,2016-02-20 ~ 2016-07-30,지상누수 → 지상누수,,
1106,2,161.0,161,161,2019-10-29 ~ 2020-04-07,지상누수 → 지상누수,,
975,2,161.0,161,161,2019-09-19 ~ 2020-02-28,지상누수 → 지상누수,,
15866,2,161.0,161,161,2019-10-30 ~ 2020-04-08,지하누수 → 지하누수,,
6100,2,161.0,161,161,2008-11-13 ~ 2009-04-23,지상누수 → 지하누수,,
15079,2,161.0,161,161,2021-01-04 ~ 2021-06-14,지상누수 → 지상누수,,
12584,3,161.5,133,190,2015-03-09 ~ 2016-01-27,지하누수 → 지상누수 → 지상누수,,
2455,3,161.5,55,268,2021-06-22 ~ 2022-05-13,지하누수 → 지하누수 → 지상누수,,
13315,2,1610.0,1610,1610,2016-11-12 ~ 2021-04-10,지상누수 → 지상누수,,
16752,2,1610.0,1610,1610,2015-04-24 ~ 2019-09-20,지하누수 → 지하누수,,
13350,2,1610.0,1610,1610,2012-06-20 ~ 2016-11-16,지하누수 → 지상누수,,
16179,4,1610.7,354,3235,2007-12-07 ~ 2021-03-02,지하누수 → 지하누수 → 지하누수 → 지하누수,,
13862,2,1611.0,1611,1611,2013-04-16 ~ 2017-09-14,지하누수 → 지상누수,,
8680,2,1611.0,1611,1611,2011-06-20 ~ 2015-11-17,지상누수 → 지하누수,,
6065,2,1612.0,1612,1612,2009-01-25 ~ 2013-06-25,지상누수 → 지하누수,,
7269,2,1612.0,1612,1612,2009-12-20 ~ 2014-05-20,지상누수 → 지하누수,,
9962,2,1612.0,1612,1612,2012-07-15 ~ 2016-12-14,지상누수 → 지상누수,,
8861,2,1612.0,1612,1612,2011-07-04 ~ 2015-12-03,지상누수 → 지상누수,,
6111,3,1612.5,252,2973,2008-11-25 ~ 2017-09-26,지상누수 → 지상누수 → 지상누수,,
6227,3,1612.5,550,2675,2008-01-16 ~ 2016-11-15,지상누수 → 지상누수 → 지상누수,,
14246,2,1613.0,1613,1613,2018-01-27 ~ 2022-06-28,지상누수 → 지상누수,,
12205,2,1613.0,1613,1613,2015-01-15 ~ 2019-06-17,지상누수 → 지하누수,,
14106,2,1613.0,1613,1613,2017-11-19 ~ 2022-04-21,지상누수 → 지상누수,,
14759,2,1613.0,1613,1613,2014-05-16 ~ 2018-10-15,지하누수 → 지상누수,,
11862,2,1614.0,1614,1614,2010-02-24 ~ 2014-07-28,지하누수 → 지상누수,,
12808,2,1614.0,1614,1614,2015-08-29 ~ 2020-01-30,지상누수 → 지하누수,,
9714,3,1614.5,593,2636,2012-05-12 ~ 2021-03-15,지상누수 → 지상누수 → 지하누수,,
204,3,1614.5,595,2634,2011-11-23 ~ 2020-09-25,지하누수 → 지하누수 → 지상누수,,
17526,2,1615.0,1615,1615,2017-08-23 ~ 2022-01-25,지하누수 → 지하누수,,
14337,2,1615.0,1615,1615,2013-05-22 ~ 2017-10-23,지하누수 → 지상누수,,
5940,2,1615.0,1615,1615,2007-05-11 ~ 2011-10-13,지상누수 → 지하누수,,
12693,3,1615.0,1615,1615,2015-11-25 ~ 2020-04-28,지상누수 → 지하누수 → 지하누수,,
9611,2,1615.0,1615,1615,2012-03-30 ~ 2016-08-31,지상누수 → 지하누수,,
12024,2,1616.0,1616,1616,2014-12-11 ~ 2019-05-16,지상누수 → 지하누수,,
13287,2,1616.0,1616,1616,2016-02-25 ~ 2020-07-29,지상누수 → 지하누수,,
13277,2,1616.0,1616,1616,2016-11-14 ~ 2021-04-18,지상누수 → 지상누수,,
18387,3,1616.5,392,2841,2012-09-10 ~ 2021-07-19,지하누수 → 지하누수 → 지하누수,,
6741,2,1617.0,1617,1617,2008-08-19 ~ 2013-01-22,지상누수 → 지상누수,,
661,3,1617.0,1136,2098,2011-10-04 ~ 2020-08-12,지하누수 → 지상누수 → 지상누수,,
10871,2,1618.0,1618,1618,2013-03-21 ~ 2017-08-25,지상누수 → 지상누수,,
10515,3,1618.0,1449,1787,2012-07-09 ~ 2021-05-20,지상누수 → 지상누수 → 지상누수,,
13783,2,1618.0,1618,1618,2017-03-19 ~ 2021-08-23,지상누수 → 지상누수,,
6306,3,1618.5,1447,1790,2008-09-27 ~ 2017-08-09,지상누수 → 지상누수 → 지상누수,,
10670,3,1618.5,579,2658,2012-12-20 ~ 2021-11-01,지상누수 → 지하누수 → 지하누수,,
17620,2,1619.0,1619,1619,2016-10-10 ~ 2021-03-18,지하누수 → 지하누수,,
7969,3,1619.0,1391,1847,2010-01-15 ~ 2018-11-28,지상누수 → 지상누수 → 지상누수,,
14049,2,1619.0,1619,1619,2013-06-04 ~ 2017-11-09,지하누수 → 지상누수,,
14047,3,1619.0,1619,1619,2013-05-13 ~ 2017-10-19,지하누수 → 지상누수 → 지하누수,,
992,3,1619.5,66,3173,2011-01-25 ~ 2019-12-09,지하누수 → 지상누수 → 지상누수,,
3349,4,162.0,14,310,2008-12-09 ~ 2009-10-30,지상누수 → 지상누수 → 지상누수 → 지상누수,,
6088,2,162.0,162,162,2008-06-11 ~ 2008-11-20,지하누수 → 지상누수,,
18471,2,162.0,162,162,2018-10-17 ~ 2019-03-28,지하누수 → 지하누수,,
