wkt_geom,FTR_CDE,FTR_IDN,HJD_CDE,SHT_NUM,MNG_CDE,IST_YMD,SAA_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,FNS_YMD,WTP_CDE,RMK_TXT
"MultiLineString ((1099689.61226370255462825 1767423.84970554383471608, 1099686.01569389994256198 1767423.39621970010921359))",SA002,177597,2723063100,35803045,54000,19900605,,1,13,9,,0,0,1.80001E+12,1,13-90,177597,SA006,,8182,B,243,520,P0,0,19900605,SS002,
"MultiLineString ((1099722.52415522001683712 1767407.86575104994699359, 1099725.41832885006442666 1767410.11642276006750762))",SA002,211645,2723063100,35803045,54000,19940901,,1,13,7,,0,0,1.80001E+12,1,,211645,SA006,,101567,B,243,520,P0,0,,,
"MultiLineString ((1099724.043722840026021 1767405.91122577991336584, 1099713.55025762994773686 1767403.47962266998365521))",SA002,142977,2723063100,35803045,54000,19930320,,1,20,17,,0,0,1.80001E+12,1,,142977,SA006,,88257,B,243,520,P0,0,,,
"MultiLineString ((1099724.85289620002731681 1767450.39266039989888668, 1099721.93566919001750648 1767448.01064019999466836))",SA002,325303,2723063100,35803045,54000,20060821,,1,13,3,,0,0,2.00608E+12,1,,325303,SA006,,251439,B,243,520,P0,0,,,
"MultiLineString ((1099690.75489059998653829 1767414.15486270003020763, 1099694.45417120005004108 1767414.62291550007648766))",SA002,4141,2723063100,35803045,54000,19910209,,1,13,6,,0,0,1.80001E+12,1,13-91,4141,SA006,,189982,B,243,520,P0,0,19910209,SS002,
"MultiLineString ((1099731.34769104002043605 1767441.92811759002506733, 1099727.64852126990444958 1767439.09026751993224025))",SA002,106787,2723063100,35803045,54000,19940119,,1,13,10,,0,0,1.80001E+12,1,,106787,SA006,,34628,B,243,520,P0,0,,,
"MultiLineString ((1099689.73247319995425642 1767422.82976399990729988, 1099673.37413190002553165 1767420.75811049994081259))",SA002,177596,2723063100,35803045,54000,19940312,,1,13,30,,0,0,1.80001E+12,1,13-94,177596,SA006,,116700,B,243,520,P0,0,19940312,SS002,
"MultiLineString ((1099701.29396852990612388 1767435.16739370999857783, 1099703.69509310997091234 1767437.03469476010650396))",SA002,143348,2723063100,35803045,54000,19880517,,1,13,8,,0,0,1.80001E+12,1,,143348,SA006,,61758,B,243,520,P0,0,,,
"MultiLineString ((1099751.1808988400734961 1767416.0808574000839144, 1099747.38698224001564085 1767413.16959869000129402))",SA002,245658,2723063100,35803045,54000,19940119,,1,13,10,,0,0,1.80001E+12,1,,245658,SA006,,14729,B,243,520,P0,0,,,
"MultiLineString ((1099688.60740392608568072 1767432.37590849492698908, 1099685.55821539997123182 1767431.99129529995843768))",SA002,72661,2723063100,35803045,54000,19930410,,1,13,12,,0,0,1.80001E+12,1,13-93,72661,SA006,,110337,B,243,520,P0,0,19930410,SS002,
