FTR_IDN,lithoidx,lithoname,K_SOIL
244343,Km6,하양층군함안층,1.0
244346,Km6,하양층군함안층,1.0
244567,Km6,하양층군함안층,1.0
245200,Km6,하양층군함안층,1.0
245201,Km6,하양층군함안층,1.0
245203,Km6,하양층군함안층,1.0
245204,Km6,하양층군함안층,1.0
245205,Km6,하양층군함안층,1.0
245206,Km6,하양층군함안층,1.0
245207,Km6,하양층군함안층,1.0
245208,Km6,하양층군함안층,1.0
245212,Km6,하양층군함안층,1.0
245215,Km6,하양층군함안층,1.0
245216,Km6,하양층군함안층,1.0
245222,Km6,하양층군함안층,1.0
245223,Km6,하양층군함안층,1.0
245224,Km6,하양층군함안층,1.0
245226,Km6,하양층군함안층,1.0
245227,Km6,하양층군함안층,1.0
245228,Km6,하양층군함안층,1.0
245237,Km6,하양층군함안층,1.0
245240,Km6,하양층군함안층,1.0
245303,Km6,하양층군함안층,1.0
245304,Km6,하양층군함안층,1.0
245305,Km6,하양층군함안층,1.0
245306,Km6,하양층군함안층,1.0
245307,Km6,하양층군함안층,1.0
245327,Km6,하양층군함안층,1.0
245336,Km6,하양층군함안층,1.0
245337,Km6,하양층군함안층,1.0
245383,Km6,하양층군함안층,1.0
245384,Km6,하양층군함안층,1.0
245424,Km6,하양층군함안층,1.0
245425,Km6,하양층군함안층,1.0
245426,Km6,하양층군함안층,1.0
245427,Km6,하양층군함안층,1.0
245428,Km6,하양층군함안층,1.0
245429,Km6,하양층군함안층,1.0
245430,Km6,하양층군함안층,1.0
245431,Km6,하양층군함안층,1.0
245471,Km6,하양층군함안층,1.0
245472,Km6,하양층군함안층,1.0
245473,Km6,하양층군함안층,1.0
245474,Km6,하양층군함안층,1.0
245475,Km6,하양층군함안층,1.0
245516,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245517,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245518,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245520,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245521,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245687,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
245698,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
246252,Km6,하양층군함안층,1.0
246253,Km6,하양층군함안층,1.0
246289,Km6,하양층군함안층,1.0
246290,Km6,하양층군함안층,1.0
246291,Km6,하양층군함안층,1.0
246292,Km6,하양층군함안층,1.0
246293,Km6,하양층군함안층,1.0
246342,Km6,하양층군함안층,1.0
246343,Km6,하양층군함안층,1.0
246344,Km6,하양층군함안층,1.0
246345,Km6,하양층군함안층,1.0
246346,Km6,하양층군함안층,1.0
246347,Km6,하양층군함안층,1.0
246348,Km6,하양층군함안층,1.0
246349,Km6,하양층군함안층,1.0
246350,Km6,하양층군함안층,1.0
246553,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
246554,Km6,하양층군함안층,1.0
246575,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
250048,Km6,하양층군함안층,1.0
250103,Km6,하양층군함안층,1.0
255636,Km6,하양층군함안층,1.0
255745,Km6,하양층군함안층,1.0
261304,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
265864,Km6,하양층군함안층,1.0
267360,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
267500,Km6,하양층군함안층,1.0
277675,Qa,충적층,1.3
278189,Km6,하양층군함안층,1.0
278257,Km6,하양층군함안층,1.0
298004,Qa,충적층,1.3
298005,Qa,충적층,1.3
298006,Qa,충적층,1.3
298007,Qa,충적층,1.3
298008,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
298009,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299649,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299650,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299651,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299653,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299654,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299675,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
299677,Qa,충적층,1.3
299696,Qa,충적층,1.3
299697,Qa,충적층,1.3
299699,Qa,충적층,1.3
299700,Qa,충적층,1.3
299726,Qa,충적층,1.3
299727,Qa,충적층,1.3
299728,Qa,충적층,1.3
302085,Qa,충적층,1.3
308430,Qa,충적층,1.3
308699,Qa,충적층,1.3
308751,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308754,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308755,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308756,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308757,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308758,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308843,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308844,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308845,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308847,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308849,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308850,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308891,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308892,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308893,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308923,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308925,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308926,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
308927,h,혼펠스(hornfels) 화성 관입에 의해 형성된 접촉변성암 (추정),1.0
