DATA_SRC,zone,FTR_IDN,FTR_CDE,HJD_CDE,SHT_NUM,MNG_CDE,MOP_CDE,STD_DIP,BYC_LEN,JHT_CDE,LOW_DEP,HGH_DEP,CNT_NUM,SYS_CHK,PIP_LBL,IQT_CDE,GIS_IDN,FTC_CDE,CLS_YMD,MET_IDN,GU_CDE,SMZ_NUM,MDZ_NUM,LGZ_NUM,AVG_DEP,WTP_CDE,PIP_TYPE,IST_YMD,FNS_YMD,BEG_YMD,DAYS_SINCE_BEG,YEARS_SINCE_BEG,design_pressure,thickness,K_material,fatigue_limit,K_diameter,K_age,K_soil,K_traffic,K_vibration,hoop_stress,K_stress,K_repair,K_total,low_total_cycles,high_total_cycles,low_fatigue_damage,high_fatigue_damage,D_base,D_final_org,D_final,remaining_life_years
PIPE_LM,0490,245222,SA001,2723063000,35803045,54000,13,25,16.06,,0,0,20119006912.0,1,25-STS-88,IQT903,245222,SA005,,,B,490,520,P0,0.8,SS00201,STS,1988-01-01,1988-01-01,1988-01-01,13865.0,37.960301163586585,2.0,2.8,0.7,1000000,0.9306852819440056,1.7592060232717317,1.0,1.2,1.05,8.928571428571429,1.692857142857143,0.1788,6.81555480136,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0120437062633142,0.0335778530621202,28.78153481552152
PIPE_LM,0490,72209,SA001,2723063000,35803045,54000,13,20,13.2,,0,0,20119006912.0,1,20-STS-92,IQT903,72209,SA005,,,B,490,520,P0,0.8,SS00201,STS,1992-01-01,1992-01-01,1992-01-01,12404.0,33.960301163586585,2.0,2.1,0.7,1000000,0.919528104378295,1.679206023271732,1.0,1.0,1.05,9.523809523809524,1.7523809523809524,0.175,5.469121199559315,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0097979803482941,0.0269444459578089,36.113399977340606
PIPE_LM,0490,38779,SA001,2723063000,35803045,54000,4,100,16.36,,0,0,20119006912.0,1,100-DTC-92,IQT903,38779,SA005,,,B,490,520,P0,1.0,SS00201,DTC,1992-01-01,1992-01-01,1992-01-01,12404.0,33.960301163586585,1.0,6.0,1.0,1000000,1.0,1.679206023271732,1.0,1.2,1.05,8.333333333333334,2.466666666666667,0.3197,21.904026828418893,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0257120499819466,0.1079134737742299,8.266683436510807
PIPE_LM,0490,418133,SA001,2723063000,35803045,54000,4,100,11.98,,0,0,20099006235.0,1,100-DTC-09,IQT903,418133,SA005,,,B,490,520,P0,1.0,SS00201,DTC,2009-06-15,2009-06-15,2009-06-15,6029.0,16.50650239561944,1.0,6.0,1.0,1000000,1.0,1.3301300479123888,1.0,1.6,1.05,8.333333333333334,2.466666666666667,0.1929,16.144820572429843,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0271559850710691,0.0795398802731614,11.57230959571135
PIPE_LM,0490,143879,SA001,2723063000,35803045,54000,4,80,183.35,,0,0,20119006912.0,1,80-DTC-88,IQT903,143879,SA005,,,B,490,520,P0,1.0,SS00201,DTC,1988-01-01,1988-01-01,1988-01-01,13865.0,37.960301163586585,1.0,6.0,1.0,1000000,0.9888428224342896,1.7592060232717317,1.0,1.0,1.05,6.666666666666667,2.1333333333333337,0.0724,6.7178336999990895,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0191974567274364,0.0330964153981005,29.21475250329957
PIPE_LM,0490,4693,SA001,2723063000,35803045,54000,5,40,52.47,,0,0,20119006912.0,1,40-EPS-88,IQT903,4693,SA005,,,B,490,520,P0,0.8,SS00201,EPS,1988-01-01,1988-01-01,1988-01-01,13865.0,37.960301163586585,1.6,3.2,1.0,1000000,0.9541854634062924,1.7592060232717317,1.0,1.0,1.05,10.0,2.05,0.1312,8.3537310542768,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0178009987450487,0.0411559090985527,23.29784742709435
PIPE_LM,0490,246252,SA001,2723063000,35803045,54000,5,40,26.1,,0,0,20119006912.0,1,40-EPS-89,IQT903,246252,SA005,,,B,490,520,P0,0.8,SS00201,EPS,1989-01-01,1989-01-01,1989-01-01,13499.0,36.95824777549623,1.6,3.2,1.0,1000000,0.9541854634062924,1.739164955509925,1.0,1.2,1.05,10.0,2.05,0.173,11.70201431165444,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0211178493804074,0.0576517288085123,16.345533614810677
PIPE_LM,0490,246253,SA001,2723063000,35803045,54000,13,25,31.29,,0,0,20119006912.0,1,25-STS-95,IQT903,246253,SA005,,,B,490,520,P0,0.8,SS00201,STS,1995-01-01,1995-01-01,1995-01-01,11308.0,30.9596167008898,2.0,2.8,0.7,1000000,0.9306852819440056,1.619192334017796,1.0,1.0,1.05,8.928571428571429,1.692857142857143,0.1318,4.346326682125847,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0092376317292904,0.0214128303484953,45.70097244151896
PIPE_LM,0490,143878,SA001,2723063000,35803045,54000,4,100,138.71,,0,0,20119006912.0,1,100-DTC-92,IQT903,143878,SA005,,,B,490,520,P0,1.0,SS00201,DTC,1992-01-01,1992-01-01,1992-01-01,12404.0,33.960301163586585,1.0,6.0,1.0,1000000,1.0,1.679206023271732,1.0,1.0,1.05,8.333333333333334,2.466666666666667,0.084,8.002424224503766,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0214267083182888,0.0394251433056514,24.36452416284947
PIPE_LM,0490,4695,SA001,2723063000,35803045,54000,13,25,16.88,,0,0,20119006912.0,1,25-STS-99,IQT903,4695,SA005,,,B,490,520,P0,0.8,SS00201,STS,1999-01-01,1999-01-01,1999-01-01,9847.0,26.9596167008898,2.0,2.8,0.7,1000000,0.9306852819440056,1.539192334017796,1.0,1.0,1.05,8.928571428571429,1.692857142857143,0.1616,4.662739219995464,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0087812248387578,0.0229716841781906,42.53185392255224
PIPE_LM,0490,245201,SA001,2723063000,35803045,54000,13,25,14.63,,0,0,20119006912.0,1,25-STS-90,IQT903,245201,SA005,,,B,490,520,P0,0.8,SS00201,STS,1990-01-01,1990-01-01,1990-01-01,13134.0,35.95893223819302,2.0,2.8,0.7,1000000,0.9306852819440056,1.7191786447638604,1.0,1.2,1.05,8.928571428571429,1.692857142857143,0.1538,6.063234524591841,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0117696746929,0.0298714343705803,32.47679885720098
PIPE_LM,0490,72210,SA001,2723063000,35803045,54000,10,40,15.15,,0,0,20119006912.0,1,40-PFP-91,IQT903,72210,SA005,,,B,490,520,P0,0.8,SS00201,PFP,1991-01-01,1991-01-01,1991-01-01,12769.0,34.959616700889804,1.6,3.25,0.6,1000000,0.9541854634062924,1.699192334017796,1.0,1.0,1.05,9.846153846153848,2.0307692307692307,0.4819,12.070487684299897,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0102194652259591,0.059467068149856,15.816029966031207
PIPE_LM,0490,4692,SA001,2723063000,35803045,54000,13,50,12.77,,0,0,20199008494.0,1,50-STS-19,IQT903,4692,SA005,,,B,490,520,P0,0.8,SS00201,STS,2019-08-20,2019-08-20,2019-08-20,2311.0,6.327173169062286,2.0,2.8,0.7,1000000,0.9653426409720028,1.1265434633812457,1.0,1.0,1.05,17.857142857142858,2.585714285714286,0.3084,8.440789106501082,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0101823735679587,0.0415848136515435,23.047240138657724
PIPE_LM,0490,4694,SA001,2723063000,35803045,54000,5,40,49.85,,0,0,20119006912.0,1,40-EPS-88,IQT903,4694,SA005,,,B,490,520,P0,0.8,SS00201,EPS,1988-01-01,1988-01-01,1988-01-01,13865.0,37.960301163586585,1.6,3.2,1.0,1000000,0.9541854634062924,1.7592060232717317,1.0,1.0,1.05,10.0,2.05,0.1081,7.51908058994378,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0178009987450487,0.0370438783884465,25.99501357589723
PIPE_LM,0490,143877,SA001,2723063000,35803045,54000,4,80,133.59,,0,0,20119006912.0,1,80-DTC-93,IQT903,143877,SA005,,,B,490,520,P0,1.0,SS00201,DTC,1993-01-01,1993-01-01,1993-01-01,12038.0,32.95824777549623,1.0,6.0,1.0,1000000,0.9888428224342896,1.6591649555099246,1.0,1.0,1.05,6.666666666666667,2.1333333333333337,0.081,6.651864972609469,1357.0,35696.5,0.001357,0.00356965,0.00492665,0.0181057516946444,0.0327714105673064,29.514402117241307
